dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,adopted-date,document-url,documentation-url,local-plan-boundary,local-plan-process,local-planning-authorities,notes,organisation,organisations,period-end-date,period-start-date
local-plan,,4220000,2024-10-02,,,Arun District Council Local Plan 2011 - 2031,600001,,local-plan,authoritative,arun-district-council-local-plan-2011,,legal-instrument,2018-07-18,,https://www.arun.gov.uk/adopted-local-plan/,E07000224,,,,,local-authority:ARU,2031-01-01,2011-01-01
local-plan,,4220001,2024-10-02,,,London Borough of Islington Local Plan 2023,600001,,local-plan,authoritative,london-borough-of-islington-local-plan-2023,,legal-instrument,2023-09-28,,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,E09000019,,,,,local-authority:ISL,2037-01-01,2020-01-01
local-plan,,4220002,2024-10-15,,,Camden local plan 2026,600001,,local-plan,authoritative,camden-local-plan-2026,,legal-instrument,,,https://www.camden.gov.uk/draft-new-local-plan,E09000007,,,,,local-authority:CMD,2041-01-01,2026-01-01
local-plan,,4220003,2024-10-02,,,Darlington Local Plan 2016 - 2036,600001,,local-plan,authoritative,darlington-borough-council-local-plan-2016,,legal-instrument,2022-02-17,,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,E06000005,,,,,local-authority:DAL,2036-01-01,2016-01-01
local-plan,,4220004,2024-10-02,,,East Lindsey Local Plan Core Strategy,600001,,local-plan,authoritative,east-lindsey-district-council-local-plan-2018,,legal-instrument,2018-07-18,,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,E07000137,,,,,local-authority:ELI,2031-01-01,2016-01-01
local-plan,,4220005,2024-10-02,,,Camden Local Plan 2017,600001,,local-plan,authoritative,london-borough-of-camden-local-plan-2017,,legal-instrument,2017-07-03,,https://www.camden.gov.uk/camden-local-plan1,E09000007,,,,,local-authority:CMD,2031-01-01,2016-01-01
local-plan,,4220006,2024-10-02,,,South Cambridgeshire Local Plan 2018,600001,,local-plan,authoritative,south-cambridgeshire-district-council-local-plan-2018,,legal-instrument,2018-09-27,,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,E07000012,,,,,local-authority:SCA,2031-01-01,2018-01-01
local-plan,,4220007,2024-10-02,,,Staffordshire Moorlands Local Plan,600001,,local-plan,authoritative,staffordshire-moorlands-district-council-local-plan-2014,,legal-instrument,2020-09-09,,https://www.staffsmoorlands.gov.uk/localplan,E07000198,,,,,local-authority:STF,2033-01-01,2014-01-01
local-plan,,4220008,2024-10-02,,,Core Strategy Local Plan,600001,,local-plan,authoritative,thurrock-council-local-plan-2015,,legal-instrument,2015-01-28,,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,E06000034,,,,,local-authority:THR,2026-01-01,2015-01-01
local-plan,,4220009,2024-10-02,,,Vale of White Horse District Council Local Plan 2016,600001,,local-plan,authoritative,vale-of-white-horse-district-council-local-plan-2016,,legal-instrument,2016-12-01,,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,E07000180,,,,,local-authority:VAL,2031-01-01,2011-01-01
local-plan,,4220010,2024-10-02,,,Adur District Council Local Plan 2017,600001,,local-plan,authoritative,adur-district-council-local-plan-2017,,legal-instrument,2017-12-14,,https://www.adur-worthing.gov.uk/adur-local-plan/,E07000223,,,,,local-authority:ADU,2032-01-01,2017-01-01
local-plan,,4220011,2024-10-21,,,Adur Local Plan 2017 (adopted) - Part 1,600001,,local-plan,authoritative,adur-local-plan-2017-adopted-part-1,,legal-instrument,2017-12-14,,https://www.adur-worthing.gov.uk/adur-local-plan,E07000223,,,,,local-authority:ADU,2032-01-01,2011-01-01
local-plan,,4220012,2024-10-21,,,Ashfield Local Plan 2023 - 2040,600001,,local-plan,authoritative,ashfield-local-plan-2023-2040,,legal-instrument,,,https://www.ashfield.gov.uk/planning-building-control/local-plan/emerging-local-plan,E07000170,,,,,local-authority:ASH,2040-01-01,2023-01-01
local-plan,,4220013,2024-10-02,,,Ashford Borough Council Local Plan 2019,600001,,local-plan,authoritative,ashford-borough-council-local-plan-2019,,legal-instrument,2019-02-01,,https://www.ashford.gov.uk/planning-and-development/planning-policy/adopted-development-plan-documents/adopted-local-plan-to-2030/,E07000105,,,,,local-authority:ASF,2030-01-01,2019-01-01
local-plan,,4220014,2024-10-02,,,The Babergh and Mid Suffolk Joint Local Plan,600001,,local-plan,authoritative,babergh-district-council-local-plan-2023,,legal-instrument,2023-11-20,,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,E07000200,,,,,local-authority:BAB;local-authority:MSU,2037-01-01,2018-01-01
local-plan,,4220015,2024-10-02,,,Barnsley Local Plan 2019,600001,,local-plan,authoritative,barnsley-metropolitan-borough-council-local-plan-2019,,legal-instrument,2019-01-03,,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,E08000016,,,,,local-authority:BNS,2033-01-01,2014-01-01
local-plan,,4220016,2024-10-02,,,Basildon District Local Plan,600001,,local-plan,authoritative,basildon-borough-council-local-plan-2011,,legal-instrument,1998-01-01,,https://www.basildon.gov.uk/adoptedplan,E07000066,,,,,local-authority:BAI,,
local-plan,,4220017,2024-10-21,,,New Local Plan,600001,,local-plan,authoritative,basildon-borough-council-new-local-plan,,legal-instrument,,,https://www.basildon.gov.uk/planningpolicy,E07000066,,,,,local-authority:BAI,,
local-plan,,4220018,2024-10-02,,,Basingstoke and Deane Borough Council Local Plan 2011,600001,,local-plan,authoritative,basingstoke-and-deane-borough-council-local-plan-2011,,legal-instrument,2016-05-26,,https://www.basingstoke.gov.uk/planningpolicy,E07000084,,,,,local-authority:BAN,2029-01-01,2011-01-01
local-plan,,4220019,2024-10-21,,,Basingstoke & Deane Local Plan 2021-2040,600001,,local-plan,authoritative,basingstoke-deane-local-plan-2021-2040,,legal-instrument,,,https://www.basingstoke.gov.uk/LPU-reg18-consultation,E07000084,,,,,local-authority:BAN,2040-01-01,2021-01-01
local-plan,,4220020,2024-10-02,,,Bassetlaw District Council Local Plan 2020,600001,,local-plan,authoritative,bassetlaw-district-council-local-plan-2020,,legal-instrument,2024-05-29,,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,E07000171,,,,,local-authority:BAE,2038-01-01,2018-01-01
local-plan,,4220021,2024-10-02,,,Local Plan 2030,600001,,local-plan,authoritative,bedford-borough-council-local-plan-2018,,legal-instrument,2020-01-15,,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,E06000055,,,,,local-authority:BDF,2030-01-01,
local-plan,,4220022,2024-10-21,,,Local Plan 2040,600001,,local-plan,authoritative,bedford-borough-council-local-plan-2040,,legal-instrument,,,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2040,E06000055,,,,,local-authority:BDF,2040-01-01,2020-01-01
local-plan,,4220023,2024-10-21,,,Birmingham Plan 2042,600001,,local-plan,authoritative,birmingham-plan-2042,,legal-instrument,2017-01-10,,https://www.birmingham.gov.uk/info/20008/planning_and_development/2477/new_local_plan_for_birmingham,E08000025,,,,,local-authority:BIR,2042-01-01,2026-01-01
local-plan,,4220024,2024-10-21,,,"Bournemouth, Christchurch and Poole (BCP) Plan",600001,,local-plan,authoritative,bournemouth-christchurch-and-poole-bcp-plan,,legal-instrument,,,https://www.bcpcouncil.gov.uk/Planning-and-building-control/Planning-policy/BCP-Local-Plan/BCP-Local-Plan.aspx,E06000058,,,,,local-authority:BPC,2039-01-01,2024-01-01
local-plan,,4220025,2024-10-02,,,Calderdale Metropolitan Borough Council Local Plan 2018,600001,,local-plan,authoritative,calderdale-metropolitan-borough-council-local-plan-2018,,legal-instrument,2023-03-22,,https://new.calderdale.gov.uk/planning-and-building-control/planning-policy/local-plan,E08000033,,,,,local-authority:CLD,2033-01-01,2018-01-01
local-plan,,4220026,2024-10-02,,,Cambridge City Council Local Plan 2018,600001,,local-plan,authoritative,cambridge-city-council-local-plan-2018,,legal-instrument,2018-10-18,,https://www.cambridge.gov.uk/local-plan-2018,E07000008,,,,,local-authority:CAB,2031-01-01,2018-01-01
local-plan,,4220027,2024-10-02,,,Cannock Chase District Council Local Plan 2006,600001,,local-plan,authoritative,cannock-chase-district-council-local-plan-2006,,legal-instrument,2014-06-11,,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,E07000192,,,,,local-authority:CAN,2028-01-01,2006-01-01
