dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,adopted-date,document-url,documentation-url,local-plan-boundary,local-plan-process,local-planning-authorities,notes,organisation,organisations,period-end-date,period-start-date
local-plan,,4220028,2024-10-21,,,Cannock Chase District Local Plan,600001,,local-plan,authoritative,cannock-chase-district-local-plan,,legal-instrument,,,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy,E07000192,,,,,local-authority:CAN,2040-01-01,2018-01-01
local-plan,,4220029,2024-10-21,,,Canterbury District Local Plan,600001,,local-plan,authoritative,canterbury-district-local-plan,,legal-instrument,2017-07-13,,https://www.canterbury.gov.uk/planning-and-building/planning-policies/adopted-local-plan,E07000106,,,,,local-authority:CAT,2031-01-01,2011-01-01
local-plan,,4220030,2024-10-02,,,Castle Point Borough Council Local Plan 1998,600001,,local-plan,authoritative,castle-point-borough-council-local-plan-1998,,legal-instrument,1998-11-17,,https://www.castlepoint.gov.uk/adopted-local-plan/,E07000069,,,,,local-authority:CAS,,1998-01-01
local-plan,,4220031,2024-10-02,,,Central Bedfordshire Council Local Plan 2015,600001,,local-plan,authoritative,central-bedfordshire-council-local-plan-2015,,legal-instrument,2021-07-22,,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,E06000056,,,,,local-authority:CBF,2035-01-01,2015-01-01
local-plan,,4220032,2024-10-21,,,New Local Plan - Creating Great Places to Live,600001,,local-plan,authoritative,central-bedfordshire-local-plan-2035,,legal-instrument,,,https://www.centralbedfordshire.gov.uk/info/313/creating_great_places_to_live_-_new_local_plan,E06000056,,,,,local-authority:CBF,,
local-plan,,4220033,2024-10-21,,,Core Strategy 2006-2031,600001,,local-plan,authoritative,core-strategy-2006-2031,,legal-instrument,2013-09-25,,http://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/local-planning-framework/core-strategy,E07000096,,,,,local-authority:DAC,2031-01-01,2006-01-01
local-plan,,4220034,2024-10-21,,,Cotswold District Local Plan 2026-2041 - New Local Plan,600001,,local-plan,authoritative,cotswold-district-local-plan-2026-2041-new-local-plan,,legal-instrument,,,https://www.cotswold.gov.uk/planning-and-building/planning-policy/evidence-base-and-monitoring,E07000079,,,,,local-authority:COT,2041-01-01,2026-01-01
local-plan,,4220035,2024-10-02,,,Dartford Borough Council Local Plan 2024,600001,,local-plan,authoritative,dartford-borough-council-local-plan-2024,,legal-instrument,2024-04-22,,https://www.dartford.gov.uk/policy-1/dartford-plan-2024/1,E07000107,,,,,local-authority:DAR,2037-01-01,2024-01-01
local-plan,,4220036,2024-10-21,,,Derby City Local Plan Part 1: Core Strategy,600001,,local-plan,authoritative,derby-city-local-plan-part-1-core-strategy,,legal-instrument,2017-01-25,,https://www.derby.gov.uk/environment-and-planning/planning/planning-policy/#Localplan,E06000015,,,,,local-authority:DER,2028-01-01,2011-01-01
local-plan,,4220037,2024-10-21,,,Derbyshire Dales Local Plan,600001,,local-plan,authoritative,derbyshire-dales-local-plan,,legal-instrument,2017-12-07,,http://www.derbyshiredales.gov.uk/planning-a-building-control/local-plan-2015-16,E07000035,,,,,local-authority:DEB,2033-01-01,2013-01-01
local-plan,,4220038,2024-10-21,,,Development Plan 2026,600001,,local-plan,authoritative,development-strategy-2026,,legal-instrument,2012-04-03,,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,E09000009,,,,,local-authority:EAL,2026-01-01,2011-01-01
local-plan,,4220039,2024-10-02,,,Doncaster Local Plan 2018 - 2035,600001,,local-plan,authoritative,doncaster-metropolitan-borough-council-local-plan-2015,,legal-instrument,2021-09-23,,https://www.doncaster.gov.uk/services/planning/local-plan,E08000017,,,,,local-authority:DNC,2035-01-01,2018-01-01
local-plan,,4220040,2024-10-21,,,Black Country Core Strategy 2011,600001,,local-plan,authoritative,dud-2009,,legal-instrument,2011-02-03,,https://www.dudley.gov.uk/residents/planning/planning-policy/dudley-local-plan,E08000027,,,,,local-authority:WLV;local-authority:WLL;local-authority:SAW;local-authority:DUD,2026-01-01,2006-01-01
local-plan,,4220041,2024-10-02,,,East Cambridgeshire District Council Local Plan 2013,600001,,local-plan,authoritative,east-cambridgeshire-district-council-local-plan-2013,,legal-instrument,2015-04-21,,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,E07000009,,,,,local-authority:ECA,2031-01-01,2011-01-01
local-plan,,4220042,2024-10-21,,,East Cambridgeshire Local Plan - Single Issue Review,600001,,local-plan,authoritative,east-cambridgeshire-local-plan-single-issue-review,,legal-instrument,2023-10-19,,https://www.eastcambs.gov.uk/local-development-framework/local-plan-review,E07000009,,,,,local-authority:ECA,2031-01-01,2022-01-01
local-plan,,4220043,2024-10-02,,,East Devon District Council Local Plan 2013,600001,,local-plan,authoritative,east-devon-district-council-local-plan-2013,,legal-instrument,2016-01-28,,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,E07000040,,,,,local-authority:EDE,2031-01-01,2013-01-01
local-plan,,4220044,2024-10-21,,,East Devon Local Plan 2013-31,600001,,local-plan,authoritative,east-devon-local-plan-2013-31,,legal-instrument,2016-01-28,,http://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031,E07000040,,,,,local-authority:EDE,2031-01-01,2013-01-01
local-plan,,4220045,2024-10-21,,,East Devon Local Plan 2020-2040,600001,,local-plan,authoritative,east-devon-local-plan-2020-2040,,legal-instrument,,,https://eastdevon.gov.uk/planning/planning-policy/emerging-local-plan/draft-local-plan-consultation,E07000040,,,,,local-authority:EDE,2040-01-01,2020-01-01
local-plan,,4220046,2024-10-21,,,East Hampshire Local Plan,600001,,local-plan,authoritative,east-hampshire-local-plan,,legal-instrument,,,http://www.easthants.gov.uk/draft-local-plan,E07000085,,,,,local-authority:EHA,2040-01-01,2021-01-01
local-plan,,4220047,2024-10-21,,,East Herts District Plan 2018,600001,,local-plan,authoritative,east-herts-district-plan-2018,,legal-instrument,2018-10-23,,https://www.eastherts.gov.uk/planning-and-building/planning-policy/east-herts-district-plan-2018,E07000242,,,,,local-authority:EHE,2033-01-01,2011-01-01
local-plan,,4220048,2024-10-02,,,East Staffordshire Borough Council Local Plan 2012,600001,,local-plan,authoritative,east-staffordshire-borough-council-local-plan-2012,,legal-instrument,2015-10-15,,https://www.eaststaffsbc.gov.uk/planning/planning-policy/local-plan-2012-2031,E07000193,,,,,local-authority:EST,2031-01-01,2012-01-01
local-plan,,4220049,2024-10-02,,,East Suffolk Council Local Plan 2019,600001,,local-plan,authoritative,east-suffolk-council-local-plan-2019,,legal-instrument,2019-03-20,,https://www.eastsuffolk.gov.uk/planning/planning-policy-and-local-plans/local-plans/,E07000244,,,,,local-authority:ESK,,
local-plan,,4220050,2024-10-21,,,Eastbourne Core Strategy,600001,,local-plan,authoritative,eastbourne-core-strategy,,legal-instrument,2013-02-20,,http://www.lewes-eastbourne.gov.uk/planning-policy,E07000061,,,,,local-authority:EAS,2027-01-01,2006-01-01
local-plan,,4220051,2024-10-21,,,Eastleigh Borough Local Plan 2016-2036,600001,,local-plan,authoritative,eastleigh-borough-local-plan-2016-2036,,legal-instrument,2022-04-25,,https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/local-plan,E07000086,,,,,local-authority:EAT,2036-01-01,2016-01-01
local-plan,,4220052,2024-10-21,,,Epping Forest District Local Plan,600001,,local-plan,authoritative,epping-forest-district-local-plan,,legal-instrument,2023-03-06,,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,E07000072,,,,,local-authority:EPP,2033-01-01,2011-01-01
local-plan,,4220053,2024-10-21,,,Fareham Local Plan 2037,600001,,local-plan,authoritative,fareham-local-plan-2037,,legal-instrument,2023-04-05,,https://www.fareham.gov.uk/planning/localplan.aspx,E07000087,,,,,local-authority:FAR,2037-01-01,2021-01-01
local-plan,,4220054,2024-10-21,,,Fenland Local Plan 2021 - 2040,600001,,local-plan,authoritative,fenland-local-plan-2021-2040,,legal-instrument,,,https://www.fenland.gov.uk/newlocalplan,E07000010,,,,,local-authority:FEN,2040-01-01,2021-01-01
local-plan,,4220055,2024-10-02,,,Gateshead Metropolitan Borough Council Local Plan 2010,600001,,local-plan,authoritative,gateshead-metropolitan-borough-council-local-plan-2010,,legal-instrument,2015-03-26,,https://www.gateshead.gov.uk/article/3251/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle-2010-2030,E08000037,,,,,local-authority:GAT;local-authority:NET,2030-01-01,2010-01-01
local-plan,,4220056,2024-10-21,,,"Gloucester, Cheltenham and Tewkesbury Joint Core Strategy",600001,,local-plan,authoritative,gloucester-cheltenham-and-tewkesbury-joint-core-strategy-duplicate,,legal-instrument,2017-11-23,,https://www.jointcorestrategy.org/home,E07000081,,,,,local-authority:TEW;local-authority:CHT;local-authority:GLO,2031-01-01,2011-01-01
local-plan,,4220057,2024-10-02,,,Gloucester City Council Local Plan 2011,600001,,local-plan,authoritative,gloucester-city-council-local-plan-2011,,legal-instrument,2023-01-01,,https://www.gloucester.gov.uk/planning-development/planning-policy/adopted-development-plan/,E07000081,,,,,local-authority:GLO,2031-01-01,2011-01-01
local-plan,,4220058,2024-10-21,,,Great Yarmouth Local Plan 2021-2041,600001,,local-plan,authoritative,great-yarmouth-local-plan-2021-2041,,legal-instrument,,,https://localplan.great-yarmouth.gov.uk,E07000145,,,,,local-authority:GRY,2041-01-01,2024-01-01
local-plan,,4220059,2024-10-21,,,Greater Cambridge Local Plan 2021-2041,600001,,local-plan,authoritative,greater-cambridge-local-plan-2021-2041,,legal-instrument,,,https://www.greatercambridgeplanning.org/emerging-plans-and-guidance/greater-cambridge-local-plan,E07000008,,,,,local-authority:CAB,2041-01-01,2020-01-01
local-plan,,4220060,2024-10-02,,,Halton Borough Council Local Plan 2014 - 2037,600001,,local-plan,authoritative,halton-borough-council-local-plan-2022,,legal-instrument,2022-03-02,,https://www3.halton.gov.uk/Pages/eip/eiphome.aspx,E06000006,,,,,local-authority:HAL,2037-01-01,2014-01-01
local-plan,,4220061,2024-10-21,,,Harborough New Local Plan 2020-2041,600001,,local-plan,authoritative,harborough-new-local-plan-2020-2041,,legal-instrument,,,https://harborough.oc2.uk/document/58/5666#topofdoc,E07000131,,,,,local-authority:HAO,2041-01-01,2020-01-01
local-plan,,4220062,2024-10-02,,,Harlow District Council Local Plan 2011,600001,,local-plan,authoritative,harlow-district-council-local-plan-2011,,legal-instrument,2020-12-10,,https://www.harlow.gov.uk/planning-and-building-control/planning-policy/local-plan,E07000073,,,,,local-authority:HAR,2033-01-01,2011-01-01
local-plan,,4220063,2024-10-21,,,Harlow Local Plan,600001,,local-plan,authoritative,harlow-local-plan,,legal-instrument,2020-12-10,,https://www.harlow.gov.uk/planning-and-building-control/planning-policy/new-local-plan/local-development-scheme,E07000073,,,,,local-authority:HAR,2033-01-01,2011-01-01
local-plan,,4220064,2024-10-02,,,Hart Local Plan (strategy and sites) 2032,600001,,local-plan,authoritative,hart-district-council-local-plan-2014,,legal-instrument,2020-04-30,,https://www.hart.gov.uk/planning-and-building-control/planning-policy/plans-and-policies,E07000089,,,,,local-authority:HAT,2032-01-01,2014-01-01
local-plan,,4220065,2024-10-21,,,Hartlepool Local Plan,600001,,local-plan,authoritative,hartlepool-local-plan,,legal-instrument,2018-05-22,,https://www.hartlepool.gov.uk/downloads/download/101/01_hartlepool_local_plan_2018,E06000001,,,,,local-authority:HPL,2031-01-01,2016-01-01
local-plan,,4220066,2024-10-21,,,Hastings Local Plan 2019-2039,600001,,local-plan,authoritative,hastings-local-plan-2019-2041,,legal-instrument,,,https://www.hastings.gov.uk/planning/policy/new-local-plan/introduction,E07000062,,,,,local-authority:HAS,2039-01-01,2019-01-01
local-plan,,4220067,2024-10-02,,,Herefordshire Council Local Plan 2021,600001,,local-plan,authoritative,herefordshire-council-local-plan-2021,,legal-instrument,2015-10-16,,https://www.herefordshire.gov.uk/local-plan-1,E06000019,,,,,local-authority:HEF,2041-01-01,2021-01-01
local-plan,,4220068,2024-10-02,,,Hertsmere Borough Council Local Plan 2012,600001,,local-plan,authoritative,hertsmere-borough-council-local-plan-2012,,legal-instrument,2013-01-16,,https://www.hertsmere.gov.uk/Planning--Building-Control/Planning-Policy/Local-Plan/Current-Local-Plan/Local-Plan-2012-27-Core-Strategy.aspx,E07000098,,,,,local-authority:HER,2027-01-01,2012-01-01
local-plan,,4220069,2024-10-02,,,High Peak Borough Council Local Plan 2011,600001,,local-plan,authoritative,high-peak-borough-council-local-plan-2011,,legal-instrument,2016-04-14,,https://www.highpeak.gov.uk/article/646/The-Adopted-Local-Plan-2016,E07000037,,,,,local-authority:HIG,2031-01-01,2011-01-01
local-plan,,4220070,2024-10-21,,,Huntingdonshire's Local Plan to 2036,600001,,local-plan,authoritative,huntingdonshire-s-local-plan-to-2036,,legal-instrument,2019-05-15,,http://www.huntingdonshire.gov.uk/planning/new-local-plan-to-2036,E07000011,,,,,local-authority:HUN,2036-01-01,2011-01-01
local-plan,,4220071,2024-10-02,,,Kirklees Council Local Plan 2013,600001,,local-plan,authoritative,kirklees-council-local-plan-2013,,legal-instrument,2019-02-27,,https://www.kirklees.gov.uk/beta/planning-policy/local-plan.aspx,E08000034,,,,,local-authority:KIR,2031-01-01,2013-01-01
local-plan,,4220072,2024-10-02,,,Lincolnshire County Council Local Plan 2023,600001,,local-plan,authoritative,lincolnshire-county-council-local-plan-2023,,legal-instrument,2023-04-13,,https://www.n-kesteven.gov.uk/central-lincolnshire,,,,,,local-authority:LIN,2040-01-01,2023-01-01
local-plan,,4220073,2024-10-21,,,Merton Local Plan 2024 – 2037/38,600001,,local-plan,authoritative,local-plan-2020,,legal-instrument,2024-11-20,,https://www.merton.gov.uk/planning-and-buildings/planning/local-plan/newlocalplan,E09000024,,,,,local-authority:MRT,2038-01-01,2024-01-01
local-plan,,4220074,2024-10-21,,,Local Plan Review 2018-2036,600001,,local-plan,authoritative,local-plan-review-2018-2036,,legal-instrument,2021-12-03,,https://www.dartmoor.gov.uk/living-and-working/business/planning-policy/local-plan-review,E26000001,,,,,national-park-authority:Q5225646,2036-01-01,2018-01-01
local-plan,,4220075,2024-10-02,,,London Borough of Bromley Local Plan 2019,600001,,local-plan,authoritative,london-borough-of-bromley-local-plan-2019,,legal-instrument,2019-01-16,,https://www.bromley.gov.uk/Local_Plan,E09000006,,,,,local-authority:BRY,,2019-01-01
local-plan,,4220076,2024-10-02,,,Ealing's Local Plan 2024-2039,600001,,local-plan,authoritative,london-borough-of-ealing-local-plan-2011,,legal-instrument,,,https://www.ealing.gov.uk/info/201164/local_plan/3125/new_local_plan,E09000009,,,,,local-authority:EAL,2039-01-01,2024-01-01
local-plan,,4220077,2024-10-02,,,London Borough of Haringey Local Plan 2013,600001,,local-plan,authoritative,london-borough-of-haringey-local-plan-2013,,legal-instrument,2017-07-24,,https://new.haringey.gov.uk/planning-building-control/planning/planning-policy/local-plan/local-plan-strategic-policies,E09000014,,,,,local-authority:HRY,2026-01-01,2013-01-01
local-plan,,4220078,2024-10-02,,,Havering Local Plan 2016,600001,,local-plan,authoritative,london-borough-of-havering-local-plan-2016,,legal-instrument,2021-11-17,,https://www.havering.gov.uk/planning-3/planning-policy/2,E09000016,,,,,local-authority:HAV,2031-01-01,2016-01-01
local-plan,,4220079,2024-10-02,,,London Borough of Lewisham Local Plan 2020,600001,,local-plan,authoritative,london-borough-of-lewisham-local-plan-2020,,legal-instrument,,,https://lewisham.gov.uk/myservices/planning/policy/planning/current-and-future-consultations,E09000023,,,,,local-authority:LEW,2038-01-01,2023-01-01
local-plan,,4220080,2024-10-02,,,Redbridge Local Plan 2015,600001,,local-plan,authoritative,london-borough-of-redbridge-local-plan-2015,,legal-instrument,2018-03-15,,https://www.redbridge.gov.uk/planning-and-building/planning-policy/local-plan/,E09000026,,,,,local-authority:RDB,2030-01-01,2015-01-01
local-plan,,4220081,2024-10-02,,,Sutton Local Plan 2016-2031,600001,,local-plan,authoritative,london-borough-of-sutton-local-plan-2018,,legal-instrument,2018-02-26,,https://www.sutton.gov.uk/w/the-local-plan,E09000029,,,,,local-authority:STN,2031-01-01,2016-01-01
local-plan,,4220082,2024-10-02,,,Local Plan Review 2021-2038,600001,,local-plan,authoritative,maidstone-borough-council-local-plan-2021,,legal-instrument,2024-03-20,,https://localplan.maidstone.gov.uk/home/local-plan-review,E07000110,,,,,local-authority:MAI,2038-01-01,2021-01-01
local-plan,,4220083,2024-10-02,,,Mansfield District Council Local Plan 2013,600001,,local-plan,authoritative,mansfield-district-council-local-plan-2013,,legal-instrument,2020-09-08,,https://www.mansfield.gov.uk/local-plan/adopted-local-plan-2013-2033,E07000174,,,,,local-authority:MAS,2033-01-01,2013-01-01
local-plan,,4220084,2024-10-21,,,Mid Sussex District Plan 2021 - 2039,600001,,local-plan,authoritative,mid-sussex-district-plan-2021-2039,,legal-instrument,,,https://www.midsussex.gov.uk/planning-building/mid-sussex-district-plan/district-plan-review,E07000228,,,,,local-authority:MSS,2039-01-01,2021-01-01
local-plan,,4220085,2024-11-04,,,New Ashford Local Plan to 2042,600001,,local-plan,authoritative,new-ashford-local-plan-to-2042,,legal-instrument,,,https://www.ashford.gov.uk/planning-and-development/planning-policy/emerging-local-plan/,,,,,,local-authority:ASF,2042-01-01,2024-01-01
local-plan,,4220086,2024-10-21,,,New Canterbury District Local Plan (2020-2040),600001,,local-plan,authoritative,new-canterbury-district-local-plan-2020-2040,,legal-instrument,,,https://news.canterbury.gov.uk/consultations/canterbury-district-local-plan-to-2040/,E07000106,,,,,local-authority:CAT,2041-01-01,2020-01-01
local-plan,,4220087,2024-10-21,,,New Dover District Plan,600001,,local-plan,authoritative,new-dover-district-plan,,legal-instrument,2024-10-16,,https://www.doverdistrictlocalplan.co.uk,E07000108,,,,,local-authority:DOV,2040-01-01,2020-01-01
local-plan,,4220088,2024-10-21,,,New Local Plan,600001,,local-plan,authoritative,new-local-plan,,legal-instrument,,,https://www.haringey.gov.uk/planning-and-building-control/planning/planning-policy/new-local-plan-first-steps-engagement,E09000014,,,,,local-authority:HRY,,
local-plan,,4220089,2024-11-04,,,New Local Plan,600001,,local-plan,authoritative,new-local-plan-0-0,,legal-instrument,,,https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/New-Local-Plan,,,,,,local-authority:TAN,,
local-plan,,4220090,2024-10-02,,,Oldham Metropolitan Borough Council Local Plan 2011,600001,,local-plan,authoritative,oldham-metropolitan-borough-council-local-plan-2011,,legal-instrument,2011-11-09,,https://www.oldham.gov.uk/info/201229/current_local_planning_policy/2934/the_adopted_local_plan_in_oldham,E08000004,,,,,local-authority:OLD,,2011-01-01
local-plan,,4220091,2024-10-21,,,Local Plan 2040,600001,,local-plan,authoritative,sevenoaks-district-council-local-plan-2040,,legal-instrument,,,https://www.sevenoaks.gov.uk/info/20069131/plan_2040,E07000111,,,,,local-authority:SEV,2040-01-01,2025-01-01
