dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,document-url,documentation-url,event-date,local-plan,local-plan-event,notes,organisation,predicted-earliest-date,predicted-latest-date
local-plan-timetable,,4230013,2024-12-06,,,,56,,local-plan-timetable,some,braintree-district-council-local-plan-2014-plan-adopted,,timetable,,,2022-07-25,braintree-district-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230014,2024-12-06,,,,59,,local-plan-timetable,some,breckland-district-council-local-plan-2043-plan-adopted,,timetable,,,2023-09-21,breckland-district-council-local-plan-2043,plan-adopted,,,,
local-plan-timetable,,4230015,2024-12-06,,,,63,,local-plan-timetable,some,brentwood-borough-council-local-plan-2016-plan-adopted,,timetable,,,2022-03-23,brentwood-borough-council-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230016,2024-12-06,,,,64,,local-plan-timetable,some,broxbourne-borough-council-local-plan-2018-plan-adopted,,timetable,,,2020-06-23,broxbourne-borough-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230017,2024-12-06,,,,81,,local-plan-timetable,some,chelmsford-city-council-local-plan-2013-plan-adopted,,timetable,,,2020-05-27,chelmsford-city-council-local-plan-2013,plan-adopted,,,,
local-plan-timetable,,4230018,2024-12-06,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2015-plan-adopted,,timetable,,,2015-01-15,city-of-london-corporation-local-plan-2015,plan-adopted,,,,
local-plan-timetable,,4230019,2024-12-06,,,,387,,local-plan-timetable,some,city-of-westminster-local-plan-2019-plan-adopted,,timetable,,,2021-04-21,city-of-westminster-local-plan-2019,plan-adopted,,,,
local-plan-timetable,,4230020,2024-12-18,,,,59,,local-plan-timetable,some,breckland-district-council-local-plan-2046-reg-18-draft-local-plan-published,,timetable,,,2024-06-01,breckland-district-council-local-plan-2046,reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230021,2024-12-18,,,,59,,local-plan-timetable,some,breckland-district-council-local-plan-2046-estimated-plan-adoption-date,,timetable,,,2026-10-01,breckland-district-council-local-plan-2046,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230022,2025-02-03,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2015-submit-plan-for-examination,,timetable,,,2014-05-21,city-of-london-corporation-local-plan-2015,submit-plan-for-examination,,,,
local-plan-timetable,,4230023,2025-03-18,,,,387,,local-plan-timetable,some,city-of-westminster-local-plan-2022-submit-plan-for-examination,,timetable,,,2024-11-28,city-of-westminster-local-plan-2022,submit-plan-for-examination,,,,
local-plan-timetable,,4230024,2025-03-18,,,,171,,local-plan-timetable,some,horsham-district-council-local-plan-2011-planning-inspectorate-examination-start,,timetable,,,2024-07-26,horsham-district-council-local-plan-2011,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230025,2025-03-18,,,,395,,local-plan-timetable,some,city-of-york-council-local-plan-2017-plan-adopted,,timetable,,,2025-02-27,city-of-york-council-local-plan-2017,plan-adopted,,,,
local-plan-timetable,,4230026,2025-03-20,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-reg-19-publication-local-plan-published,,timetable,,,2024-04-18,city-of-london-corporation-local-plan-2026,reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230027,2024-12-10,,,,69,,local-plan-timetable,some,bury-metropolitan-borough-council-local-plan-2018-inspector-report-published,,timetable,,,2024-02-14,bury-metropolitan-borough-council-local-plan-2018,inspector-report-published,,,,
local-plan-timetable,,4230028,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-inspector-report-published,,timetable,,,2018-07-09,burnley-borough-council-local-plan-2012,inspector-report-published,,,,
local-plan-timetable,,4230029,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-reg-18-public-consultation-end,,timetable,,,2016-07-01,burnley-borough-council-local-plan-2012,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230030,2024-12-10,,,,62,,local-plan-timetable,some,broxtowe-borough-council-local-plan-2022-estimated-submit-plan-for-examination,,timetable,,,2024-12-01,broxtowe-borough-council-local-plan-2022,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230031,2024-12-10,,,,399,,local-plan-timetable,some,broads-authority-local-plan-2021-estimated-plan-adoption-date,,timetable,,,2026-12-01,broads-authority-local-plan-2021,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230032,2024-12-10,,,,66,,local-plan-timetable,some,bristol-city-council-local-plan-2022-submit-plan-for-examination,,timetable,,,2024-04-25,bristol-city-council-local-plan-2022,submit-plan-for-examination,,,,
local-plan-timetable,,4230033,2024-12-06,,,,125,,local-plan-timetable,some,elmbridge-borough-council-local-plan-2011-plan-adopted,,timetable,,,2011-07-20,elmbridge-borough-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230034,2025-02-03,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-estimated-submit-plan-for-examination,,timetable,,,2024-09-01,city-of-london-corporation-local-plan-2026,estimated-submit-plan-for-examination,From LDS,,,
local-plan-timetable,,4230035,2025-03-20,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-reg-19-public-consultation-start,,timetable,,,2024-04-18,city-of-london-corporation-local-plan-2026,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230036,2025-03-20,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-estimated-plan-adoption-date,,timetable,,,2026-03-01,city-of-london-corporation-local-plan-2026,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230037,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-planning-inspectorate-examination-start,,timetable,,,2017-07-01,burnley-borough-council-local-plan-2012,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230038,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-planning-inspectorate-examination-end,,timetable,,,2018-07-01,burnley-borough-council-local-plan-2012,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230039,2024-12-10,,,,66,,local-plan-timetable,some,bristol-city-council-local-plan-2022-reg-19-publication-local-plan-published,,timetable,,,2023-11-21,bristol-city-council-local-plan-2022,reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230040,2024-12-06,,,,208,,local-plan-timetable,some,mansfield-district-council-local-plan-2013-plan-adopted,,timetable,,,2020-09-08,mansfield-district-council-local-plan-2013,plan-adopted,,,,
local-plan-timetable,,4230041,2024-12-06,,,,123,,local-plan-timetable,some,east-hertfordshire-district-council-local-plan-2011-plan-adopted,,timetable,,,2018-10-23,east-hertfordshire-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230042,2024-12-06,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-2015-plan-adopted,,timetable,,,2021-07-22,central-bedfordshire-council-local-plan-2015,plan-adopted,,,,
local-plan-timetable,,4230043,2024-12-06,,,,192,,local-plan-timetable,some,london-borough-of-lambeth-local-plan-2020-plan-adopted,,timetable,,,2021-09-22,london-borough-of-lambeth-local-plan-2020,plan-adopted,,,,
local-plan-timetable,,4230044,2024-12-06,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2030-plan-adopted,,timetable,,,2020-01-15,bedford-borough-council-local-plan-2030,plan-adopted,,,,
local-plan-timetable,,4230045,2025-02-03,,,,125,,local-plan-timetable,some,elmbridge-borough-council-local-plan-2022-submit-plan-for-examination,,timetable,,,2023-08-10,elmbridge-borough-council-local-plan-2022,submit-plan-for-examination,Documents submitted listed here https://www.elmbridge.gov.uk/local-plan-examination/submission-documents,,,
local-plan-timetable,,4230046,2024-12-06,,,,204,,local-plan-timetable,some,luton-borough-council-local-plan-2011-plan-adopted,,timetable,,,2017-11-07,luton-borough-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230047,2025-03-20,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-reg-19-public-consultation-end,,timetable,,,2024-06-17,city-of-london-corporation-local-plan-2026,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230048,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-reg-18-public-consultation-start,,timetable,,,2016-07-01,burnley-borough-council-local-plan-2012,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230049,2024-12-06,,,,237,,local-plan-timetable,some,norwich-city-council-local-plan-2018-plan-adopted,,timetable,,,2024-03-28,norwich-city-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230050,2025-03-20,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-submit-plan-for-examination,,timetable,,,2024-08-29,city-of-london-corporation-local-plan-2026,submit-plan-for-examination,,,,
local-plan-timetable,,4230051,2024-12-06,,,,261,,local-plan-timetable,some,london-borough-of-redbridge-local-plan-2015-plan-adopted,,timetable,,,2018-03-15,london-borough-of-redbridge-local-plan-2015,plan-adopted,,,,
local-plan-timetable,,4230052,2024-12-06,,,,62,,local-plan-timetable,some,broxtowe-borough-council-local-plan-2014-plan-adopted,,timetable,,,2014-09-17,broxtowe-borough-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230053,2024-12-06,,,,132,,local-plan-timetable,some,east-suffolk-council-local-plan-plan-adopted,,timetable,,,2019-03-20,east-suffolk-council-local-plan,plan-adopted,,,,
local-plan-timetable,,4230054,2024-12-06,,,,62,,local-plan-timetable,some,broxtowe-borough-council-local-plan-2018-plan-adopted,,timetable,,,2019-08-16,broxtowe-borough-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230055,2024-12-06,,,,159,,local-plan-timetable,some,harlow-district-council-local-plan-2011-plan-adopted,,timetable,,,2020-12-10,harlow-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230056,2024-12-06,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-plan-adopted,,timetable,,,2023-09-28,london-borough-of-islington-local-plan-2020,plan-adopted,,,,
local-plan-timetable,,4230057,2024-12-06,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2016-plan-adopted,,timetable,,,2017-07-03,london-borough-of-camden-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230058,2024-12-06,,,,187,,local-plan-timetable,some,kirklees-council-local-plan-2013-plan-adopted,,timetable,,,2019-02-27,kirklees-council-local-plan-2013,plan-adopted,,,,
local-plan-timetable,,4230059,2024-12-06,,,,364,,local-plan-timetable,some,welwyn-hatfield-borough-council-local-plan-2016-plan-adopted,,timetable,,,2023-10-12,welwyn-hatfield-borough-council-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230060,2024-12-06,,,,352,,local-plan-timetable,some,vale-of-white-horse-district-council-local-plan-2011-plan-adopted,,timetable,,,2016-12-01,vale-of-white-horse-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230061,2024-12-06,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2015-plan-adopted,,timetable,,,2015-01-28,thurrock-council-local-plan-2015,plan-adopted,,,,
local-plan-timetable,,4230062,2024-12-06,,,,317,,local-plan-timetable,some,staffordshire-moorlands-district-council-local-plan-2014-plan-adopted,,timetable,,,2020-09-09,staffordshire-moorlands-district-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230063,2024-12-06,,,,102,,local-plan-timetable,some,darlington-borough-council-local-plan-2016-plan-adopted,,timetable,,,2022-02-17,darlington-borough-council-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230064,2024-12-06,,,,281,,local-plan-timetable,some,south-cambridgeshire-district-council-local-plan-2018-plan-adopted,,timetable,,,2018-09-27,south-cambridgeshire-district-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230065,2024-12-06,,,,124,,local-plan-timetable,some,east-lindsey-district-council-local-plan-2016-plan-adopted,,timetable,,,2018-07-18,east-lindsey-district-council-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230066,2024-12-06,,,,26,,local-plan-timetable,some,adur-district-council-local-plan-2011-plan-adopted,,timetable,,,2017-12-14,adur-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230067,2024-12-06,,,,57,,local-plan-timetable,some,bracknell-forest-council-local-plan-2020-plan-adopted,,timetable,,,2024-03-19,bracknell-forest-council-local-plan-2020,plan-adopted,,,,
local-plan-timetable,,4230068,2024-12-06,,,,117,,local-plan-timetable,some,eastleigh-borough-council-local-plan-2016-plan-adopted,,timetable,,,2022-04-25,eastleigh-borough-council-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230069,2024-12-06,,,,387,,local-plan-timetable,some,city-of-westminster-local-plan-2016-plan-adopted,,timetable,,,2013-11-13,city-of-westminster-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230070,2024-12-06,,,,161,,local-plan-timetable,some,hart-district-council-local-plan-2014-plan-adopted,,timetable,,,2020-04-30,hart-district-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230071,2024-12-06,,,,176,,local-plan-timetable,some,huntingdonshire-district-council-local-plan-2011-plan-adopted,,timetable,,,2019-05-15,huntingdonshire-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230072,2024-12-06,,,,201,,local-plan-timetable,some,lincolnshire-county-council-local-plan-2023-plan-adopted,,timetable,,,2023-04-13,lincolnshire-county-council-local-plan-2023,plan-adopted,,,,
local-plan-timetable,,4230073,2024-12-06,,,,109,,local-plan-timetable,some,doncaster-metropolitan-borough-council-local-plan-2018-plan-adopted,,timetable,,,2021-09-23,doncaster-metropolitan-borough-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230074,2024-12-06,,,,172,,local-plan-timetable,some,hartlepool-borough-council-local-plan-2016-plan-adopted,,timetable,,,2018-05-22,hartlepool-borough-council-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230075,2024-12-06,,,,53,,local-plan-timetable,some,boston-borough-council-local-plan-2011-plan-adopted,,timetable,,,2019-03-08,boston-borough-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230076,2024-12-06,,,,55,,local-plan-timetable,some,blackpool-borough-council-local-plan-2012-plan-adopted,,timetable,,,2016-01-20,blackpool-borough-council-local-plan-2012,plan-adopted,,,,
local-plan-timetable,,4230077,2024-12-06,,,,49,,local-plan-timetable,some,brighton-and-hove-city-council-local-plan-plan-adopted,,timetable,,,2016-03-24,brighton-and-hove-city-council-local-plan,plan-adopted,,,,
local-plan-timetable,,4230078,2024-12-06,,,,60,,local-plan-timetable,some,bromsgrove-district-council-local-plan-2011-plan-adopted,,timetable,,,2017-01-25,bromsgrove-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230079,2024-12-06,,,,66,,local-plan-timetable,some,bristol-city-council-local-plan-2006-plan-adopted,,timetable,,,2011-06-21,bristol-city-council-local-plan-2006,plan-adopted,,,,
local-plan-timetable,,4230080,2024-12-06,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-plan-adopted,,timetable,,,2018-07-31,burnley-borough-council-local-plan-2012,plan-adopted,,,,
local-plan-timetable,,4230081,2024-12-06,,,,370,,local-plan-timetable,some,wakefield-metropolitan-district-council-local-plan-2017-plan-adopted,,timetable,,,2024-01-24,wakefield-metropolitan-district-council-local-plan-2017,plan-adopted,,,,
local-plan-timetable,,4230082,2024-12-06,,,,164,,local-plan-timetable,some,herefordshire-council-local-plan-2021-plan-adopted,,timetable,,,2015-10-16,herefordshire-council-local-plan-2021,plan-adopted,,,,
local-plan-timetable,,4230083,2024-12-06,,,,128,,local-plan-timetable,some,epping-forest-district-council-local-plan-2011-plan-adopted,,timetable,,,2023-03-06,epping-forest-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230084,2024-12-06,,,,114,,local-plan-timetable,some,durham-county-council-local-plan-2035-plan-adopted,,timetable,,,2020-10-21,durham-county-council-local-plan-2035,plan-adopted,,,,
local-plan-timetable,,4230085,2025-03-20,,,,203,,local-plan-timetable,some,city-of-london-corporation-local-plan-2026-planning-inspectorate-examination-start,,timetable,,,2024-08-29,city-of-london-corporation-local-plan-2026,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230086,2024-12-06,,,,118,,local-plan-timetable,some,east-cambridgeshire-district-council-local-plan-2022-plan-adopted,,timetable,,,2023-10-19,east-cambridgeshire-district-council-local-plan-2022,plan-adopted,,,,
local-plan-timetable,,4230087,2024-12-06,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-plan-adopted,,timetable,,,1998-01-01,basildon-borough-council-local-plan,plan-adopted,,,,
local-plan-timetable,,4230088,2024-12-06,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2006-plan-adopted,,timetable,,,2014-06-11,cannock-chase-district-council-local-plan-2006,plan-adopted,,,,
local-plan-timetable,,4230089,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-estimated-plan-adoption-date,,timetable,,,2026-01-01,london-borough-of-camden-local-plan-2026,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230090,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2016-planning-inspectorate-examination-end,,timetable,,,2017-05-01,london-borough-of-camden-local-plan-2016,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230091,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2016-inspector-report-published,,timetable,,,2017-05-01,london-borough-of-camden-local-plan-2016,inspector-report-published,,,,
local-plan-timetable,,4230092,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2016-planning-inspectorate-examination-start,,timetable,,,2016-06-01,london-borough-of-camden-local-plan-2016,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230093,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-reg-18-public-consultation-start,,timetable,,,2020-01-01,london-borough-of-camden-local-plan-2026,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230094,2024-11-11,,,,29,,local-plan-timetable,some,arun-district-council-local-plan-2011-submit-plan-for-examination,,timetable,,,2015-01-30,arun-district-council-local-plan-2011,submit-plan-for-examination,,,,
local-plan-timetable,,4230095,2024-11-11,,,,29,,local-plan-timetable,some,arun-district-council-local-plan-2011-planning-inspectorate-examination-start,,timetable,,,2015-06-02,arun-district-council-local-plan-2011,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230096,2024-11-11,,,,29,,local-plan-timetable,some,arun-district-council-local-plan-2011-planning-inspectorate-examination-end,,timetable,,,2017-09-28,arun-district-council-local-plan-2011,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230097,2024-11-11,,,,29,,local-plan-timetable,some,arun-district-council-local-plan-2011-inspector-report-published,,timetable,,,2018-07-01,arun-district-council-local-plan-2011,inspector-report-published,,,,
local-plan-timetable,,4230098,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2019-submit-plan-for-examination,,timetable,,,2017-12-21,ashford-borough-council-local-plan-2019,submit-plan-for-examination,,,,
local-plan-timetable,,4230099,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2019-planning-inspectorate-examination-start,,timetable,,,2018-04-11,ashford-borough-council-local-plan-2019,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230100,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2019-planning-inspectorate-examination-end,,timetable,,,2018-06-13,ashford-borough-council-local-plan-2019,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230101,2024-12-06,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2019-plan-adopted,,timetable,,,2019-02-01,ashford-borough-council-local-plan-2019,plan-adopted,,,,
local-plan-timetable,,4230102,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2019-inspector-report-published,,timetable,,,2019-01-02,ashford-borough-council-local-plan-2019,inspector-report-published,,,,
local-plan-timetable,,4230103,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2024-estimated-reg-18-draft-local-plan-published,,timetable,,,2025-04-01,ashford-borough-council-local-plan-2024,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230104,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2024-estimated-reg-19-publication-local-plan-published,,timetable,,,2026-02-01,ashford-borough-council-local-plan-2024,estimated-reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230105,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2024-estimated-submit-plan-for-examination,,timetable,,,2026-09-01,ashford-borough-council-local-plan-2024,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230106,2024-11-11,,,,30,,local-plan-timetable,some,ashford-borough-council-local-plan-2024-estimated-plan-adoption-date,,timetable,,,2027-05-01,ashford-borough-council-local-plan-2024,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230107,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2016-submit-plan-for-examination,,timetable,,,2016-06-24,london-borough-of-camden-local-plan-2016,submit-plan-for-examination,,,,
local-plan-timetable,,4230108,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2016-planning-inspectorate-found-sound,,timetable,,,2017-05-10,london-borough-of-camden-local-plan-2016,planning-inspectorate-found-sound,,,,
local-plan-timetable,,4230109,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-timetable-published,,timetable,,,2023-12-01,london-borough-of-camden-local-plan-2026,timetable-published,,,,
local-plan-timetable,,4230110,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-estimated-reg-19-public-consultation-start,,timetable,,,2024-01-01,london-borough-of-camden-local-plan-2026,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230111,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-estimated-reg-19-public-consultation-end,,timetable,,,2025-01-01,london-borough-of-camden-local-plan-2026,estimated-reg-19-public-consultation-end,,,,
local-plan-timetable,,4230112,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-estimated-submit-plan-for-examination,,timetable,,,2025-01-01,london-borough-of-camden-local-plan-2026,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230113,2024-11-11,,,,90,,local-plan-timetable,some,london-borough-of-camden-local-plan-2026-reg-18-public-consultation-end,,timetable,,,2021-01-01,london-borough-of-camden-local-plan-2026,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230114,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-estimated-submit-plan-for-examination,,timetable,,,2024-05-01,london-borough-of-ealing-local-plan-2024,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230115,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-estimated-plan-adoption-date,,timetable,,,2024-12-01,london-borough-of-ealing-local-plan-2024,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230116,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-reg-18-draft-local-plan-published,,timetable,,,2022-11-30,london-borough-of-ealing-local-plan-2024,reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230117,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-reg-18-public-consultation-start,,timetable,,,2022-11-30,london-borough-of-ealing-local-plan-2024,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230118,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-reg-18-public-consultation-end,,timetable,,,2023-02-08,london-borough-of-ealing-local-plan-2024,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230120,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-reg-19-public-consultation-start,,timetable,,,2024-02-28,london-borough-of-ealing-local-plan-2024,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230121,2024-11-11,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2024-reg-19-public-consultation-end,,timetable,,,2024-04-10,london-borough-of-ealing-local-plan-2024,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230122,2024-11-11,,,,124,,local-plan-timetable,some,east-lindsey-district-council-local-plan-2016-submit-plan-for-examination,,timetable,,,2017-04-19,east-lindsey-district-council-local-plan-2016,submit-plan-for-examination,,,,
