dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,document-url,documentation-url,event-date,local-plan,local-plan-event,notes,organisation,predicted-earliest-date,predicted-latest-date
local-plan-timetable,,4230000,2024-12-10,,,,69,,local-plan-timetable,some,bury-metropolitan-borough-council-local-plan-2018-plan-adopted,,timetable,,,2024-03-21,bury-metropolitan-borough-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230001,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-submit-plan-for-examination,,timetable,,,2017-07-20,burnley-borough-council-local-plan-2012,submit-plan-for-examination,,,,
local-plan-timetable,,4230002,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-reg-19-public-consultation-start,,timetable,,,2017-04-01,burnley-borough-council-local-plan-2012,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230003,2024-12-10,,,,68,,local-plan-timetable,some,burnley-borough-council-local-plan-2012-reg-19-public-consultation-end,,timetable,,,2017-05-01,burnley-borough-council-local-plan-2012,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230004,2024-12-10,,,,62,,local-plan-timetable,some,broxtowe-borough-council-local-plan-2022-estimated-plan-adoption-date,,timetable,,,2026-03-01,broxtowe-borough-council-local-plan-2022,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230005,2024-12-10,,,,399,,local-plan-timetable,some,broads-authority-local-plan-2021-estimated-submit-plan-for-examination,,timetable,,,2025-05-01,broads-authority-local-plan-2021,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230006,2024-12-10,,,,66,,local-plan-timetable,some,bristol-city-council-local-plan-2022-estimated-plan-adoption-date,,timetable,,,2026-03-01,bristol-city-council-local-plan-2022,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230007,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-reg-18-public-consultation-end,,timetable,,,2019-01-14,london-borough-of-islington-local-plan-2020,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230008,2024-12-06,,,,134,,local-plan-timetable,some,east-staffordshire-borough-council-local-plan-2012-plan-adopted,,timetable,,,2015-10-15,east-staffordshire-borough-council-local-plan-2012,plan-adopted,,,,
local-plan-timetable,,4230009,2024-12-06,,,,46,,local-plan-timetable,some,blaby-district-council-local-plan-2019-plan-adopted,,timetable,,,2019-02-04,blaby-district-council-local-plan-2019,plan-adopted,,,,
local-plan-timetable,,4230010,2024-12-06,,,,39,,local-plan-timetable,some,blackburn-with-darwen-borough-council-local-plan-2021-plan-adopted,,timetable,,,2024-01-25,blackburn-with-darwen-borough-council-local-plan-2021,plan-adopted,,,,
local-plan-timetable,,4230011,2024-12-06,,,,52,,local-plan-timetable,some,bolsover-district-council-local-plan-2014-plan-adopted,,timetable,,,2022-02-25,bolsover-district-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230012,2024-12-06,,,,51,,local-plan-timetable,some,bolton-metropolitan-borough-council-local-plan-2008-plan-adopted,,timetable,,,2011-03-02,bolton-metropolitan-borough-council-local-plan-2008,plan-adopted,,,,
