dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,description,document-types,document-url,documentation-url,local-plan,notes,organisation
local-plan-document,,3800010,2024-10-02,,,Strategic and Development Management policies,600001,,local-plan-document,authoritative,london-borough-of-islington-local-plan-2023-1,,document,,local-plan,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-council-local-plan-strategic-and-development-management-policies.pdf?la=en&hash=87580E35EA21B2221918960F570CD1CC3CEFFE6B,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,london-borough-of-islington-local-plan-2023,,
local-plan-document,,3800011,2024-10-02,,,Site Allocations,600001,,local-plan-document,authoritative,london-borough-of-islington-local-plan-2023-2,,document,,local-plan;site-allocations,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-council-local-plan-site-allocations.pdf?la=en&hash=98007803BDD179C372CCFA9529DB4A764896AD48,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,london-borough-of-islington-local-plan-2023,,
local-plan-document,,3800012,2024-10-02,,,Bunhill and Clerkenwell Area Action Plan,600001,,local-plan-document,authoritative,london-borough-of-islington-local-plan-2023-3,,document,,area-action-plan,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-council-local-plan-bunhill-and-clerkenwell-area-action-plan.pdf?la=en&hash=5C0A108521E44C81CF01CA6F63761E8196892278,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,london-borough-of-islington-local-plan-2023,,
local-plan-document,,3800013,2024-10-02,,,Policies Map,600001,,local-plan-document,authoritative,london-borough-of-islington-local-plan-2023-4,,document,,policies-map,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-local-plan-policies-map-adopted-28-september-2023.pdf?la=en&hash=AE1E57D7EC33433C18F6ECEB34488366E6C9FD32,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,london-borough-of-islington-local-plan-2023,,
local-plan-document,,3800014,2024-10-02,,,Local Development Scheme,600001,,local-plan-document,authoritative,london-borough-of-islington-local-plan-2023-6,,document,,local-development-scheme,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicnotices/20222023/lds_march2023.pdf?la=en&hash=0974D4D353578D1FA122D9D7BB596736A56FD236,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,london-borough-of-islington-local-plan-2023,,
local-plan-document,,3800015,2024-10-02,,,Appendix N-T - Lease comps details,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-10,,document,,viability-assessment,https://www.darlington.gov.uk/media/21232/cd08-appendix-n-t.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800016,2024-10-02,,,Addendum to CD08 Local Plan viability assessment,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-11,,document,,viability-assessment,https://www.darlington.gov.uk/media/21233/cd08-addendum-to-cd08-local-plan-viability-assessment-metric.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800017,2024-10-02,,,PD01 Consultation Statement,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-12,,document,,,https://www.darlington.gov.uk/media/21234/pd01-consultation-statement.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800018,2024-10-02,,,PD03 Darlington Local Plan Equality Impact Assessment 2020,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-13,,document,,,https://www.darlington.gov.uk/media/21235/pd03-darlington-local-plan-equality-impact-assessment-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800019,2024-10-02,,,Darlington Local Plan 2016 - 2036,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-2,,document,,local-plan,https://www.darlington.gov.uk/media/16694/local-plan-adopted-feb22v2.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800020,2024-10-02,,,SD03 Flood Risk Sequential and Exceptions test 2020,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-24,,document,,strategic-flood-risk-assessment,https://www.darlington.gov.uk/media/21236/sd03-flood-risk-sequential-and-exception-tests-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800021,2024-10-02,,,SD08 Darlington Strategic Housing market assessment 2020,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-25,,document,,strategic-housing-market-assessment,https://www.darlington.gov.uk/media/21237/sd08-darlington-strategic-housing-market-assessment-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800022,2024-10-02,,,SD09 Darlington Strategic Housing market assessment 2017,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-26,,document,,strategic-housing-market-assessment,https://www.darlington.gov.uk/media/21238/sd09-shma-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800023,2024-10-02,,,SD10 HELAA 2017 - Part 1,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-27,,document,,,https://www.darlington.gov.uk/media/21502/sd10-helaa-2017_part1.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800024,2024-10-02,,,SD10 HELAA 2017 - Part 2,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-28,,document,,,https://www.darlington.gov.uk/media/21503/sd10-helaa-2017_part2.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800025,2024-10-02,,,SD10 HELAA 2017 - Part 3,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-29,,document,,,https://www.darlington.gov.uk/media/21504/sd10-helaa-2017_part3.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800026,2024-10-02,,,Darlington Policies Map,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-3,,document,,policies-map,https://www.darlington.gov.uk/media/18086/adopted-darlington-local-plan-feb22-r.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800027,2024-10-02,,,SD10 HELAA 2017 - Part 4,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-30,,document,,,https://www.darlington.gov.uk/media/21505/sd10-helaa-2017_part4.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800028,2024-10-02,,,SD10 HELAA 2017 - Part 5,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-31,,document,,,https://www.darlington.gov.uk/media/21506/sd10-helaa-2017_part5.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800029,2024-10-02,,,SD10 HELAA 2017 - Part 6,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-32,,document,,,https://www.darlington.gov.uk/media/21507/sd10-helaa-2017_part6.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800030,2024-10-02,,,SD13 Gypsy and Traveller accommodation assessment update 2017,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-33,,document,,,https://www.darlington.gov.uk/media/21239/sd13-darlington-gypsy-and-traveller-accommodation-update-report-october-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800031,2024-10-02,,,SD14 Gypsy and Traveller accommodation assessment 2014,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-34,,document,,,https://www.darlington.gov.uk/media/21240/sd14-darlington-gypsy-and-traveller-accommodation-assessment-2014.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800032,2024-10-02,,,SD15 Darlington Future Employment Needs report 2017,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-35,,document,,,https://www.darlington.gov.uk/media/21241/sd15-darlington-future-employment-needs-report-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800033,2024-10-02,,,SD16 Employment Land review 2017,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-36,,document,,,https://www.darlington.gov.uk/media/21242/sd16-employment-land-review-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800034,2024-10-02,,,SD17 Employment Land review 2012,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-37,,document,,,https://www.darlington.gov.uk/media/21243/sd17-employment-land-review-2012.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800035,2024-10-02,,,"SD22 Darlington Town Centre and Retail study, and retail study update 2017",600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-38,,document,,,https://www.darlington.gov.uk/media/21245/sd22-darlingtontown-centre-and-retail-study-and-retail-study-update-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800036,2024-10-02,,,SD23 Retail and Town Centre study 2014,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-39,,document,,,https://www.darlington.gov.uk/media/21246/sd23-retail-and-town-centre-study-2014.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800037,2024-10-02,,,CD03 Darlington Borough Local Plan 2016-2036 (Regulation 19) Sustainability Appraisal,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-4,,document,,sustainability-apprasial,https://www.darlington.gov.uk/media/21223/cd03-darlington-local-plan-proposed-submission-local-plan-2016-2036-sustainability-appraisal.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800038,2024-10-02,,,SD24 Darlington Town Centre strategy 2019-2030,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-40,,document,,,https://www.darlington.gov.uk/media/21247/sd24-darlington-town-centre-strategy-2019-30.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800039,2024-10-02,,,SD25 Town Centre action plan 2012,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-41,,document,,,https://www.darlington.gov.uk/media/21248/sd25-town-centre-action-plan-2012.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800040,2024-10-02,,,SD26 Town Centre Fringe master plan 2013,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-42,,document,,,https://www.darlington.gov.uk/media/21249/sd26-town-centre-fringe-masterplan-2013.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800041,2024-10-02,,,SD27 The Bank Top station masterplan,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-43,,document,,,https://www.darlington.gov.uk/media/21250/sd27-the-bank-top-station-masterplan.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800042,2024-10-02,,,SD28 Local Green Space designation report January 2020,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-44,,document,,,https://www.darlington.gov.uk/media/21251/sd28-local-green-space-designation-report-2020-update.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800043,2024-10-02,,,SD29 Heritage Impact Assessment update 2020,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-45,,document,,,https://www.darlington.gov.uk/media/21252/sd29-heritage-impact-assessment-update-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800044,2024-10-02,,,SD30 Heritage Impact Assessment - Part 1,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-46,,document,,,https://www.darlington.gov.uk/media/21508/sd30-heritage-impact-assessment-solstice-heritage-2019_part1.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800045,2024-10-02,,,SD30 Heritage Impact Assessment - Part 2,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-47,,document,,,https://www.darlington.gov.uk/media/21509/sd30-heritage-impact-assessment-solstice-heritage-2019_part2.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800046,2024-10-02,,,SD30 Heritage Impact Assessment - Part 3,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-48,,document,,,https://www.darlington.gov.uk/media/21510/sd30-heritage-impact-assessment-solstice-heritage-2019_part3.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800047,2024-10-02,,,SD30 Heritage Impact Assessment - Part 4,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-49,,document,,,https://www.darlington.gov.uk/media/21511/sd30-heritage-impact-assessment-solstice-heritage-2019_part4.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800048,2024-10-02,,,CD05 Statement of Common Ground including Duty to Co-operate,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-5,,document,,,https://www.darlington.gov.uk/media/21224/cd05-statement-of-common-ground.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800049,2024-10-02,,,SD30 Heritage Impact Assessment - Part 5,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-50,,document,,,https://www.darlington.gov.uk/media/21512/sd30-heritage-impact-assessment-solstice-heritage-2019_part5.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800050,2024-10-02,,,SD30 Heritage Impact Assessment - Part 6,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-51,,document,,,https://www.darlington.gov.uk/media/21513/sd30-heritage-impact-assessment-solstice-heritage-2019_part6.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800051,2024-10-02,,,SD31 Landscape sensitivity of potential housing sites in Darlington Borough 2019,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-52,,document,,,https://www.darlington.gov.uk/media/21253/sd31-landscape-sensitivity-of-potential-housing-sites-in-darlington-borough-2019.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800052,2024-10-02,,,SD32 The Impact of growth on demand for sports facilities 2019,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-53,,document,,,https://www.darlington.gov.uk/media/21254/sd32-the-impact-of-growth-on-demand-for-sports-facilities-2019.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800053,2024-10-02,,,SD33 1825 Stockton and Darlington railway: Historic environment audit 2019 revision,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-54,,document,,,https://www.darlington.gov.uk/media/21255/sd33-1825-stockton-and-darlington-railway-historic-environmental-audit-2016-2019-rev.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800054,2024-10-02,,,SD35 Darlington Landscape Character Assessment 2015,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-55,,document,,,https://www.darlington.gov.uk/media/21256/sd35-darlington-landscape-character-assessment-2015.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800055,2024-10-02,,,SD38 Darlington Green Infrastructure Strategy 2009,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-56,,document,,,https://www.darlington.gov.uk/media/21257/sd38-darlington-green-infrastructure-strategy-2013-2026.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800056,2024-10-02,,,SD39 Darlington Characterisation Study 2009,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-57,,document,,,https://www.darlington.gov.uk/media/21258/sd39-darlington-characterisation-study-2009.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800057,2024-10-02,,,SD65 Blackwell Grange Park statement of significance,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-58,,document,,,https://www.darlington.gov.uk/media/21259/sd65-blackwell-grange-park-statement-of-significance.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800058,2024-10-02,,,SD66 Strategic Modelling report,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-59,,document,,,https://www.darlington.gov.uk/media/21260/sd66-strategic-transport-modelling-report.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800059,2024-10-02,,,CD07 Habitat Regulations Appropriate Assessment - screening report,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-6,,document,,,https://www.darlington.gov.uk/media/21225/cd07-habitat-regulations-assessmen-screening-report-2019.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800060,2024-10-02,,,SD67 Coniscliffe Aimsun Modelling,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-60,,document,,,https://www.darlington.gov.uk/media/21261/sd67-coniscliffe-aimsun-modelling.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800061,2024-10-02,,,SD68 North Darlington Aimsun Modelling,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-61,,document,,,https://www.darlington.gov.uk/media/21262/sd68-north-darlington-aimsun-modelling.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800062,2024-10-02,,,SD69 A66 Corridor Vissim Model,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-62,,document,,,https://www.darlington.gov.uk/media/21263/sd69-a66-corridor-vissim-model.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800063,2024-10-02,,,CD08 Local Plan Viability Assessment,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-7,,document,,viability-assessment,https://www.darlington.gov.uk/media/21226/cd08-local-plan-viability-assessment.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800064,2024-10-02,,,Appendix A-F Residential viability testing study,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-8,,document,,viability-assessment,https://www.darlington.gov.uk/media/21227/cd08-appendix-a-f.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800065,2024-10-02,,,Appendix H-K - Costar export lease comps report,600001,,local-plan-document,authoritative,darlington-borough-council-local-plan-2016-9,,document,,viability-assessment,https://www.darlington.gov.uk/media/21229/cd08-appendix-h-k.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,darlington-borough-council-local-plan-2016,,
local-plan-document,,3800066,2024-10-15,,,Draft local plan for regulation 18 consultation,600001,,local-plan-document,authoritative,draft-local-plan-for-regulation-18-consultation,,document,,local-plan,https://www.camden.gov.uk/documents/20142/4820180/Draft+New+Camden+Local+Plan+2024+v1.pdf/415cc7da-c24a-8237-ddc2-5c72045af9d2?t=1706548115256,https://www.camden.gov.uk/draft-new-local-plan,camden-local-plan-2026,,
local-plan-document,,3800067,2024-10-18,,,East Lindsey Core Strategy and Settlement Proposals DPD Report - Final - May 2018,600001,,local-plan-document,authoritative,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-final-may-2018,,document,,,https://www.e-lindsey.gov.uk/media/9021/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-Final-May-2018/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_Final_-_May_2018.pdf?m=1525354390860,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,east-lindsey-district-council-local-plan-2018,,
