dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,description,document-types,document-url,documentation-url,local-plan,notes,organisation
local-plan-document,,3800000,2024-10-02,,,Adopted Local Plan,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-1,,document,,local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12844.pdf&ver=12984,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800001,2024-10-02,,,Local Plan Policy Map (District Wide) - Update 2018 V23,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-2,,document,,policies-map,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12918.pdf&ver=13058,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800002,2024-10-02,,,"Policy map: Arundel, the Six Villages & surrounding area",600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-3,,document,,policies-map,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12919.pdf&ver=13059,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800003,2024-10-02,,,Adoption Statement,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-32,,document,,adoption-statement,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12541.pdf&ver=12559,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800004,2024-10-02,,,Inspector's Report (dated 4'July 2018) into the examination of the Arun Local Plan 2011-2031,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-33,,document,,inspectors-report,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12488.pdf&ver=12506,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800005,2024-10-02,,,Inspector's Report Appendix Final Schedule of Main Modifications,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-34,,document,,inspectors-report,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12489.pdf&ver=12507,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800006,2024-10-02,,,Policy Map 3 (West) - Update September 2018 V1,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-4,,document,,policies-map,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12920.pdf&ver=13060,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800007,2024-10-02,,,Policy Map 4 (East) - Update September 2018 V1,600001,,local-plan-document,authoritative,arun-district-council-local-plan-2011-5,,document,,policies-map,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12921.pdf&ver=13061,https://www.arun.gov.uk/adopted-local-plan/,arun-district-council-local-plan-2011,,
local-plan-document,,3800008,2024-10-09,,,Inspector's Report,600001,,local-plan-document,authoritative,inspector-s-report,,document,"The Inspector found the Local Plan Submission Draft 'sound', subject to modifications.",inspectors-report,https://www.camden.gov.uk/documents/20142/3912524/Planning+Inspector%27s+Report.pdf/6ff81008-e290-5d08-70bf-59d919ad3e61,https://www.camden.gov.uk/camden-local-plan1,london-borough-of-camden-local-plan-2017,,
local-plan-document,,3800009,2024-10-10,,,Local plan 2017,600001,,local-plan-document,authoritative,local-plan-2017,,document,This is the main document for Camden's local plan 2017,local-plan,https://www.camden.gov.uk/documents/20142/4820180/Local+Plan.pdf/ce6e992a-91f9-3a60-720c-70290fab78a6,https://www.camden.gov.uk/camden-local-plan1,london-borough-of-camden-local-plan-2017,,
