planning-authorities,name,start-year,end-year,documentation-url,document-url
Hertfordshire County Council,Waste CS & Dev Control Policies,2011,2026,https://www.hertfordshire.gov.uk/services/recycling-waste-and-environment/planning-in-hertfordshire/minerals-and-waste-planning/waste-planning/waste-planning.aspx,https://www.hertfordshire.gov.uk/media-library/documents/environment-and-planning/planning/planning-in-hertfordshire/waste-local-plan/waste-core-strategy-and-development-management-policies-document.pdf
Hertfordshire County Council,Waste Site Allocations,2011,2026,,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/waste-site-allocations---report-july-2014---main-report.pdf?sfvrsn=cb562e9e_0
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,2016,2033,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/joint-minerals-plan/,https://downloads.eastriding.org.uk/corporate/planning/planning-policy-and-the-local-plan/joint-minerals-plan/jmp/Joint%20Minerals%20Local%20Plan%20-%20East%20Riding%20and%20Hull%202019.pdf
Kent County Council,Mineral Sites Plan,2013,2030,https://www.kent.gov.uk/about-the-council/strategies-and-policies/service-specific-policies/economic-regeneration-and-planning-policies/planning-policies/minerals-and-waste-planning-policy/kent-minerals-and-waste-local-plan-kmwlp,https://www.kent.gov.uk/__data/assets/pdf_file/0020/205508/Kent-Mineral-Sites-Plan.pdf
Kent County Council,Minerals and Waste Plan,2024,2039,https://www.kent.gov.uk/about-the-council/strategies-and-policies/service-specific-policies/economic-regeneration-and-planning-policies/planning-policies/minerals-and-waste-planning-policy/kent-minerals-and-waste-local-plan-kmwlp,https://www.kent.gov.uk/__data/assets/pdf_file/0019/205507/Kent-minerals-and-waste-local-plan-2024-to-2039.pdf
Lake District National Park,Minerals Safeguarding areas,,,,https://elibrary.cumbria.gov.uk/elibrary/Content/Internet/538/755/1929/17716/17717/4211710394.PDF
Lancashire County Council,Minerals & Waste Core Strategy,,2021,https://www.lancashire.gov.uk/council/planning/local-planning-policy-for-minerals-and-waste/#corestrategy,https://www.lancashire.gov.uk/media/191785/CORE.pdf
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,,,https://www.leeds.gov.uk/planning/planning-policy/adopted-local-plan/natural-resources-and-waste-local-plan,https://www.leeds.gov.uk/sites/default/files/docs/Adopted%20Policies%20Minerals%2013%20and%2014.pdf
Leicestershire County Council,Minerals & Waste Plan,2015,2031,https://www.leicestershire.gov.uk/environment-and-planning/planning/minerals-and-waste-local-plan/the-development-plan,https://www.leicestershire.gov.uk/sites/default/files/field/pdf/2019/10/3/Leicestershire-Minerals-and-Waste-Local-Plan-Up-to-2031-Adopted-2019.pdf
Leicestershire County Council,Minerals CS & DC Policies,2001,2021,,https://www.leicestershire.gov.uk/sites/default/files/field/pdf/2016/10/4/Minerals_core_strategy_development_control_policies.pdf
Leicestershire County Council,Waste CS & DC Policies,,2021,,https://www.leicester.gov.uk/media/179022/leicester-and-leicestershire-waste-core-strategy-development-management-policies-dpd.pdf
Lincolnshire County Council,Minerals & Waste Plan,2014,2031,https://www.lincolnshire.gov.uk/directory-record/61697/minerals-and-waste-local-plan-core-strategy-and-development-management-policies,https://www.lincolnshire.gov.uk/downloads/file/2361/core-strategy-and-development-management-policies
Lincolnshire County Council,Minerals and Waste Site Locations,2014,2031,https://www.lincolnshire.gov.uk/directory-record/63740/minerals-and-waste-local-plan-site-locations,https://www.lincolnshire.gov.uk/downloads/file/2274/adopted-site-locations-pdfa
"London Borough of Barnet, London Borough of Camden, London Borough of Enfield, London Borough of Hackney, London Borough of Haringey, London Borough of Islington and London Borough of Waltham Forest",Joint Waste,,,,
"London Borough of Barnet, London Borough of Camden, London Borough of Enfield, London Borough of Hackney, London Borough of Haringey, London Borough of Islington and London Borough of Waltham Forest",North London Waste Plan,2020,2036,https://www.nlwp.net/,https://www.nlwp.net/wp-content/uploads/2022/05/NLWP%202022%20final%20high%20res.pdf
"London Borough of Croydon, Royal Borough of Kingston upon Thames, London Borough of Merton, London Borough of Sutton",Joint South London Waste Plan,2022,2037,https://www.croydon.gov.uk/planning-and-regeneration/planning-policy/croydons-development-plan/south-london-waste-plan-2022-2037,https://www.croydon.gov.uk/sites/default/files/2023-03/WASTE-PLAN-FINAL-AMENDED-24.11.22%28web%29.pdf
London Borough of Redbridge,Minerals,,2031,https://www.redbridge.gov.uk/planning-and-building/planning-policies/minerals-and-waste/,https://www.redbridge.gov.uk/media/zd3lpms1/ced103-redbridge-minerals-local-plan.pdf
Merseyside and Halton,Joint Waste,,2027,https://www.sefton.gov.uk/planning-building-control/planning-policy-including-local-plan-and-neighbourhood-planning/merseyside-and-halton-waste-local-plan/,https://www.sefton.gov.uk/media/1798/mside-halton-waste-localplan2013.pdf
Milton Keynes City Council,Minerals Plan,2013,2031,https://www.milton-keynes.gov.uk/planning-and-building/planning-policy/minerals-policy,https://www.milton-keynes.gov.uk/sites/default/files/2022-01/170511%20Minerals%20Local%20Plan%20-%20Adoption%20Version.pdf
Milton Keynes Council,Waste DPD,2007,2026,https://www.milton-keynes.gov.uk/planning-and-building/planning-policy/waste-development-plan-document,https://www.milton-keynes.gov.uk/sites/default/files/2022-02/Waste%20DPD.pdf
Norfolk County Council,M&W CS & DM policies,2010,2026,,https://www.north-norfolk.gov.uk/media/9022/j3-core-strategy-minerals-waste-development-management-policies-dpd-2010-2026.pdf
Norfolk County Council,Minerals Site Specific Allocations,2010,2026,,https://www.north-norfolk.gov.uk/media/9021/j4-mineral-site-specific-allocations-development-plan-document.pdf
Norfolk County Council,Norfolk Minerals and Waste Local Plan,2023,2038,https://norfolk.oc2.uk/document/71,https://norfolk.oc2.uk/docfiles/71/Adoption%20NM&WLP%20with%20main_add%20mods%20accepted%20-%20V4.pdf
Norfolk County Council,Waste Site Specific Allocations,2010,2026,,https://norfolk.oc2.uk/docfiles/61/C3%20Norfolk%20Waste%20Site%20Specific%20Allocations%20DPD.pdf
"North Yorkshire County Council, City of York Council and North York Moors National Park",Mineral and Waste Joint Plan,2016,2030,https://www.northyorks.gov.uk/planning-and-conservation/planning-policy/planning-policy-minerals-and-waste/minerals-and-waste-joint-plan/minerals-and-waste-joint-plan,https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/minerals_and_waste_plan/LPA128%20-%20%20MWJP%20Policy%20adopted%20document%20-%20Final%20-%20accessible.pdf
Northamptonshire County Council,Locations for Minerals Development,,,,
Northamptonshire County Council,Locations for Waste Development,,,,
Northamptonshire County Council,Minerals & Waste CS,,,,
Northamptonshire County Council,Minerals and Waste Local Plan Update,2011,2031,https://www.northnorthants.gov.uk/minerals-and-waste-planning-policy/adopted-minerals-and-waste-local-plan,https://cms.northnorthants.gov.uk/media/4661/download
Nottinghamshire County Council,Minerals Local Plan,,,,
Nottinghamshire County Council,Minerals Plan,2018,2036,https://www.nottinghamshire.gov.uk/planning-and-environment/minerals-local-plan/adopted-minerals-local-plan,https://www.nottinghamshire.gov.uk/media/5079375/adoptedmineralslocalplancompressed.pdf
Nottinghamshire County Council and Nottingham City Council,Joint Waste Plan,2021,2038,https://www.nottinghamshire.gov.uk/planning-and-environment/waste-development-plan/new-waste-local-plan,https://www.nottinghamshire.gov.uk/media/o3dfsast/nottinghamshireandnottinghamwlp.pdf
Nottinghamshire County Council and Nottingham City Council,Waste Core Strategy,2011,2031,https://www.nottinghamshire.gov.uk/planning-and-environment/waste-development-plan/waste-core-strategy,https://www.nottinghamcity.gov.uk/media/cl0pxuoo/waste-core-strategy.pdf
Oxfordshire County Council,Oxfordshire Minerals and Waste Local Plan - Part 1 Core Strategy,2014,2031,https://www.oxfordshire.gov.uk/residents/environment-and-planning/planning/planning-policy/minerals-and-waste-policy/core-strategy,https://www.oxfordshire.gov.uk/sites/default/files/file/planning-minerals-strategy-2017-and-2011/adoptedmineralswastecorestrategysept2017.pdf
Plymouth City Council,Waste,2006,2021,https://www.plymouth.gov.uk/waste-development-plan-document,https://www.plymouth.gov.uk/sites/default/files/WasteDevelopmentPlan.pdf
Rutland County Council,Minerals CS & DC Policies,,2026,https://www.rutland.gov.uk/planning-building-control/local-plan/adopted-local-plan,https://www.rutland.gov.uk/sites/default/files/2022-10/LP14%20-%20Minerals%20Core%20Strategy%20and%20Development%20Control%20Policies%20DPD%20%28October%202010%29.pdf
Somerset County Council,Minerals Plan,,2030,https://www.somerset.gov.uk/planning-buildings-and-land/minerals-and-waste-planning/#Minerals%20Plan,https://somersetcc.sharepoint.com/sites/SCCPublic/Planning%20and%20Land/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste%2FSomerset%20Minerals%20Plan%2Epdf&parent=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste&p=true&ga=1
Somerset County Council,Waste Core Strategy,2010,2028,https://www.somerset.gov.uk/planning-buildings-and-land/minerals-and-waste-planning/#Waste%20Planning,https://somersetcc.sharepoint.com/sites/SCCPublic/Planning%20and%20Land/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste%2FSomerset%20Waste%20Core%20Strategy%2Epdf&parent=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste&p=true&ga=1
South London Waste,Joint Waste,2022,2037,https://www.croydon.gov.uk/planning-and-regeneration/planning-policy/croydons-development-plan/south-london-waste-plan-2022-2037,https://www.croydon.gov.uk/sites/default/files/2023-03/WASTE-PLAN-FINAL-AMENDED-24.11.22%28web%29.pdf
Staffordshire County Council,Minerals Plan,2015,2030,https://www.staffordshire.gov.uk/environment/planning/policy/mineralslocalplan/mineralsLocalPlan.aspx,https://www.staffordshire.gov.uk/Environment/Planning/policy/mineralslocalplan/Documents/The-Minerals-Local-Plan-for-Staffordshire-2015-2030.PDF
Staffordshire County Council and Stoke-on-Trent City Council,Waste Core Strategy,2010,2026,https://www.staffordshire.gov.uk/Waste-and-recycling/wastestrategy/JointMunicipalWasteManagementStrategy.aspx,https://www.staffordshire.gov.uk/environment/planning/policy/wastelocalplan/Documents/Staffordshire-and-Stoke-on-Trent-Joint-Waste-Local-Plan-2010-to-2026-adopted-March-2013.pdf
Suffolk County Council,Minerals & Waste,,2036,https://www.suffolk.gov.uk/planning-waste-and-environment/suffolk-minerals-and-waste-plan/adopted-suffolk-minerals-and-waste-local-plan,https://www.suffolk.gov.uk/asset-library/imported/chapters-1-to-18-smwlp-adopted-july-2020.pdf
Suffolk County Council,Minerals CS,,2021,,https://www.ipswich.gov.uk/sites/ipswich/files/m-files/scd34_combined.pdf
Suffolk County Council,Minerals Site Specific Allocations,,,,https://www.eastsuffolk.gov.uk/assets/Planning/Suffolk-Coastal-Local-Plan/Document-Library/Waste/Chapter-1-Introduction.pdf
Suffolk County Council,Waste CS,2011,2026,,https://www.eastsuffolk.gov.uk/assets/Planning/Suffolk-Coastal-Local-Plan/Document-Library/Waste/Waste-Core-Strategy.pdf
Surrey County Council,Minerals CS,,2026,https://www.surreycc.gov.uk/land-planning-and-development/minerals-and-waste/minerals-core-strategy-development-plan,https://www.surreycc.gov.uk/__data/assets/pdf_file/0007/81439/Adopted-Core-Strategy-Development-Plan-Document.pdf
Surrey County Council,Surrey Waste Plan,2006,2026,,https://mycouncil.surreycc.gov.uk/Data/Council/20080506/Agenda/item%2009%20-%20Annex%20C%20Waste%20Plan_07.04.08_SET%201.pdf
Surrey County Council,Waste Plan,2019,2033,https://www.surreycc.gov.uk/land-planning-and-development/minerals-and-waste/waste-plan,https://www.surreycc.gov.uk/__data/assets/pdf_file/0003/246882/2020-11-20-SWLP-Part-1-for-Adoption-Final.pdf
Tees Valley Authorities,Joint M&W Core Strategy,2011,2026,https://www.middlesbrough.gov.uk/planning-and-development/planning-policy/tees-valley-joint-minerals-and-waste-dpds/,https://www.middlesbrough.gov.uk/media/ec0bfmsm/planning-policy-minerals-waste-stategy-dpd.pdf
Tees Valley Authorities,Joint M&W policies & sites,2011,2026,https://www.middlesbrough.gov.uk/planning-and-development/planning-policy/tees-valley-joint-minerals-and-waste-dpds/,https://www.middlesbrough.gov.uk/media/amkcclcz/planning-policy-minerals-waste-policies-dpd.pdf
Wakefield Metropolitan District Council,Waste Development Plan Document,,2026,https://www.wakefield.gov.uk/planning/planning-policy/revoked-local-development-framework,https://www.wakefield.gov.uk/media/z3rbfd0a/waste-dpd-no-maps-aug-2010.pdf
Warwickshire County Council,Warwickshire Minerals Local Plan,2018,2032,https://www.warwickshire.gov.uk/mineralslocalplan,https://warwickshire-consult.objective.co.uk/file/6136944
Warwickshire County Council,Waste Core Strategy,2013,2028,https://www.warwickshire.gov.uk/mineral-waste-plans/waste-development-framework/1,https://api.warwickshire.gov.uk/documents/WCCC-680-279
West Berkshire Council,Minerals and Waste Local Plan,2022,2037,https://www.westberks.gov.uk/article/41069/The-Minerals-and-Waste-Local-Plan,https://www.westberks.gov.uk/media/53808/Final-Minerals-and-Waste-Local-Plan/pdf/FINAL_MWLP_09.11.22.pdf?m=1669718157867
West London Waste Plan,West London Waste Plan,2011,2031,https://www.wlwp.net/,https://www.wlwp.net/documents/West_London_waste_plan.pdf
West Sussex County Council and South Downs National Park Authority,Waste Local Plan,,2031,https://www.westsussex.gov.uk/about-the-council/policies-and-reports/environment-planning-and-waste-policy-and-reports/minerals-and-waste-policy/waste-local-plan/,https://www.westsussex.gov.uk/media/3241/waste_local_plan_april2014.pdf
West Sussex County Council and South Downs National Park Authority,Joint Minerals Local Plan,2018,2033,https://www.westsussex.gov.uk/about-the-council/policies-and-reports/environment-planning-and-waste-policy-and-reports/minerals-and-waste-policy/joint-minerals-local-plan/,https://www.westsussex.gov.uk/media/11736/mlp_adoption.pdf
West Sussex County Council and South Downs National Park Authority,Joint Minerals Local Plan Soft Sand Review,2021,2033,https://www.westsussex.gov.uk/about-the-council/policies-and-reports/environment-planning-and-waste-policy-and-reports/minerals-and-waste-policy/joint-minerals-local-plan/,https://www.westsussex.gov.uk/media/11736/mlp_adoption.pdf
West of England Partnership,Joint Waste Core Strategy,2010,2026,https://www.bristol.gov.uk/council/policies-plans-and-strategies/find-a-policy-plan-or-strategy/policy-plan-or-strategy?id=38,https://www.bristol.gov.uk/files/documents/2240-joint-waste-core-strategy/file
Wiltshire County Council and Swindon Borough Council,Aggregate Minerals Site Allocations,,2026,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8558/Aggregate-Minerals-Site-Allocations-Local-Plan-May-2013/pdf/minerals-adopted-sites-local-plan-may-13.pdf?m=1644848312187
Wiltshire County Council and Swindon Borough Council,Minerals Core Strategy,2006,2026,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8546/minerals-core-strategy-june-2009/pdf/minerals-core-strategy-june-2009.pdf?m=1644847319550
Wiltshire County Council and Swindon Borough Council,Minerals DC Policies,,2026,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8551/minerals-development-control-policies-dpd-September-2009/pdf/adopted-minerals-development-control-policies-dpd-2009-september.pdf?m=1644847883447
Wiltshire County Council and Swindon Borough Council,Waste Core Strategy,2006,2026,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8548/waste-core-strategy-july-2009/pdf/waste-core-strategy-2009-july.pdf?m=1644847623427
Wiltshire County Council and Swindon Borough Council,Waste DC Policies,,2026,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8551/minerals-development-control-policies-dpd-September-2009/pdf/adopted-minerals-development-control-policies-dpd-2009-september.pdf?m=1644847883447
Wiltshire County Council and Swindon Borough Council,Waste site allocations,,2026,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8561/waste-site-allocations-local-plan-february-2013/pdf/waste-site-allocations-local-plan-feb-20131.pdf?m=1644848543520
Worcestershire County Council,Minerals local Plan,2018,2036,https://www.worcestershire.gov.uk/council-services/planning-and-developments/planning-policy-and-strategy/minerals-planning-policy/adopted-minerals-local-plan,https://www.worcestershire.gov.uk/sites/default/files/2022-11/Worcestershire_Minerals_Local_Plan__2018_2036_.pdf
Worcestershire County Council,Waste Core Strategy,2012,2027,https://www.worcestershire.gov.uk/council-services/planning-and-developments/planning-policy-and-strategy/waste-core-strategy,https://www.worcestershire.gov.uk/sites/default/files/2025-04/Waste%20Core%20Strategy%20Adopted%20including%20maps.pdf
