dataset,entity-minimum,entity-maximum,organisation
local-plan,4220656,4220656,local-authority:ADU
local-plan,4220657,4220657,local-authority:AMB
local-plan,4220658,4220658,local-authority:ARU
local-plan,4220659,4220659,local-authority:ASH
local-plan,4220660,4220660,local-authority:ASF
local-plan,4220661,4220661,local-authority:BAB
local-plan,4220662,4220662,local-authority:BNS
local-plan,4220663,4220663,local-authority:BAI
local-plan,4220664,4220664,local-authority:BAN
local-plan,4220665,4220665,local-authority:BAE
local-plan,4220666,4220666,local-authority:BAS
local-plan,4220667,4220667,local-authority:BDF
local-plan,4220668,4220668,local-authority:BIR
local-plan,4220669,4220669,local-authority:BLA
local-plan,4220670,4220670,local-authority:BBD
local-plan,4220671,4220671,local-authority:BPL
local-plan,4220672,4220672,local-authority:BOS
local-plan,4220673,4220673,local-authority:BOL
local-plan,4220674,4220674,local-authority:KIN
local-plan,4220675,4220675,local-authority:BOT
local-plan,4220676,4220676,local-authority:BPC
local-plan,4220677,4220677,local-authority:BRC
local-plan,4220678,4220678,local-authority:BRA
local-plan,4220679,4220679,local-authority:BRE
local-plan,4220680,4220680,local-authority:BRW
local-plan,4220681,4220681,local-authority:BNH
local-plan,4220682,4220682,local-authority:BST
local-plan,4220683,4220683,local-authority:BRO
local-plan,4220684,4220684,national-park-authority:Q4972284
local-plan,4220685,4220685,local-authority:BRM
local-plan,4220686,4220686,local-authority:BRX
local-plan,4220687,4220687,local-authority:BRT
local-plan,4220688,4220688,local-authority:BUC
local-plan,4220689,4220689,local-authority:BUN
local-plan,4220690,4220690,local-authority:BUR
local-plan,4220691,4220691,local-authority:CLD
local-plan,4220692,4220692,local-authority:CAB
local-plan,4220693,4220693,local-authority:CAN
local-plan,4220694,4220694,local-authority:CAT
local-plan,4220695,4220695,local-authority:CAS
local-plan,4220696,4220696,local-authority:CBF
local-plan,4220697,4220697,local-authority:CHA
local-plan,4220698,4220698,local-authority:CHL
local-plan,4220699,4220699,local-authority:CHT
local-plan,4220700,4220700,local-authority:CHR
local-plan,4220701,4220701,local-authority:CHE
local-plan,4220702,4220702,local-authority:CHW
local-plan,4220703,4220703,local-authority:CHS
local-plan,4220704,4220704,local-authority:CHI
local-plan,4220705,4220705,local-authority:CHO
local-plan,4220706,4220706,local-authority:BRD
local-plan,4220707,4220707,local-authority:LIC
local-plan,4220708,4220708,local-authority:LND
local-plan,4220709,4220709,local-authority:WSM
local-plan,4220710,4220710,local-authority:WLV
local-plan,4220711,4220711,local-authority:YOR
local-plan,4220712,4220712,local-authority:COL
local-plan,4220713,4220713,local-authority:CON
local-plan,4220714,4220714,local-authority:COT
local-plan,4220715,4220715,local-authority:IOS
local-plan,4220716,4220716,local-authority:COV
local-plan,4220717,4220717,local-authority:CRW
local-plan,4220718,4220718,local-authority:CUA
local-plan,4220719,4220719,local-authority:DAC
local-plan,4220720,4220720,local-authority:DAL
local-plan,4220721,4220721,local-authority:DAR
local-plan,4220722,4220722,national-park-authority:Q5225646
local-plan,4220723,4220723,local-authority:DER
local-plan,4220724,4220724,local-authority:DEB
local-plan,4220725,4220725,local-authority:DNC
local-plan,4220726,4220726,local-authority:DST
local-plan,4220727,4220727,local-authority:DOV
local-plan,4220728,4220728,local-authority:DUD
local-plan,4220729,4220729,local-authority:DUR
local-plan,4220730,4220730,local-authority:ECA
local-plan,4220731,4220731,local-authority:EDE
local-plan,4220732,4220732,local-authority:EHA
local-plan,4220733,4220733,local-authority:EHE
local-plan,4220734,4220734,local-authority:ELI
local-plan,4220735,4220735,local-authority:ERY
local-plan,4220736,4220736,local-authority:EST
local-plan,4220737,4220737,local-authority:ESK
local-plan,4220738,4220738,local-authority:EAS
local-plan,4220739,4220739,local-authority:EAT
local-plan,4220740,4220740,development-corporation:Q72463795
local-plan,4220741,4220741,local-authority:ELM
local-plan,4220742,4220742,local-authority:EPP
local-plan,4220743,4220743,local-authority:EPS
local-plan,4220744,4220744,local-authority:ERE
local-plan,4220745,4220745,local-authority:EXE
local-plan,4220746,4220746,national-park-authority:Q72617784
local-plan,4220747,4220747,local-authority:FAR
local-plan,4220748,4220748,local-authority:FEN
local-plan,4220749,4220749,local-authority:SHE
local-plan,4220750,4220750,local-authority:FOE
local-plan,4220751,4220751,local-authority:FYL
local-plan,4220752,4220752,local-authority:GAT
local-plan,4220753,4220753,local-authority:GED
local-plan,4220754,4220754,local-authority:GLO
local-plan,4220755,4220755,local-authority:GOS
local-plan,4220756,4220756,local-authority:GRA
local-plan,4220757,4220757,local-authority:GRY
local-plan,4220758,4220758,local-authority:GRT
local-plan,4220759,4220759,local-authority:HAL
local-plan,4220760,4220760,local-authority:HAO
local-plan,4220761,4220761,local-authority:HAR
local-plan,4220762,4220762,local-authority:HAT
local-plan,4220763,4220763,local-authority:HPL
local-plan,4220764,4220764,development-corporation:Q124604981
local-plan,4220765,4220765,local-authority:HAS
local-plan,4220766,4220766,local-authority:HAA
local-plan,4220767,4220767,local-authority:HEF
local-plan,4220768,4220768,local-authority:HER
local-plan,4220769,4220769,local-authority:HIG
local-plan,4220770,4220770,local-authority:HIN
local-plan,4220771,4220771,local-authority:HOR
local-plan,4220772,4220772,local-authority:KHL
local-plan,4220773,4220773,local-authority:HUN
local-plan,4220774,4220774,local-authority:HYN
local-plan,4220775,4220775,local-authority:IPS
local-plan,4220776,4220776,local-authority:IOW
local-plan,4220777,4220777,local-authority:KIR
local-plan,4220778,4220778,local-authority:KWL
local-plan,4220779,4220779,national-park-authority:Q27159704
local-plan,4220780,4220780,local-authority:LAC
local-plan,4220781,4220781,local-authority:LDS
local-plan,4220782,4220782,local-authority:LCE
local-plan,4220783,4220783,local-authority:LEE
local-plan,4220784,4220784,local-authority:LIF
local-plan,4220785,4220785,local-authority:LIV
local-plan,4220786,4220786,local-authority:BDG
local-plan,4220787,4220787,local-authority:BNE
local-plan,4220788,4220788,local-authority:BEX
local-plan,4220789,4220789,local-authority:BEN
local-plan,4220790,4220790,local-authority:BRY
local-plan,4220791,4220791,local-authority:CMD
local-plan,4220792,4220792,local-authority:CRY
local-plan,4220793,4220793,local-authority:EAL
local-plan,4220794,4220794,local-authority:ENF
