dataset,entity-minimum,entity-maximum,organisation
development-plan-timetable,5103454,5103476,local-authority:ADU
development-plan-timetable,5101702,5101726,local-authority:AMB
development-plan-timetable,5103477,5103499,local-authority:ARU
development-plan-timetable,5103500,5103522,local-authority:ASH
development-plan-timetable,5103523,5103545,local-authority:ASF
development-plan-timetable,5103546,5103568,local-authority:BAB
development-plan-timetable,5103569,5103591,local-authority:BNS
development-plan-timetable,5103592,5103614,local-authority:BAI
development-plan-timetable,5103615,5103637,local-authority:BAN
development-plan-timetable,5103638,5103660,local-authority:BAE
development-plan-timetable,5103661,5103683,local-authority:BAS
development-plan-timetable,5103684,5103706,local-authority:BDF
development-plan-timetable,5103707,5103729,local-authority:BIR
development-plan-timetable,5103730,5103752,local-authority:BLA
development-plan-timetable,5103753,5103775,local-authority:BBD
development-plan-timetable,5103776,5103798,local-authority:BPL
development-plan-timetable,5103799,5103821,local-authority:BOS
development-plan-timetable,5103822,5103844,local-authority:BOL
development-plan-timetable,5102052,5103867,local-authority:KIN
development-plan-timetable,5103868,5103890,local-authority:BOT
development-plan-timetable,5103891,5103913,local-authority:BPC
development-plan-timetable,5103914,5103936,local-authority:BRC
development-plan-timetable,5103937,5103959,local-authority:BRA
development-plan-timetable,5103960,5103982,local-authority:BRE
development-plan-timetable,5103983,5104005,local-authority:BRW
development-plan-timetable,5104006,5104028,local-authority:BNH
development-plan-timetable,5101727,5101751,local-authority:BST
development-plan-timetable,5104029,5104051,local-authority:BRO
development-plan-timetable,5104052,5104074,national-park-authority:Q4972284
development-plan-timetable,5104075,5104097,local-authority:BRM
development-plan-timetable,5104098,5104120,local-authority:BRX
development-plan-timetable,5104121,5104143,local-authority:BRT
development-plan-timetable,5104144,5104166,local-authority:BUC
development-plan-timetable,5104167,5104189,local-authority:BUN
development-plan-timetable,5104190,5104212,local-authority:BUR
development-plan-timetable,5104213,5104235,local-authority:CLD
development-plan-timetable,5104236,5104258,local-authority:CAB
development-plan-timetable,5101752,5101776,local-authority:CAN
development-plan-timetable,5104259,5104281,local-authority:CAT
development-plan-timetable,5104282,5104304,local-authority:CAS
development-plan-timetable,5104305,5104327,local-authority:CBF
development-plan-timetable,5104328,5104350,local-authority:CHA
development-plan-timetable,5104351,5104373,local-authority:CHL
development-plan-timetable,5104374,5104396,local-authority:CHT
development-plan-timetable,5104397,5104419,local-authority:CHR
development-plan-timetable,5104420,5104442,local-authority:CHE
development-plan-timetable,5104443,5104465,local-authority:CHW
development-plan-timetable,5104466,5104488,local-authority:CHS
development-plan-timetable,5101777,5101801,local-authority:CHI
development-plan-timetable,5101802,5101826,local-authority:CHO
development-plan-timetable,5104489,5104511,local-authority:BRD
development-plan-timetable,5104512,5104534,local-authority:LIC
development-plan-timetable,5104535,5104557,local-authority:LND
development-plan-timetable,5104558,5104580,local-authority:WSM
development-plan-timetable,5102627,5104603,local-authority:WLV
development-plan-timetable,5104604,5104626,local-authority:YOR
development-plan-timetable,5104627,5104649,local-authority:COL
development-plan-timetable,5104650,5104672,local-authority:CON
development-plan-timetable,5104673,5104695,local-authority:COT
development-plan-timetable,5104696,5104718,local-authority:IOS
development-plan-timetable,5104719,5104741,local-authority:COV
development-plan-timetable,5104742,5104764,local-authority:CRW
development-plan-timetable,5104765,5104787,local-authority:CUA
development-plan-timetable,5101827,5101851,local-authority:DAC
development-plan-timetable,5104788,5104810,local-authority:DAL
development-plan-timetable,5104811,5104833,local-authority:DAR
development-plan-timetable,5104834,5104856,national-park-authority:Q5225646
development-plan-timetable,5104857,5104879,local-authority:DER
development-plan-timetable,5104880,5104902,local-authority:DEB
development-plan-timetable,5104903,5104925,local-authority:DNC
development-plan-timetable,5104926,5104948,local-authority:DST
development-plan-timetable,5104949,5104971,local-authority:DOV
development-plan-timetable,5101852,5101876,local-authority:DUD
development-plan-timetable,5104972,5104994,local-authority:DUR
development-plan-timetable,5104995,5105017,local-authority:ECA
development-plan-timetable,5105018,5105040,local-authority:EDE
development-plan-timetable,5105041,5105063,local-authority:EHA
development-plan-timetable,5105064,5105086,local-authority:EHE
development-plan-timetable,5105087,5105109,local-authority:ELI
development-plan-timetable,5101877,5101901,local-authority:ERY
development-plan-timetable,5105110,5105132,local-authority:EST
development-plan-timetable,5105133,5105155,local-authority:ESK
development-plan-timetable,5105156,5105178,local-authority:EAS
development-plan-timetable,5105179,5105201,local-authority:EAT
development-plan-timetable,5105202,5105224,development-corporation:Q72463795
development-plan-timetable,5105225,5105247,local-authority:ELM
development-plan-timetable,5105248,5105270,local-authority:EPP
development-plan-timetable,5101902,5101926,local-authority:EPS
development-plan-timetable,5101927,5101951,local-authority:ERE
development-plan-timetable,5105271,5105293,local-authority:EXE
development-plan-timetable,5105294,5105316,national-park-authority:Q72617784
development-plan-timetable,5105317,5105339,local-authority:FAR
development-plan-timetable,5105340,5105362,local-authority:FEN
development-plan-timetable,5105363,5105385,local-authority:SHE
development-plan-timetable,5105386,5105408,local-authority:FOE
development-plan-timetable,5105409,5105431,local-authority:FYL
development-plan-timetable,5105432,5105454,local-authority:GAT
development-plan-timetable,5105455,5105477,local-authority:GED
development-plan-timetable,5105478,5105500,local-authority:GLO
development-plan-timetable,5105501,5105523,local-authority:GOS
development-plan-timetable,5105524,5105546,local-authority:GRA
development-plan-timetable,5101952,5101976,local-authority:GRY
development-plan-timetable,5105547,5105569,local-authority:GRT
development-plan-timetable,5105570,5105592,local-authority:HAL
development-plan-timetable,5105593,5105615,local-authority:HAO
development-plan-timetable,5105616,5105638,local-authority:HAR
development-plan-timetable,5105639,5105661,local-authority:HAT
development-plan-timetable,5105662,5105684,local-authority:HPL
development-plan-timetable,5105685,5105707,development-corporation:Q124604981
development-plan-timetable,5105708,5105730,local-authority:HAS
development-plan-timetable,5105731,5105753,local-authority:HAA
development-plan-timetable,5105754,5105776,local-authority:HEF
development-plan-timetable,5105777,5105799,local-authority:HER
development-plan-timetable,5105800,5105822,local-authority:HIG
development-plan-timetable,5105823,5105845,local-authority:HIN
development-plan-timetable,5101977,5102001,local-authority:HOR
development-plan-timetable,5105846,5105868,local-authority:KHL
development-plan-timetable,5105869,5105891,local-authority:HUN
development-plan-timetable,5102002,5102026,local-authority:HYN
development-plan-timetable,5105892,5105914,local-authority:IPS
development-plan-timetable,5102027,5102051,local-authority:IOW
development-plan-timetable,5105915,5105937,local-authority:KIR
development-plan-timetable,5105938,5105960,local-authority:KWL
development-plan-timetable,5105961,5105983,national-park-authority:Q27159704
development-plan-timetable,5105984,5106006,local-authority:LAC
development-plan-timetable,5106007,5106029,local-authority:LDS
development-plan-timetable,5106030,5106052,local-authority:LCE
development-plan-timetable,5106053,5106075,local-authority:LEE
development-plan-timetable,5106076,5106098,local-authority:LIF
development-plan-timetable,5106099,5106121,local-authority:LIV
development-plan-timetable,5106122,5106144,local-authority:BDG
development-plan-timetable,5106145,5106167,local-authority:BNE
development-plan-timetable,5106168,5106190,local-authority:BEX
development-plan-timetable,5106191,5106213,local-authority:BEN
development-plan-timetable,5106214,5106236,local-authority:BRY
development-plan-timetable,5106237,5106259,local-authority:CMD
development-plan-timetable,5106260,5106282,local-authority:CRY
development-plan-timetable,5106283,5106305,local-authority:EAL
development-plan-timetable,5106306,5106328,local-authority:ENF
development-plan-timetable,5106329,5106351,local-authority:HCK
development-plan-timetable,5106352,5106374,local-authority:HMF
development-plan-timetable,5106375,5106397,local-authority:HRY
development-plan-timetable,5106398,5106420,local-authority:HRW
development-plan-timetable,5106421,5106443,local-authority:HAV
development-plan-timetable,5106444,5106466,local-authority:HIL
development-plan-timetable,5106467,5106489,local-authority:HNS
development-plan-timetable,5106490,5106512,local-authority:ISL
development-plan-timetable,5106513,5106535,local-authority:LBH
development-plan-timetable,5106536,5106558,local-authority:LEW
development-plan-timetable,5106559,5106581,local-authority:MRT
development-plan-timetable,5106582,5106604,local-authority:NWM
development-plan-timetable,5106605,5106627,local-authority:RDB
development-plan-timetable,5106628,5106650,local-authority:RIC
development-plan-timetable,5106651,5106673,local-authority:SWK
development-plan-timetable,5106674,5106696,local-authority:STN
development-plan-timetable,5106697,5106719,local-authority:TWH
