prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,east-cambridgeshire-district-council-new-local-plan,4220730,,,
local-plan,,,,government-organisation:D1342,east-devon-district-council-new-local-plan,4220731,,,
local-plan,,,,government-organisation:D1342,east-hampshire-district-council-new-local-plan,4220732,,,
local-plan,,,,government-organisation:D1342,east-hertfordshire-district-council-new-local-plan,4220733,,,
local-plan,,,,government-organisation:D1342,east-lindsey-district-council-new-local-plan,4220734,,,
local-plan,,,,government-organisation:D1342,east-riding-of-yorkshire-council-new-local-plan,4220735,,,
local-plan,,,,government-organisation:D1342,east-staffordshire-borough-council-new-local-plan,4220736,,,
local-plan,,,,government-organisation:D1342,east-suffolk-council-new-local-plan,4220737,,,
local-plan,,,,government-organisation:D1342,eastbourne-borough-council-new-local-plan,4220738,,,
local-plan,,,,government-organisation:D1342,eastleigh-borough-council-new-local-plan,4220739,,,
local-plan,,,,government-organisation:D1342,ebbsfleet-development-corporation-new-local-plan,4220740,,,
local-plan,,,,government-organisation:D1342,elmbridge-borough-council-new-local-plan,4220741,,,
local-plan,,,,government-organisation:D1342,epping-forest-district-council-new-local-plan,4220742,,,
local-plan,,,,government-organisation:D1342,epsom-and-ewell-borough-council-new-local-plan,4220743,,,
local-plan,,,,government-organisation:D1342,erewash-borough-council-new-local-plan,4220744,,,
local-plan,,,,government-organisation:D1342,exeter-city-council-new-local-plan,4220745,,,
local-plan,,,,government-organisation:D1342,exmoor-national-park-authority-new-local-plan,4220746,,,
local-plan,,,,government-organisation:D1342,fareham-borough-council-new-local-plan,4220747,,,
local-plan,,,,government-organisation:D1342,fenland-district-council-new-local-plan,4220748,,,
local-plan,,,,government-organisation:D1342,folkestone-and-hythe-council-new-local-plan,4220749,,,
local-plan,,,,government-organisation:D1342,forest-of-dean-district-council-new-local-plan,4220750,,,
local-plan,,,,government-organisation:D1342,fylde-borough-council-new-local-plan,4220751,,,
local-plan,,,,government-organisation:D1342,gateshead-metropolitan-borough-council-new-local-plan,4220752,,,
local-plan,,,,government-organisation:D1342,gedling-borough-council-new-local-plan,4220753,,,
local-plan,,,,government-organisation:D1342,gloucester-city-council-new-local-plan,4220754,,,
local-plan,,,,government-organisation:D1342,gosport-borough-council-new-local-plan,4220755,,,
local-plan,,,,government-organisation:D1342,gravesham-borough-council-new-local-plan,4220756,,,
local-plan,,,,government-organisation:D1342,great-yarmouth-borough-council-new-local-plan,4220757,,,
local-plan,,,,government-organisation:D1342,guildford-borough-council-new-local-plan,4220758,,,
local-plan,,,,government-organisation:D1342,halton-borough-council-new-local-plan,4220759,,,
local-plan,,,,government-organisation:D1342,harborough-district-council-new-local-plan,4220760,,,
