reference,name,organisations,waste-planning-authority,period-start-date,period-end-date,start-date,end-date,documentation-url,document-url,entry-date
bas-bst-nsm-sgc-waste-plan-2011,Joint Waste Core Strategy,local-authority:BAS;local-authority:BST;local-authority:NSM;local-authority:SGC,E60000288-E60000290-E60000294-E60000296,2010,2026,2011-03-25,,https://www.bristol.gov.uk/council/policies-plans-and-strategies/find-a-policy-plan-or-strategy/policy-plan-or-strategy?id=38,https://www.bristol.gov.uk/files/documents/2240-joint-waste-core-strategy/file,2026-01-29
bdf-lut-cbf-mineral-waste-plan-2014,Minerals & Waste Core Strategy,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144,2013,2028,2014-01-30,,https://www.centralbedfordshire.gov.uk/info/48/minerals_and_waste/450/development_framework/2,https://www.centralbedfordshire.gov.uk/migrated_images/minerals-waste_tcm3-2120.pdf,2026-01-29
bdg-hav-nwm-rdb-waste-plan-2012,Joint Waste DPD,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217,,2021,2012-02-27,,https://www.newham.gov.uk/planning-development-conservation/east-london-joint-waste-plan,https://www.newham.gov.uk/downloads/file/1041/adoptedjointwastedpd,2026-01-29
bdg-hav-nwm-rdb-waste-plan-2041,East London Joint Waste Plan Review,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217,,2041,,,https://consultation.havering.gov.uk/planning/east-london-joint-waste-plan/,https://consultation.havering.gov.uk/planning/east-london-joint-waste-plan/supporting_documents/ELJWP%20Reg%2018.pdf,2026-01-29
ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2015,West London Waste Plan,local-authority:BEN;local-authority:EAL;local-authority:HRW;local-authority:HIL;local-authority:HNS;local-authority:RIC;development-corporation:Q20648596,E09000005-E09000009-E09000015-E09000017-E09000018-E09000027-E60000330,2011,2031,2015-07-30,,https://www.wlwp.net/,https://www.wlwp.net/documents/West_London_waste_plan.pdf,2026-01-29
bkm-mineral-waste-plan-2012,Minerals & Waste Core Strategy,local-authority:BKM,E10000002,,2026,2012-11-22,,https://www.buckinghamshire.gov.uk/planning-and-building-control/planning-policy/local-development-scheme/,https://buckinghamshire.moderngov.co.uk/Data/BCC%20County%20Council/201211220930/Agenda/Appendix%20-%20Minerals%20and%20Waste%20Core%20Strategy.pdf,2026-01-29
bkm-mineral-waste-plan-2019,M&W Local Plan,local-authority:BKM,E10000002,2016,2036,2019-07-25,,https://www.buckinghamshire.gov.uk/planning-and-building-control/planning-policy/local-development-scheme/,https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/buckinghamshire-minerals-and-waste-local-plan-2016-2036_yiYUGSb.pdf,2026-01-29
bne-cmd-enf-hck-hry-isl-wft-waste-plan,Joint Waste,local-authority:BNE;local-authority:CMD;local-authority:ENF;local-authority:HCK;local-authority:HRY;local-authority:ISL;local-authority:WFT,E60000203-E60000188-E60000209-E60000190-E60000192-E60000193-E60000220,,,,,,,2026-01-29
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2022,North London Waste Plan,local-authority:BNE;local-authority:CMD;local-authority:ENF;local-authority:HCK;local-authority:HRY;local-authority:ISL;local-authority:WFT,E60000203-E60000188-E60000209-E60000190-E60000192-E60000193-E60000220,2020,2036,2022-01-26,,https://www.nlwp.net/,https://www.nlwp.net/wp-content/uploads/2022/05/NLWP%202022%20final%20high%20res.pdf,2026-01-29
bns-dnc-rot-waste-plan-2012,Joint waste plan,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066,,2026,2012-03-30,,https://www.doncaster.gov.uk/services/planning/barnsley-doncaster-rotherham-joint-waste-plan,"https://dmbcwebstolive01.blob.core.windows.net/media/Default/Planning/Documents/LDF/Waste%20Plan/Adopted%20Barnsley,%20Doncaster%20and%20Rotherham%20Joint%20Waste%20Plan.pdf",2026-01-29
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2012,Waste,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034,,2027,2012-03-28,,https://www.greatermanchester-ca.gov.uk/what-we-do/planning-and-housing/strategic-planning/greater-manchester-joint-waste-plan/,https://www.greatermanchester-ca.gov.uk/media/ibdjnc2n/greater_manchester_waste_plan.pdf,2026-01-29
brc-rdg-wok-wbk-mineral-waste-plan-2023,Joint Minerals and Waste Plan,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230,,2036,2023-01-11,,https://www.reading.gov.uk/planning-and-building-control/planning-policy/the-central-and-eastern-berkshire-minerals-and-waste-plan/,https://images.reading.gov.uk/2023/02/CEBJMWP-Adopted-January-2023.pdf,2026-01-29
brd-waste-plan-2017,Waste Management Development Plan Document,local-authority:BRD,E60000068,2015,2030,2017-10-17,,https://www.bradford.gov.uk/planning-and-building-control/planning-policy/waste-management-dpd/,https://www.bradford.gov.uk/Documents//WasteManagementDPD/Adoption/01%20Waste%20Management%20Development%20Plan%20Document%20%E2%80%93%20October%202017.PDF,2026-01-29
cam-pte-mineral-waste-plan-2011,M&W Core Strategy,local-authority:CAM;local-authority:PTE,E10000003-E60000146,2006,2026,2011-07-19,,,https://democracy.peterborough.gov.uk/documents/s8175/Minerals%20and%20Waste%20-%20Adopted%20Core%20Strategy%20DPD.pdf,2026-01-29
cam-pte-mineral-waste-plan-2012,M&W Site Specific Proposals,local-authority:CAM;local-authority:PTE,E10000003-E60000146,2006,2026,2012-02-22,,,https://files.cambridge.gov.uk/public/ldf/coredocs/RD-AD/RD-AD-090/Site%20Specific%20Proposals%20Section%201-7.pdf,2026-01-29
cam-pte-mineral-waste-plan-2021,Joint Minerals and Waste Plan,local-authority:CAM;local-authority:PTE,E10000003-E60000146,2016,2036,2021-07-28,,https://www.cambridgeshire.gov.uk/business/planning-and-development/planning-policy/adopted-minerals-and-waste-plan,https://cccandpcc.sharepoint.com/:b:/r/sites/PCCPlanningPolicyPublicData/Shared%20Documents/Planning%20Policy/Adopted%20Local%20Plan/Minerals%20and%20Waste%20Local%20Plan/1)%20Minerals%20and%20Waste%20Local%20Plan%20Adopted%20July%202021.pdf?csf=1&web=1&e=VLgxrv,2026-01-29
cma-mineral-waste-plan-2009,Minerals & Waste Core Strategy,local-authority:CMA,E10000006,,2020,2009-04-23,,,https://consultations.southglos.gov.uk/gf2.ti/f/251202/7303717.1/PDF/-/RD65%20Cumbria%20County%20Council%20Minerals%20%20Waste%20Core%20Strategy.pdf,2026-01-29
cma-mineral-waste-plan-2011,Minerals & Waste site allocations,local-authority:CMA,E10000006,,,2011-01-20,,,,2026-01-29
cma-mineral-waste-plan-2017,Minerals & Waste LP,local-authority:CMA,E10000006,2015,2030,2017-09-06,,https://www.cumberland.gov.uk/planning-and-building-control/planning-policy/minerals-and-waste-local-plan,https://www.cumberland.gov.uk/sites/default/files/2024-12/cumbria_minerals_and_waste_local_plan_2015_to_2030.pdf,2026-01-29
cry-ktt-mrt-stn-waste-plan-2012,Joint Waste,local-authority:CRY;local-authority:KTT;local-authority:MRT;local-authority:STN,E09000008-E09000021-E09000024-E09000029,,,2012-03-05,,,,2026-01-29
cry-ktt-mrt-stn-waste-plan-2022,Joint South London Waste Plan,local-authority:CRY;local-authority:KTT;local-authority:MRT;local-authority:STN,E60000207-E60000215-E60000216-E60000219,2022,2037,2022-12-14,,https://www.croydon.gov.uk/planning-and-regeneration/planning-policy/croydons-development-plan/south-london-waste-plan-2022-2037,https://www.croydon.gov.uk/sites/default/files/2023-03/WASTE-PLAN-FINAL-AMENDED-24.11.22%28web%29.pdf,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011,Joint M&W Core Strategy,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007,2011,2026,2011-09-15,,https://www.middlesbrough.gov.uk/planning-and-development/planning-policy/tees-valley-joint-minerals-and-waste-dpds/,https://www.middlesbrough.gov.uk/media/ec0bfmsm/planning-policy-minerals-waste-stategy-dpd.pdf,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2,Joint M&W policies & sites,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007,2011,2026,2011-09-15,,https://www.middlesbrough.gov.uk/planning-and-development/planning-policy/tees-valley-joint-minerals-and-waste-dpds/,https://www.middlesbrough.gov.uk/media/amkcclcz/planning-policy-minerals-waste-policies-dpd.pdf,2026-01-29
dev-waste-plan-2014,Waste Local Plan,local-authority:DEV,E10000008,2011,2031,2014-12-11,,https://www.devon.gov.uk/planning/planning-policies/minerals-and-waste-policy/devon-waste-plan/,https://devoncc.sharepoint.com/sites/PublicDocs/Planning/Planning/Forms/AllItems.aspx?id=%2Fsites%2FPublicDocs%2FPlanning%2FPlanning%2FWaste%20policy%20documents%2FDevon%20Waste%20Plan%2FDevon%20Waste%20Plan%20%2D%20designed%2FDevon%20Waste%20Plan%20%28full%29%2Epdf&parent=%2Fsites%2FPublicDocs%2FPlanning%2FPlanning%2FWaste%20policy%20documents%2FDevon%20Waste%20Plan%2FDevon%20Waste%20Plan%20%2D%20designed&p=true&ga=1,2026-01-29
dor-bpc-waste-plan-2019,Waste Plan,local-authority:DOR;local-authority:BPC,E10000009-E06000058,2018,2033,2019-07-18,,https://www.dorsetcouncil.gov.uk/w/2019-waste-plan,https://www.dorsetcouncil.gov.uk/documents/35024/285757/Waste+Plan+2019+-+Part+1.pdf/2b346405-89e2-cdac-af01-9de9237852d2,2026-01-29
dur-mineral-waste-plan-2024,Minerals & Waste Plan,local-authority:DUR,E60000001,,2035,2024-07-17,,https://www.durham.gov.uk/MWDPDadoption,https://www.durham.gov.uk/media/45066/County-Durham-Minerals-and-Waste-Policies-and-Allocations-Document-July-2024/pdf/MWDPDAllocationsDocument.pdf?m=1721149401913,2026-01-29
ess-sos-waste-plan-2017,Waste Local Plan,local-authority:ESS;local-authority:SOS,E10000012-E60000147,,2032,2017-07-11,,https://www.essex.gov.uk/planning-land-and-recycling/planning-and-development/minerals-and-waste-planning-policy/waste-local,https://www.essex.gov.uk/sites/default/files/migration_data/files/assets.ctfassets.net/knkzaf64jx5x/5MMZ5nNFmOClpF56igb0Jc/e6f7ab4cba4ed1198c67b87be7b375e7/waste-local-plan-2017-compressed.pdf,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2013,Waste and Minerals Local Plan - Revised Policies,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325,2019,2030,2013-02-19,,https://www.eastsussex.gov.uk/planning/waste-minerals-plans-monitoring-reports,https://www.eastsussex.gov.uk/media/k33egb25/revised-policies-rp08-v910.pdf,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017,Waste and Minerals Local Plan - Revised Policies,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325,2019,2030,2017-02-07,,https://www.eastsussex.gov.uk/planning/waste-minerals-plans-monitoring-reports,https://www.eastsussex.gov.uk/media/k33egb25/revised-policies-rp08-v910.pdf,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024,Waste and Minerals Local Plan - Revised Policies,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325,2019,2030,2024-10-24,,https://www.eastsussex.gov.uk/planning/waste-minerals-plans-monitoring-reports,https://www.eastsussex.gov.uk/media/k33egb25/revised-policies-rp08-v910.pdf,2026-01-29
gls-waste-plan-2012,Waste Core Strategy,local-authority:GLS,E10000013,2012,2027,2012-11-21,,https://www.gloucestershire.gov.uk/planning-and-environment/waste/gloucestershire-waste-core-strategy/,https://www.gloucestershire.gov.uk/media/p3khbtv1/adopted_wcs_211112-53886.pdf,2026-01-29
ham-mineral-waste-plan-2007,Minerals & Waste CS,local-authority:HAM,E10000014,,,2007-07-12,,,,2026-01-29
ham-new-sth-por-q20198711-mineral-waste-plan-2030,Minerals & Waste Local Plan ,local-authority:HAM;local-authority:NEW;local-authority:STH;local-authority:POR;national-park-authority:Q20198711,E10000014-E60000249-E60000229-E60000226-E60000325,2011,2030,,,https://www.hants.gov.uk/landplanningandenvironment/minerals-waste-planning/hampshire-minerals-waste-plan,https://documents.hants.gov.uk/mineralsandwaste/HampshireMineralsWastePlanADOPTED.pdf,2026-01-29
hef-mineral-waste-plan-2024,Minerals & Waste,local-authority:HEF,E60000113,,2041,2024-03-08,,https://www.herefordshire.gov.uk/planning-and-building-control/local-plan/minerals-and-waste-local-plan/adopted-minerals-and-waste-local-plan/,https://www.herefordshire.gov.uk/media/azjjcj21/adopted_minerals_and_waste_local_plan.pdf,2026-01-29
hrt-waste-plan-2012,Waste CS & Dev Control Policies,local-authority:HRT,E10000015,2011,2026,2012-11-05,,https://www.hertfordshire.gov.uk/services/recycling-waste-and-environment/planning-in-hertfordshire/minerals-and-waste-planning/waste-planning/waste-planning.aspx,https://www.hertfordshire.gov.uk/media-library/documents/environment-and-planning/planning/planning-in-hertfordshire/waste-local-plan/waste-core-strategy-and-development-management-policies-document.pdf,2026-01-29
hrt-waste-plan-2014,Waste Site Allocations,local-authority:HRT,E10000015,2011,2026,2014-07-01,,,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/waste-site-allocations---report-july-2014---main-report.pdf?sfvrsn=cb562e9e_0,2026-01-29
ken-mineral-waste-plan-2020,Mineral Sites Plan,local-authority:KEN,E10000016,2013,2030,2020-09-10,,https://www.kent.gov.uk/about-the-council/strategies-and-policies/service-specific-policies/economic-regeneration-and-planning-policies/planning-policies/minerals-and-waste-planning-policy/kent-minerals-and-waste-local-plan-kmwlp,https://www.kent.gov.uk/__data/assets/pdf_file/0020/205508/Kent-Mineral-Sites-Plan.pdf,2026-01-29
ken-mineral-waste-plan-2025,Minerals and Waste Plan,local-authority:KEN,E10000016,2024,2039,2025-03-13,,https://www.kent.gov.uk/about-the-council/strategies-and-policies/service-specific-policies/economic-regeneration-and-planning-policies/planning-policies/minerals-and-waste-planning-policy/kent-minerals-and-waste-local-plan-kmwlp,https://www.kent.gov.uk/__data/assets/pdf_file/0019/205507/Kent-minerals-and-waste-local-plan-2024-to-2039.pdf,2026-01-29
lan-mineral-waste-plan-2009,Minerals & Waste Core Strategy,local-authority:LAN,E10000017,,2021,2009-02-26,,https://www.lancashire.gov.uk/council/planning/local-planning-policy-for-minerals-and-waste/#corestrategy,https://www.lancashire.gov.uk/media/191785/CORE.pdf,2026-01-29
lds-mineral-waste-plan-2013,Natural Resources & Waste LP Policies Minerals 13 & 14,local-authority:LDS,E60000071,,,2013-01-16,,https://www.leeds.gov.uk/planning/planning-policy/adopted-local-plan/natural-resources-and-waste-local-plan,https://www.leeds.gov.uk/sites/default/files/docs/Adopted%20Policies%20Minerals%2013%20and%2014.pdf,2026-01-29
lec-mineral-waste-plan-2019,Minerals & Waste Plan,local-authority:LEC,E10000018,2015,2031,2019-09-25,,https://www.leicestershire.gov.uk/environment-and-planning/planning/minerals-and-waste-local-plan/the-development-plan,https://www.leicestershire.gov.uk/sites/default/files/field/pdf/2019/10/3/Leicestershire-Minerals-and-Waste-Local-Plan-Up-to-2031-Adopted-2019.pdf,2026-01-29
lec-waste-plan-2009,Waste CS & DC Policies,local-authority:LEC,E10000018,,2021,2009-10-08,,,https://www.leicester.gov.uk/media/179022/leicester-and-leicestershire-waste-core-strategy-development-management-policies-dpd.pdf,2026-01-29
lin-mineral-waste-plan-2016,Minerals & Waste Plan,local-authority:LIN,E10000019,2014,2031,2016-05-10,,https://www.lincolnshire.gov.uk/directory-record/61697/minerals-and-waste-local-plan-core-strategy-and-development-management-policies,https://www.lincolnshire.gov.uk/downloads/file/2361/core-strategy-and-development-management-policies,2026-01-29
lin-mineral-waste-plan-2017,Minerals and Waste Site Locations,local-authority:LIN,E10000019,2014,2031,2017-12-15,,https://www.lincolnshire.gov.uk/directory-record/63740/minerals-and-waste-local-plan-site-locations,https://www.lincolnshire.gov.uk/downloads/file/2274/adopted-site-locations-pdfa,2026-01-29
mik-waste-plan-2008,Waste DPD,local-authority:MIK,E60000225,2007,2026,2008-02-12,,https://www.milton-keynes.gov.uk/planning-and-building/planning-policy/waste-development-plan-document,https://www.milton-keynes.gov.uk/sites/default/files/2022-02/Waste%20DPD.pdf,2026-01-29
nfk-mineral-waste-plan-2011,M&W CS & DM policies,local-authority:NFK,E10000020,2010,2026,2011-09-26,,,https://www.north-norfolk.gov.uk/media/9022/j3-core-strategy-minerals-waste-development-management-policies-dpd-2010-2026.pdf,2026-01-29
nfk-mineral-waste-plan-2025,Norfolk Minerals and Waste Local Plan,local-authority:NFK,E10000020,2023,2038,2025-05-20,,https://norfolk.oc2.uk/document/71,https://norfolk.oc2.uk/docfiles/71/Adoption%20NM&WLP%20with%20main_add%20mods%20accepted%20-%20V4.pdf,2026-01-29
nfk-waste-plan-2013,Waste Site Specific Allocations,local-authority:NFK,E10000020,2010,2026,2013-10-28,,,https://norfolk.oc2.uk/docfiles/61/C3%20Norfolk%20Waste%20Site%20Specific%20Allocations%20DPD.pdf,2026-01-29
nth-mineral-waste-plan-2010,Minerals & Waste CS,local-authority:NTH,E10000021,,,2010-05-20,,,,2026-01-29
nth-mineral-waste-plan-2017,Minerals and Waste Local Plan Update,local-authority:NTH,E10000021,2011,2031,2017-07-01,,https://www.northnorthants.gov.uk/minerals-and-waste-planning-policy/adopted-minerals-and-waste-local-plan,https://cms.northnorthants.gov.uk/media/4661/download,2026-01-29
nth-waste-plan-2011,Locations for Waste Development,local-authority:NTH,E10000021,,,2011-03-24,,,,2026-01-29
ntt-ngm-waste-plan-2013,Waste Core Strategy,local-authority:NTT;local-authority:NGM,E10000024-E60000075,2011,2031,2013-12-10,,https://www.nottinghamshire.gov.uk/planning-and-environment/waste-development-plan/waste-core-strategy,https://www.nottinghamcity.gov.uk/media/cl0pxuoo/waste-core-strategy.pdf,2026-01-29
ntt-ngm-waste-plan-2025,Joint Waste Plan,local-authority:NTT;local-authority:NGM,E10000024-E60000075,2021,2038,2025-09-18,,https://www.nottinghamshire.gov.uk/planning-and-environment/waste-development-plan/new-waste-local-plan,https://www.nottinghamshire.gov.uk/media/o3dfsast/nottinghamshireandnottinghamwlp.pdf,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022,Mineral and Waste Joint Plan,local-authority:NYK;local-authority:YOR;national-park-authority:Q72617669,E10000023-E60000056-E60000322,2016,2030,2022-02-16,,https://www.northyorks.gov.uk/planning-and-conservation/planning-policy/planning-policy-minerals-and-waste/minerals-and-waste-joint-plan/minerals-and-waste-joint-plan,https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/minerals_and_waste_plan/LPA128%20-%20%20MWJP%20Policy%20adopted%20document%20-%20Final%20-%20accessible.pdf,2026-01-29
oxf-mineral-waste-plan-2017,Oxfordshire Minerals and Waste Local Plan - Part 1 Core Strategy,local-authority:OXF,E10000025,2014,2031,2017-09-12,,https://www.oxfordshire.gov.uk/residents/environment-and-planning/planning/planning-policy/minerals-and-waste-policy/core-strategy,https://www.oxfordshire.gov.uk/sites/default/files/file/planning-minerals-strategy-2017-and-2011/adoptedmineralswastecorestrategysept2017.pdf,2026-01-29
ply-waste-plan-2008,Waste,local-authority:PLY,E60000295,2006,2021,2008-04-21,,https://www.plymouth.gov.uk/waste-development-plan-document,https://www.plymouth.gov.uk/sites/default/files/WasteDevelopmentPlan.pdf,2026-01-29
sfk-mineral-waste-plan-2020,Minerals & Waste,local-authority:SFK,E10000029,,2036,2020-07-09,,https://www.suffolk.gov.uk/planning-waste-and-environment/suffolk-minerals-and-waste-plan/adopted-suffolk-minerals-and-waste-local-plan,https://www.suffolk.gov.uk/asset-library/imported/chapters-1-to-18-smwlp-adopted-july-2020.pdf,2026-01-29
sfk-waste-plan-2011,Waste CS,local-authority:SFK,E10000029,2011,2026,2011-03-17,,,https://www.eastsuffolk.gov.uk/assets/Planning/Suffolk-Coastal-Local-Plan/Document-Library/Waste/Waste-Core-Strategy.pdf,2026-01-29
sft-wrl-liv-shn-kwl-hal-waste-plan-2013,Joint Waste,local-authority:SFT;local-authority:WRL;local-authority:LIV;local-authority:SHN;local-authority:KWL;local-authority:HAL,E60000049-E60000051-E60000048-E60000050-E60000047-E60000017,,2027,2013-07-01,,https://www.sefton.gov.uk/planning-building-control/planning-policy-including-local-plan-and-neighbourhood-planning/merseyside-and-halton-waste-local-plan/,https://www.sefton.gov.uk/media/1798/mside-halton-waste-localplan2013.pdf,2026-01-29
