reference,name,organisations,waste-planning-authority,period-start-date,period-end-date,start-date,end-date,documentation-url,document-url,entry-date
som-waste-plan-2013,Waste Core Strategy,local-authority:SOM,E10000027,2010,2028,2013-02-20,,https://www.somerset.gov.uk/planning-buildings-and-land/minerals-and-waste-planning/#Waste%20Planning,https://somersetcc.sharepoint.com/sites/SCCPublic/Planning%20and%20Land/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste%2FSomerset%20Waste%20Core%20Strategy%2Epdf&parent=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste&p=true&ga=1,2026-01-29
sry-waste-plan-2008,Surrey Waste Plan,local-authority:SRY,E10000030,2006,2026,2008-05-06,,,https://mycouncil.surreycc.gov.uk/Data/Council/20080506/Agenda/item%2009%20-%20Annex%20C%20Waste%20Plan_07.04.08_SET%201.pdf,2026-01-29
sry-waste-plan-2020,Waste Plan,local-authority:SRY,E10000030,2019,2033,2020-12-01,,https://www.surreycc.gov.uk/land-planning-and-development/minerals-and-waste/waste-plan,https://www.surreycc.gov.uk/__data/assets/pdf_file/0003/246882/2020-11-20-SWLP-Part-1-for-Adoption-Final.pdf,2026-01-29
sts-ste-waste-plan-2013,Waste Core Strategy,local-authority:STS;local-authority:STE,E10000028-E60000115,2010,2026,2013-03-22,,https://www.staffordshire.gov.uk/Waste-and-recycling/wastestrategy/JointMunicipalWasteManagementStrategy.aspx,https://www.staffordshire.gov.uk/environment/planning/policy/wastelocalplan/Documents/Staffordshire-and-Stoke-on-Trent-Joint-Waste-Local-Plan-2010-to-2026-adopted-March-2013.pdf,2026-01-29
war-waste-plan-2013,Waste Core Strategy,local-authority:WAR,E10000031,2013,2028,2013-07-09,,https://www.warwickshire.gov.uk/mineral-waste-plans/waste-development-framework/1,https://api.warwickshire.gov.uk/documents/WCCC-680-279,2026-01-29
wbk-mineral-waste-plan-2022,Minerals and Waste Local Plan,local-authority:WBK,E60000230,2022,2037,2022-12-01,,https://www.westberks.gov.uk/article/41069/The-Minerals-and-Waste-Local-Plan,https://www.westberks.gov.uk/media/53808/Final-Minerals-and-Waste-Local-Plan/pdf/FINAL_MWLP_09.11.22.pdf?m=1669718157867,2026-01-29
wil-swd-waste-plan-2009,Waste Core Strategy,local-authority:WIL;local-authority:SWD,E60000299-E60000297,2006,2026,2009-06-01,,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8548/waste-core-strategy-july-2009/pdf/waste-core-strategy-2009-july.pdf?m=1644847623427,2026-01-29
wil-swd-waste-plan-2009-2,Waste DC Policies,local-authority:WIL;local-authority:SWD,E60000299-E60000297,,2026,2009-09-01,,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8551/minerals-development-control-policies-dpd-September-2009/pdf/adopted-minerals-development-control-policies-dpd-2009-september.pdf?m=1644847883447,2026-01-29
wil-swd-waste-plan-2013,Waste site allocations,local-authority:WIL;local-authority:SWD,E60000299-E60000297,,2026,2013-02-26,,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8561/waste-site-allocations-local-plan-february-2013/pdf/waste-site-allocations-local-plan-feb-20131.pdf?m=1644848543520,2026-01-29
wkf-waste-plan-2009,Waste Development Plan Document,local-authority:WKF,E60000072,,2026,2009-12-09,,https://www.wakefield.gov.uk/planning/planning-policy/revoked-local-development-framework,https://www.wakefield.gov.uk/media/z3rbfd0a/waste-dpd-no-maps-aug-2010.pdf,2026-01-29
wor-waste-plan-2012,Waste Core Strategy,local-authority:WOR,E10000034,2012,2027,2012-11-15,,https://www.worcestershire.gov.uk/council-services/planning-and-developments/planning-policy-and-strategy/waste-core-strategy,https://www.worcestershire.gov.uk/sites/default/files/2025-04/Waste%20Core%20Strategy%20Adopted%20including%20maps.pdf,2026-01-29
wsx-q20198711-waste-plan-2014,Waste Local Plan,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325,,2031,2014-04-11,,https://www.westsussex.gov.uk/about-the-council/policies-and-reports/environment-planning-and-waste-policy-and-reports/minerals-and-waste-policy/waste-local-plan/,https://www.westsussex.gov.uk/media/3241/waste_local_plan_april2014.pdf,2026-01-29
