reference,local-plan,plan-event,start-date,entry-date
ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031-reg-19-publication-local-plan-published,ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031,reg-19-publication-local-plan-published,2014-02-28,2026-01-28
ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031-submit-plan-for-examination,ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031,submit-plan-for-examination,2014-07-30,2026-01-28
bkm-mineral-waste-plan-2036-plan-adopted,bkm-mineral-waste-plan-2036,plan-adopted,2019-07-25,2026-01-28
bkm-mineral-waste-plan-2036-planning-inspectorate-examination-end,bkm-mineral-waste-plan-2036,planning-inspectorate-examination-end,2018-09-25,2026-01-28
bkm-mineral-waste-plan-2036-planning-inspectorate-examination-start,bkm-mineral-waste-plan-2036,planning-inspectorate-examination-start,2018-09-24,2026-01-28
bkm-mineral-waste-plan-2036-planning-inspectorate-found-sound,bkm-mineral-waste-plan-2036,planning-inspectorate-found-sound,2019-06-05,2026-01-28
bkm-mineral-waste-plan-2036-reg-19-publication-local-plan-published,bkm-mineral-waste-plan-2036,reg-19-publication-local-plan-published,2018-03-03,2026-01-28
bkm-mineral-waste-plan-2036-submit-plan-for-examination,bkm-mineral-waste-plan-2036,submit-plan-for-examination,2018-06-01,2026-01-28
bkm-mineral-waste-plan-2026-plan-adopted,bkm-mineral-waste-plan-2026,plan-adopted,2012-11-22,2026-01-28
bkm-mineral-waste-plan-2026-planning-inspectorate-found-sound,bkm-mineral-waste-plan-2026,planning-inspectorate-found-sound,2012-09-03,2026-01-28
bkm-mineral-waste-plan-2026-reg-19-publication-local-plan-published,bkm-mineral-waste-plan-2026,reg-19-publication-local-plan-published,2011-09-05,2026-01-28
bkm-mineral-waste-plan-2026-submit-plan-for-examination,bkm-mineral-waste-plan-2026,submit-plan-for-examination,2011-11-11,2026-01-28
,,planning-inspectorate-found-sound,2013-03-14,2026-01-28
,,reg-19-publication-local-plan-published,2011-05-11,2026-01-28
,,submit-plan-for-examination,2012-02-28,2026-01-28
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036-plan-adopted,bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036,plan-adopted,2022-01-26,2026-01-28
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036-planning-inspectorate-examination-end,bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036,planning-inspectorate-examination-end,2019-11-21,2026-01-28
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036-planning-inspectorate-examination-start,bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036,planning-inspectorate-examination-start,2019-11-20,2026-01-28
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036-planning-inspectorate-found-sound,bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036,planning-inspectorate-found-sound,2021-10-27,2026-01-28
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036-reg-19-publication-local-plan-published,bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036,reg-19-publication-local-plan-published,2019-03-01,2026-01-28
bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036-submit-plan-for-examination,bne-cmd-enf-hck-hry-isl-wft-waste-plan-2036,submit-plan-for-examination,2019-08-08,2026-01-28
bns-dnc-rot-waste-plan-2026-plan-adopted,bns-dnc-rot-waste-plan-2026,plan-adopted,2012-03-30,2026-01-28
bns-dnc-rot-waste-plan-2026-planning-inspectorate-found-sound,bns-dnc-rot-waste-plan-2026,planning-inspectorate-found-sound,2012-01-13,2026-01-28
bns-dnc-rot-waste-plan-2026-reg-19-publication-local-plan-published,bns-dnc-rot-waste-plan-2026,reg-19-publication-local-plan-published,2011-04-11,2026-01-28
bns-dnc-rot-waste-plan-2026-submit-plan-for-examination,bns-dnc-rot-waste-plan-2026,submit-plan-for-examination,2011-07-29,2026-01-28
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027-plan-adopted,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027,plan-adopted,2012-03-28,2026-01-28
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027-planning-inspectorate-found-sound,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027,planning-inspectorate-found-sound,2011-11-04,2026-01-28
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027-reg-19-publication-local-plan-published,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027,reg-19-publication-local-plan-published,2010-11-01,2026-01-28
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027-submit-plan-for-examination,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-waste-plan-2027,submit-plan-for-examination,2011-02-28,2026-01-28
brc-rdg-wok-wbk-mineral-waste-plan-2036-plan-adopted,brc-rdg-wok-wbk-mineral-waste-plan-2036,plan-adopted,2023-01-11,2026-01-28
brc-rdg-wok-wbk-mineral-waste-plan-2036-planning-inspectorate-examination-end,brc-rdg-wok-wbk-mineral-waste-plan-2036,planning-inspectorate-examination-end,2021-10-12,2026-01-28
brc-rdg-wok-wbk-mineral-waste-plan-2036-planning-inspectorate-examination-start,brc-rdg-wok-wbk-mineral-waste-plan-2036,planning-inspectorate-examination-start,2021-09-28,2026-01-28
brc-rdg-wok-wbk-mineral-waste-plan-2036-planning-inspectorate-found-sound,brc-rdg-wok-wbk-mineral-waste-plan-2036,planning-inspectorate-found-sound,2022-10-01,2026-01-28
brc-rdg-wok-wbk-mineral-waste-plan-2036-reg-19-publication-local-plan-published,brc-rdg-wok-wbk-mineral-waste-plan-2036,reg-19-publication-local-plan-published,2020-09-01,2026-01-28
brc-rdg-wok-wbk-mineral-waste-plan-2036-submit-plan-for-examination,brc-rdg-wok-wbk-mineral-waste-plan-2036,submit-plan-for-examination,2021-02-01,2026-01-28
brd-waste-plan-2030-plan-adopted,brd-waste-plan-2030,plan-adopted,2017-10-17,2026-01-28
brd-waste-plan-2030-planning-inspectorate-found-sound,brd-waste-plan-2030,planning-inspectorate-found-sound,2017-07-25,2026-01-28
brd-waste-plan-2030-reg-19-publication-local-plan-published,brd-waste-plan-2030,reg-19-publication-local-plan-published,2015-12-14,2026-01-28
brd-waste-plan-2030-submit-plan-for-examination,brd-waste-plan-2030,submit-plan-for-examination,2016-05-11,2026-01-28
cam-pte-mineral-waste-plan-2036-plan-adopted,cam-pte-mineral-waste-plan-2036,plan-adopted,2021-07-28,2026-01-28
cam-pte-mineral-waste-plan-2036-planning-inspectorate-examination-end,cam-pte-mineral-waste-plan-2036,planning-inspectorate-examination-end,2020-09-17,2026-01-28
cam-pte-mineral-waste-plan-2036-planning-inspectorate-examination-start,cam-pte-mineral-waste-plan-2036,planning-inspectorate-examination-start,2020-09-15,2026-01-28
cam-pte-mineral-waste-plan-2036-planning-inspectorate-found-sound,cam-pte-mineral-waste-plan-2036,planning-inspectorate-found-sound,2021-03-25,2026-01-28
cam-pte-mineral-waste-plan-2036-reg-19-publication-local-plan-published,cam-pte-mineral-waste-plan-2036,reg-19-publication-local-plan-published,2019-11-15,2026-01-28
cam-pte-mineral-waste-plan-2036-submit-plan-for-examination,cam-pte-mineral-waste-plan-2036,submit-plan-for-examination,2020-03-24,2026-01-28
cam-pte-mineral-waste-plan-2026-plan-adopted,cam-pte-mineral-waste-plan-2026,plan-adopted,2011-07-19,2026-01-28
cam-pte-mineral-waste-plan-2026-planning-inspectorate-found-sound,cam-pte-mineral-waste-plan-2026,planning-inspectorate-found-sound,2011-03-15,2026-01-28
cam-pte-mineral-waste-plan-2026-reg-19-publication-local-plan-published,cam-pte-mineral-waste-plan-2026,reg-19-publication-local-plan-published,2010-02-15,2026-01-28
cam-pte-mineral-waste-plan-2026-submit-plan-for-examination,cam-pte-mineral-waste-plan-2026,submit-plan-for-examination,2010-07-29,2026-01-28
cam-pte-mineral-waste-plan-2026-2-plan-adopted,cam-pte-mineral-waste-plan-2026-2,plan-adopted,2012-02-22,2026-01-28
cam-pte-mineral-waste-plan-2026-2-planning-inspectorate-found-sound,cam-pte-mineral-waste-plan-2026-2,planning-inspectorate-found-sound,2011-10-20,2026-01-28
cam-pte-mineral-waste-plan-2026-2-reg-19-publication-local-plan-published,cam-pte-mineral-waste-plan-2026-2,reg-19-publication-local-plan-published,2010-02-15,2026-01-28
cam-pte-mineral-waste-plan-2026-2-submit-plan-for-examination,cam-pte-mineral-waste-plan-2026-2,submit-plan-for-examination,2010-07-29,2026-01-28
cma-mineral-waste-plan-2020-plan-adopted,cma-mineral-waste-plan-2020,plan-adopted,2009-04-23,2026-01-28
cma-mineral-waste-plan-2020-planning-inspectorate-found-sound,cma-mineral-waste-plan-2020,planning-inspectorate-found-sound,2009-02-03,2026-01-28
cma-mineral-waste-plan-2020-submit-plan-for-examination,cma-mineral-waste-plan-2020,submit-plan-for-examination,2008-04-21,2026-01-28
cma-mineral-waste-plan-2030-plan-adopted,cma-mineral-waste-plan-2030,plan-adopted,2017-09-06,2026-01-28
cma-mineral-waste-plan-2030-planning-inspectorate-examination-end,cma-mineral-waste-plan-2030,planning-inspectorate-examination-end,2016-12-14,2026-01-28
cma-mineral-waste-plan-2030-planning-inspectorate-examination-start,cma-mineral-waste-plan-2030,planning-inspectorate-examination-start,2016-11-29,2026-01-28
cma-mineral-waste-plan-2030-planning-inspectorate-found-sound,cma-mineral-waste-plan-2030,planning-inspectorate-found-sound,2017-06-29,2026-01-28
cma-mineral-waste-plan-2030-reg-19-publication-local-plan-published,cma-mineral-waste-plan-2030,reg-19-publication-local-plan-published,2016-05-23,2026-01-28
cma-mineral-waste-plan-2030-submit-plan-for-examination,cma-mineral-waste-plan-2030,submit-plan-for-examination,2016-09-08,2026-01-28
cma-mineral-waste-plan-2011-plan-adopted,cma-mineral-waste-plan-2011,plan-adopted,2011-01-20,2026-01-28
cma-mineral-waste-plan-2011-planning-inspectorate-found-sound,cma-mineral-waste-plan-2011,planning-inspectorate-found-sound,2010-12-01,2026-01-28
cma-mineral-waste-plan-2011-reg-19-publication-local-plan-published,cma-mineral-waste-plan-2011,reg-19-publication-local-plan-published,2009-12-11,2026-01-28
cma-mineral-waste-plan-2011-submit-plan-for-examination,cma-mineral-waste-plan-2011,submit-plan-for-examination,2010-04-30,2026-01-28
cry-ktt-mrt-stn-waste-plan-2037-plan-adopted,cry-ktt-mrt-stn-waste-plan-2037,plan-adopted,2022-12-14,2026-01-28
cry-ktt-mrt-stn-waste-plan-2037-planning-inspectorate-examination-end,cry-ktt-mrt-stn-waste-plan-2037,planning-inspectorate-examination-end,2021-09-02,2026-01-28
cry-ktt-mrt-stn-waste-plan-2037-planning-inspectorate-examination-start,cry-ktt-mrt-stn-waste-plan-2037,planning-inspectorate-examination-start,2021-09-01,2026-01-28
cry-ktt-mrt-stn-waste-plan-2037-planning-inspectorate-found-sound,cry-ktt-mrt-stn-waste-plan-2037,planning-inspectorate-found-sound,2022-11-21,2026-01-28
cry-ktt-mrt-stn-waste-plan-2037-reg-19-publication-local-plan-published,cry-ktt-mrt-stn-waste-plan-2037,reg-19-publication-local-plan-published,2021-01-01,2026-01-28
cry-ktt-mrt-stn-waste-plan-2037-submit-plan-for-examination,cry-ktt-mrt-stn-waste-plan-2037,submit-plan-for-examination,2022-01-19,2026-01-28
cry-ktt-mrt-stn-waste-plan-2012-plan-adopted,cry-ktt-mrt-stn-waste-plan-2012,plan-adopted,2012-03-05,2026-01-28
cry-ktt-mrt-stn-waste-plan-2012-planning-inspectorate-found-sound,cry-ktt-mrt-stn-waste-plan-2012,planning-inspectorate-found-sound,2011-10-26,2026-01-28
cry-ktt-mrt-stn-waste-plan-2012-reg-19-publication-local-plan-published,cry-ktt-mrt-stn-waste-plan-2012,reg-19-publication-local-plan-published,2010-12-21,2026-01-28
cry-ktt-mrt-stn-waste-plan-2012-submit-plan-for-examination,cry-ktt-mrt-stn-waste-plan-2012,submit-plan-for-examination,2011-04-21,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-plan-adopted,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026,plan-adopted,2011-09-15,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-planning-inspectorate-found-sound,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026,planning-inspectorate-found-sound,2011-05-16,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-reg-19-publication-local-plan-published,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026,reg-19-publication-local-plan-published,2009-08-27,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-submit-plan-for-examination,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026,submit-plan-for-examination,2010-11-12,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2-plan-adopted,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2,plan-adopted,2011-09-15,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2-planning-inspectorate-found-sound,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2,planning-inspectorate-found-sound,2011-05-16,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2-reg-19-publication-local-plan-published,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2,reg-19-publication-local-plan-published,2009-08-27,2026-01-28
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2-submit-plan-for-examination,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026-2,submit-plan-for-examination,2010-11-15,2026-01-28
dev-waste-plan-2031-plan-adopted,dev-waste-plan-2031,plan-adopted,2014-12-11,2026-01-28
dev-waste-plan-2031-planning-inspectorate-found-sound,dev-waste-plan-2031,planning-inspectorate-found-sound,2014-10-06,2026-01-28
dev-waste-plan-2031-reg-19-publication-local-plan-published,dev-waste-plan-2031,reg-19-publication-local-plan-published,2013-12-02,2026-01-28
dev-waste-plan-2031-submit-plan-for-examination,dev-waste-plan-2031,submit-plan-for-examination,2014-03-28,2026-01-28
dor-bpc-waste-plan-2033-plan-adopted,dor-bpc-waste-plan-2033,plan-adopted,2019-07-18,2026-01-28
dor-bpc-waste-plan-2033-planning-inspectorate-examination-end,dor-bpc-waste-plan-2033,planning-inspectorate-examination-end,2018-06-29,2026-01-28
dor-bpc-waste-plan-2033-planning-inspectorate-examination-start,dor-bpc-waste-plan-2033,planning-inspectorate-examination-start,2018-06-26,2026-01-28
dor-bpc-waste-plan-2033-planning-inspectorate-found-sound,dor-bpc-waste-plan-2033,planning-inspectorate-found-sound,2019-01-31,2026-01-28
dor-bpc-waste-plan-2033-reg-19-publication-local-plan-published,dor-bpc-waste-plan-2033,reg-19-publication-local-plan-published,2017-12-01,2026-01-28
dor-bpc-waste-plan-2033-submit-plan-for-examination,dor-bpc-waste-plan-2033,submit-plan-for-examination,2018-03-28,2026-01-28
dor-bpc-waste-plan-2033-submit-plan-for-examination,dor-bpc-waste-plan-2033,submit-plan-for-examination,2018-03-23,2026-01-28
dur-mineral-waste-plan-2035-plan-adopted,dur-mineral-waste-plan-2035,plan-adopted,2024-07-17,2026-01-28
dur-mineral-waste-plan-2035-planning-inspectorate-examination-end,dur-mineral-waste-plan-2035,planning-inspectorate-examination-end,2023-10-05,2026-01-28
dur-mineral-waste-plan-2035-planning-inspectorate-examination-start,dur-mineral-waste-plan-2035,planning-inspectorate-examination-start,2023-09-26,2026-01-28
dur-mineral-waste-plan-2035-planning-inspectorate-found-sound,dur-mineral-waste-plan-2035,planning-inspectorate-found-sound,2024-05-20,2026-01-28
dur-mineral-waste-plan-2035-reg-19-publication-local-plan-published,dur-mineral-waste-plan-2035,reg-19-publication-local-plan-published,2022-11-28,2026-01-28
dur-mineral-waste-plan-2035-submit-plan-for-examination,dur-mineral-waste-plan-2035,submit-plan-for-examination,2023-07-03,2026-01-28
ess-sos-waste-plan-2032-plan-adopted,ess-sos-waste-plan-2032,plan-adopted,2017-07-11,2026-01-28
ess-sos-waste-plan-2032-planning-inspectorate-examination-end,ess-sos-waste-plan-2032,planning-inspectorate-examination-end,2016-10-07,2026-01-28
ess-sos-waste-plan-2032-planning-inspectorate-examination-start,ess-sos-waste-plan-2032,planning-inspectorate-examination-start,2016-09-27,2026-01-28
ess-sos-waste-plan-2032-planning-inspectorate-found-sound,ess-sos-waste-plan-2032,planning-inspectorate-found-sound,2017-06-19,2026-01-28
ess-sos-waste-plan-2032-reg-19-publication-local-plan-published,ess-sos-waste-plan-2032,reg-19-publication-local-plan-published,2016-03-03,2026-01-28
ess-sos-waste-plan-2032-submit-plan-for-examination,ess-sos-waste-plan-2032,submit-plan-for-examination,2016-06-10,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-plan-adopted,esx-bnh-q20198711-mineral-waste-plan-2030,plan-adopted,2024-10-24,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-plan-adopted,esx-bnh-q20198711-mineral-waste-plan-2030-2,plan-adopted,2013-02-19,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-3-plan-adopted,esx-bnh-q20198711-mineral-waste-plan-2030-3,plan-adopted,2017-02-07,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-3-planning-inspectorate-examination-end,esx-bnh-q20198711-mineral-waste-plan-2030-3,planning-inspectorate-examination-end,2022-11-09,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-planning-inspectorate-examination-end,esx-bnh-q20198711-mineral-waste-plan-2030-2,planning-inspectorate-examination-end,2016-08-04,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-3-planning-inspectorate-examination-start,esx-bnh-q20198711-mineral-waste-plan-2030-3,planning-inspectorate-examination-start,2022-11-08,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-planning-inspectorate-examination-start,esx-bnh-q20198711-mineral-waste-plan-2030-2,planning-inspectorate-examination-start,2016-08-01,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-3-planning-inspectorate-found-sound,esx-bnh-q20198711-mineral-waste-plan-2030-3,planning-inspectorate-found-sound,2024-04-02,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-planning-inspectorate-found-sound,esx-bnh-q20198711-mineral-waste-plan-2030-2,planning-inspectorate-found-sound,2013-01-09,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-planning-inspectorate-found-sound,esx-bnh-q20198711-mineral-waste-plan-2030-2,planning-inspectorate-found-sound,2016-11-07,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-3-reg-19-publication-local-plan-published,esx-bnh-q20198711-mineral-waste-plan-2030-3,reg-19-publication-local-plan-published,2021-10-29,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-reg-19-publication-local-plan-published,esx-bnh-q20198711-mineral-waste-plan-2030-2,reg-19-publication-local-plan-published,2012-02-27,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-reg-19-publication-local-plan-published,esx-bnh-q20198711-mineral-waste-plan-2030-2,reg-19-publication-local-plan-published,2015-10-28,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-3-submit-plan-for-examination,esx-bnh-q20198711-mineral-waste-plan-2030-3,submit-plan-for-examination,2022-05-13,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-submit-plan-for-examination,esx-bnh-q20198711-mineral-waste-plan-2030-2,submit-plan-for-examination,2012-06-01,2026-01-28
esx-bnh-q20198711-mineral-waste-plan-2030-2-submit-plan-for-examination,esx-bnh-q20198711-mineral-waste-plan-2030-2,submit-plan-for-examination,2016-04-15,2026-01-28
gls-waste-plan-2027-plan-adopted,gls-waste-plan-2027,plan-adopted,2012-11-21,2026-01-28
gls-waste-plan-2027-planning-inspectorate-found-sound,gls-waste-plan-2027,planning-inspectorate-found-sound,2012-08-17,2026-01-28
gls-waste-plan-2027-reg-19-publication-local-plan-published,gls-waste-plan-2027,reg-19-publication-local-plan-published,2010-12-13,2026-01-28
gls-waste-plan-2027-submit-plan-for-examination,gls-waste-plan-2027,submit-plan-for-examination,2011-09-05,2026-01-28
ham-mineral-waste-plan-2007-plan-adopted,ham-mineral-waste-plan-2007,plan-adopted,2007-07-12,2026-01-28
ham-mineral-waste-plan-2007-planning-inspectorate-found-sound,ham-mineral-waste-plan-2007,planning-inspectorate-found-sound,2007-05-29,2026-01-28
ham-mineral-waste-plan-2007-submit-plan-for-examination,ham-mineral-waste-plan-2007,submit-plan-for-examination,2006-05-30,2026-01-28
,,planning-inspectorate-examination-start,2025-02-04,2026-01-28
,,reg-19-publication-local-plan-published,2024-01-09,2026-01-28
,,submit-plan-for-examination,2024-07-29,2026-01-28
hef-mineral-waste-plan-2041-plan-adopted,hef-mineral-waste-plan-2041,plan-adopted,2024-03-08,2026-01-28
hef-mineral-waste-plan-2041-planning-inspectorate-examination-end,hef-mineral-waste-plan-2041,planning-inspectorate-examination-end,2022-11-15,2026-01-28
hef-mineral-waste-plan-2041-planning-inspectorate-examination-start,hef-mineral-waste-plan-2041,planning-inspectorate-examination-start,2022-11-08,2026-01-28
hef-mineral-waste-plan-2041-planning-inspectorate-found-sound,hef-mineral-waste-plan-2041,planning-inspectorate-found-sound,2023-10-31,2026-01-28
hef-mineral-waste-plan-2041-reg-19-publication-local-plan-published,hef-mineral-waste-plan-2041,reg-19-publication-local-plan-published,2021-04-12,2026-01-28
hef-mineral-waste-plan-2041-submit-plan-for-examination,hef-mineral-waste-plan-2041,submit-plan-for-examination,2022-03-22,2026-01-28
hrt-waste-plan-2026-plan-adopted,hrt-waste-plan-2026,plan-adopted,2012-11-05,2026-01-28
hrt-waste-plan-2026-planning-inspectorate-found-sound,hrt-waste-plan-2026,planning-inspectorate-found-sound,2012-07-17,2026-01-28
hrt-waste-plan-2026-reg-19-publication-local-plan-published,hrt-waste-plan-2026,reg-19-publication-local-plan-published,2010-11-01,2026-01-28
hrt-waste-plan-2026-submit-plan-for-examination,hrt-waste-plan-2026,submit-plan-for-examination,2011-06-27,2026-01-28
hrt-waste-plan-2026-2-plan-adopted,hrt-waste-plan-2026-2,plan-adopted,2014-07-01,2026-01-28
hrt-waste-plan-2026-2-planning-inspectorate-found-sound,hrt-waste-plan-2026-2,planning-inspectorate-found-sound,2014-03-24,2026-01-28
hrt-waste-plan-2026-2-reg-19-publication-local-plan-published,hrt-waste-plan-2026-2,reg-19-publication-local-plan-published,2012-02-06,2026-01-28
hrt-waste-plan-2026-2-submit-plan-for-examination,hrt-waste-plan-2026-2,submit-plan-for-examination,2013-06-24,2026-01-28
ken-mineral-waste-plan-2030-plan-adopted,ken-mineral-waste-plan-2030,plan-adopted,2020-09-10,2026-01-28
ken-mineral-waste-plan-2030-planning-inspectorate-examination-end,ken-mineral-waste-plan-2030,planning-inspectorate-examination-end,2019-10-15,2026-01-28
ken-mineral-waste-plan-2030-planning-inspectorate-examination-start,ken-mineral-waste-plan-2030,planning-inspectorate-examination-start,2019-10-08,2026-01-28
ken-mineral-waste-plan-2030-planning-inspectorate-found-sound,ken-mineral-waste-plan-2030,planning-inspectorate-found-sound,2020-04-23,2026-01-28
ken-mineral-waste-plan-2030-reg-19-publication-local-plan-published,ken-mineral-waste-plan-2030,reg-19-publication-local-plan-published,2019-01-11,2026-01-28
ken-mineral-waste-plan-2030-submit-plan-for-examination,ken-mineral-waste-plan-2030,submit-plan-for-examination,2019-05-03,2026-01-28
ken-mineral-waste-plan-2039-plan-adopted,ken-mineral-waste-plan-2039,plan-adopted,2025-03-13,2026-01-28
ken-mineral-waste-plan-2039-planning-inspectorate-examination-end,ken-mineral-waste-plan-2039,planning-inspectorate-examination-end,2024-09-17,2026-01-28
ken-mineral-waste-plan-2039-planning-inspectorate-examination-start,ken-mineral-waste-plan-2039,planning-inspectorate-examination-start,2024-09-10,2026-01-28
ken-mineral-waste-plan-2039-planning-inspectorate-found-sound,ken-mineral-waste-plan-2039,planning-inspectorate-found-sound,2025-02-06,2026-01-28
ken-mineral-waste-plan-2039-reg-19-publication-local-plan-published,ken-mineral-waste-plan-2039,reg-19-publication-local-plan-published,2024-01-17,2026-01-28
ken-mineral-waste-plan-2039-submit-plan-for-examination,ken-mineral-waste-plan-2039,submit-plan-for-examination,2024-05-17,2026-01-28
lan-mineral-waste-plan-2021-plan-adopted,lan-mineral-waste-plan-2021,plan-adopted,2009-02-26,2026-01-28
lan-mineral-waste-plan-2021-planning-inspectorate-found-sound,lan-mineral-waste-plan-2021,planning-inspectorate-found-sound,2008-08-22,2026-01-28
lan-mineral-waste-plan-2021-submit-plan-for-examination,lan-mineral-waste-plan-2021,submit-plan-for-examination,2007-11-29,2026-01-28
lds-mineral-waste-plan-2013-plan-adopted,lds-mineral-waste-plan-2013,plan-adopted,2013-01-16,2026-01-28
lds-mineral-waste-plan-2013-planning-inspectorate-examination-end,lds-mineral-waste-plan-2013,planning-inspectorate-examination-end,2015-05-28,2026-01-28
lds-mineral-waste-plan-2013-planning-inspectorate-examination-start,lds-mineral-waste-plan-2013,planning-inspectorate-examination-start,2015-05-27,2026-01-28
