reference,local-plan,plan-event,start-date,entry-date
bas-bst-nsm-sgc-waste-plan-2026-plan-adopted,bas-bst-nsm-sgc-waste-plan-2026,plan-adopted,2011-03-25,2026-01-28
bas-bst-nsm-sgc-waste-plan-2026-planning-inspectorate-found-sound,bas-bst-nsm-sgc-waste-plan-2026,planning-inspectorate-found-sound,2011-02-03,2026-01-28
bas-bst-nsm-sgc-waste-plan-2026-reg-19-publication-local-plan-published,bas-bst-nsm-sgc-waste-plan-2026,reg-19-publication-local-plan-published,2010-01-04,2026-01-28
bas-bst-nsm-sgc-waste-plan-2026-submit-plan-for-examination,bas-bst-nsm-sgc-waste-plan-2026,submit-plan-for-examination,2010-07-30,2026-01-28
bdf-lut-cbf-mineral-waste-plan-2028-plan-adopted,bdf-lut-cbf-mineral-waste-plan-2028,plan-adopted,2014-01-30,2026-01-28
bdf-lut-cbf-mineral-waste-plan-2028-planning-inspectorate-found-sound,bdf-lut-cbf-mineral-waste-plan-2028,planning-inspectorate-found-sound,2013-10-04,2026-01-28
bdf-lut-cbf-mineral-waste-plan-2028-reg-19-publication-local-plan-published,bdf-lut-cbf-mineral-waste-plan-2028,reg-19-publication-local-plan-published,2011-12-05,2026-01-28
bdf-lut-cbf-mineral-waste-plan-2028-submit-plan-for-examination,bdf-lut-cbf-mineral-waste-plan-2028,submit-plan-for-examination,2012-08-10,2026-01-28
,,reg-19-publication-local-plan-published,2025-05-19,2026-01-28
bdg-hav-nwm-rdb-waste-plan-2021-plan-adopted,bdg-hav-nwm-rdb-waste-plan-2021,plan-adopted,2012-02-27,2026-01-28
bdg-hav-nwm-rdb-waste-plan-2021-planning-inspectorate-found-sound,bdg-hav-nwm-rdb-waste-plan-2021,planning-inspectorate-found-sound,2011-11-14,2026-01-28
bdg-hav-nwm-rdb-waste-plan-2021-reg-19-publication-local-plan-published,bdg-hav-nwm-rdb-waste-plan-2021,reg-19-publication-local-plan-published,2010-09-27,2026-01-28
bdg-hav-nwm-rdb-waste-plan-2021-submit-plan-for-examination,bdg-hav-nwm-rdb-waste-plan-2021,submit-plan-for-examination,2010-11-30,2026-01-28
ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031-plan-adopted,ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031,plan-adopted,2015-07-30,2026-01-28
ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031-planning-inspectorate-found-sound,ben-eal-hrw-hil-hns-ric-q20648596-waste-plan-2031,planning-inspectorate-found-sound,2015-03-16,2026-01-28
