reference,name,dataset,period-start-date,period-end-date,organisations,local-planning-authorities,mineral-planning-authorities,waste-planning-authorities,local-plan-process,documentation-url,document-url,entry-date,start-date,end-date,notes
adur-district-council-local-plan-2011,Adur Local Plan 2017,local-plan,2011,2032,local-authority:ADU,E60000281,,,adopted,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",2026-01-30,2017-12-14,,
arun-district-council-local-plan-2011,Arun Local Plan 2011-2031,local-plan,2011,2031,local-authority:ARU,E60000282,,,adopted,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12844.pdf&ver=12984,2026-01-30,2018-07-18,,
babergh-and-mid-suffolk-joint-local-plan-review,Babergh and Mid Suffolk Joint Local Plan Review,local-plan,,,local-authority:BAB;local-authority:MSU,,,,draft,https://www.midsuffolk.gov.uk/joint-local-plan,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-plan-review,2026-01-30,,,
chichester-district-council-local-plan-2021,Chichester Local Plan Review,local-plan,2021,2039,local-authority:CHI,E60000283,,,adopted,https://www.chichester.gov.uk/planning/local-plan,https://www.chichester.gov.uk/media/41460/Chichester-Local-Plan-2021-2039-Adoption-Version/pdf/Chichester_Local_Plan_2021-2039_-_Adoption_Version.pdf?m=1756894722743,2026-01-30,2025-08-19,,
city-of-wolverhampton-council-local-plan-2006,Black Country Core Strategy,local-plan,2006,2026,local-authority:WLV,E60000132-E60000133-E60000135-E60000136,,,adopted,https://go.walsall.gov.uk/planning-and-building-control/planning-policy/current-planning-policy/black-country-core-strategy,https://go.walsall.gov.uk/sites/default/files/2022-09/Black%20Country%20Core%20Strategy.pdf,2026-01-30,2011-02-03,,
city-of-wolverhampton-council-local-plan-2026,Black Country Core Strategy,local-plan,,2026,local-authority:WLV,,,,adopted,https://www.wolverhampton.gov.uk/planningpolicy,,2026-01-30,,,
city-of-wolverhampton-council-local-plan-2042,Wolverhampton Local Plan,local-plan,,2042,local-authority:WLV,,,,examination,https://www.wolverhampton.gov.uk/localplan,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Main%20Document%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
east-riding-of-yorkshire-council-local-plan-2020,Local Plan 2020-2039,local-plan,2020,2039,local-authority:ERY,E60000052,,,adopted,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/east-riding-local-plan-update/,https://downloads.eastriding.org.uk/corporate/pages/east-riding-local-plan-update/adoption-docs/LPU%20-%20Strategy%20Document%20Update%20Adopted%202025.pdf,2026-01-30,2025-04-02,,
epsom-and-ewell-borough-council-local-plan-2007,Local Plan 2007-2022,local-plan,2007,2022,local-authority:EPS,E60000271,,,adopted,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/Core%20Strategy%202007.pdf,2026-01-30,2007-07-24,,
epsom-and-ewell-borough-council-local-plan-2022,Epsom and Ewell Local Plan 2022-2040,local-plan,2022,2040,local-authority:EPS,E60000271,,,examination,https://www.epsom-ewell.gov.uk/local-plan,,2026-01-30,,,
horsham-district-council-local-plan,Horsham District Planning Framework,local-plan,,,local-authority:HOR,E60000285,,,adopted,https://horsham.gov.uk/planning/local-plan/read-the-current-local-plan,,2026-01-30,,,
horsham-district-council-local-plan-2011,Horsham District Planning Framework,local-plan,2011,2031,local-authority:HOR,E60000285,,,adopted,https://www.horsham.gov.uk/planning/local-plan/read-the-current-local-plan,https://www.horsham.gov.uk/__data/assets/pdf_file/0016/60190/Horsham-District-Planning-Framework-November-2015.pdf,2026-01-30,2015-11-27,,
london-borough-of-barking-and-dagenham-local-plan,Barking and Dagenham Draft Local Plan Regulation 18 Consultation version,local-plan,,,local-authority:BDG,E60000202,,,regulation-18,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2022-09/LBBD-Draft-Local-Plan-Reg-18-Consultation-version_121219.pdf,2026-01-30,,,
