reference,name,dataset,period-start-date,period-end-date,organisations,local-planning-authorities,mineral-planning-authorities,waste-planning-authorities,local-plan-process,documentation-url,document-url,entry-date,start-date,end-date,notes
london-borough-of-barking-and-dagenham-local-plan-2020,London Borough of Barking and Dagenham Local Plan 2020-2037,local-plan,2020,2037,local-authority:BDG,E60000202,,,adopted,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2024-10/B%26D_LocalPlan_A4_SEP24_digital.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2021,Regulation 19 (2) Draft Local Plan,local-plan,2021,2037,local-authority:BDG,E60000202,,,regulation-19,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,,2026-01-30,,,
london-borough-of-barnet-local-plan-2021,Barnet Local Plan 2021-2036,local-plan,2021,2036,local-authority:BNE,E60000203,,,adopted,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036,https://www.barnet.gov.uk/sites/default/files/024574_-_bc4796_-_barnet_local_plan_2021-2036_-_web2.pdf,2026-01-30,2025-03-04,,
sandwell-metropolitan-borough-council-local-plan-2011,Black Country Core Strategy,local-plan,2011,2026,local-authority:SAW,E60000132-E60000133-E60000135-E60000136,,,adopted,https://www.sandwell.gov.uk/downloads/download/347/black-country-core-strategy,https://www.sandwell.gov.uk/downloads/file/771/black-country-core-strategy-main-document-,2026-01-30,2011-02-03,,
sandwell-metropolitan-borough-council-local-plan-2024,Sandwell Local Plan 2024-2041,local-plan,2024,2041,local-authority:SAW,,,,examination,https://www.sandwell.gov.uk/localplan,,2026-01-30,,,
south-staffordshire-council-local-plan,South Staffordshire Local Plan Review,local-plan,,,local-authority:SST,E60000121,,,submitted,https://www.sstaffs.gov.uk/planning/planning-policy-and-local-plans/local-plan-review,,2026-01-30,,,
south-staffordshire-council-local-plan-2006,Adopted South Staffordshire Local Plan,local-plan,2006,2028,local-authority:SST,E60000121,,,adopted,https://www.sstaffs.gov.uk/planning/planning-policy/adopted-south-staffordshire-local-plan,https://www.sstaffs.gov.uk/sites/default/files/2023-02/Core%20Strategy%20Dev%20Plan%20Doc.pdf,2026-01-30,2012-12-11,,
the-babergh-and-mid-suffolk-joint-local-plan,Babergh and Mid Suffolk Joint Local Plan Part 1 2018-2037,local-plan,2018,2037,local-authority:BAB;local-authority:MSU,E60000183-E60000186,,,adopted,https://www.midsuffolk.gov.uk/joint-local-plan,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-plan-part-1-nov-2023,2026-01-30,2023-11-01,,
west-berkshire-council-local-plan,South East Plan Natural Resource Management Policy 6,local-plan,,,local-authority:WBK,E60000230,,,adopted,https://www.westberks.gov.uk/current-development-plan,https://www.westberks.gov.uk/media/45126/South-East-Plan-Policy-NRM6/pdf/South_East_Plan_Policy_NRM6.pdf?m=1705655144750,2026-01-30,,,
west-berkshire-council-local-plan-2023,West Berkshire Local Plan Review 2023 to 2041,local-plan,2023,2041,local-authority:WBK,E60000230,,,adopted,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/64447/West-Berkshire-Local-Plan-Review-2023-2041/pdf/West_Berkshire_Local_Plan_Review_2023-2041_for_web_APPROVED.pdf?m=1756290556437,2026-01-30,2025-06-10,,
wirral-metropolitan-borough-council-local-plan-2022,Wirral Local Plan 2022 to 2040,local-plan,2022,2040,local-authority:WRL,E60000051,,,adopted,https://www.wirral.gov.uk/newlocalplan,https://www.wirral.gov.uk/files/wirral-local-plan-2022-2040-written-statement.pdf/download?inline,2026-01-30,2025-03-31,,
wokingham-borough-council-local-plan-2006,Wokingham Core Strategy,local-plan,2006,2026,local-authority:WOK,E60000232,,,adopted,https://www.wokingham.gov.uk/planning-policy/adopted-development-plan/local-plans,https://www.wokingham.gov.uk/sites/wokingham/files/2023-06/Final%20adopted%20Core%20Strategy%20inc.%20cover.pdf,2026-01-30,2010-01-29,,
wokingham-borough-council-local-plan-2023,Wokingham Borough Local Plan Update 2023-2040,local-plan,2023,2040,local-authority:WOK,E60000232,,,examination,https://www.wokingham.gov.uk/planning-policy/emerging-local-plan-update,,2026-01-30,,,
