reference,local-plan,plan-event,start-date,entry-date
brc-rdg-wok-wbk-mineral-waste-plan-2023-reg-19-publication-local-plan-published,brc-rdg-wok-wbk-mineral-waste-plan-2023,reg-19-publication-local-plan-published,2020-09-01,2026-01-29
brc-rdg-wok-wbk-mineral-waste-plan-2023-submit-plan-for-examination,brc-rdg-wok-wbk-mineral-waste-plan-2023,submit-plan-for-examination,2021-02-01,2026-01-29
cam-pte-mineral-waste-plan-2021-plan-adopted,cam-pte-mineral-waste-plan-2021,plan-adopted,2021-07-28,2026-01-29
cam-pte-mineral-waste-plan-2021-planning-inspectorate-examination-end,cam-pte-mineral-waste-plan-2021,planning-inspectorate-examination-end,2020-09-17,2026-01-29
cam-pte-mineral-waste-plan-2021-planning-inspectorate-examination-start,cam-pte-mineral-waste-plan-2021,planning-inspectorate-examination-start,2020-09-15,2026-01-29
cam-pte-mineral-waste-plan-2021-planning-inspectorate-found-sound,cam-pte-mineral-waste-plan-2021,planning-inspectorate-found-sound,2021-03-25,2026-01-29
cam-pte-mineral-waste-plan-2021-reg-19-publication-local-plan-published,cam-pte-mineral-waste-plan-2021,reg-19-publication-local-plan-published,2019-11-15,2026-01-29
cam-pte-mineral-waste-plan-2021-submit-plan-for-examination,cam-pte-mineral-waste-plan-2021,submit-plan-for-examination,2020-03-24,2026-01-29
cam-pte-mineral-waste-plan-2011-plan-adopted,cam-pte-mineral-waste-plan-2011,plan-adopted,2011-07-19,2026-01-29
cam-pte-mineral-waste-plan-2011-planning-inspectorate-found-sound,cam-pte-mineral-waste-plan-2011,planning-inspectorate-found-sound,2011-03-15,2026-01-29
cam-pte-mineral-waste-plan-2011-reg-19-publication-local-plan-published,cam-pte-mineral-waste-plan-2011,reg-19-publication-local-plan-published,2010-02-15,2026-01-29
cam-pte-mineral-waste-plan-2011-submit-plan-for-examination,cam-pte-mineral-waste-plan-2011,submit-plan-for-examination,2010-07-29,2026-01-29
cam-pte-mineral-waste-plan-2012-plan-adopted,cam-pte-mineral-waste-plan-2012,plan-adopted,2012-02-22,2026-01-29
cam-pte-mineral-waste-plan-2012-planning-inspectorate-found-sound,cam-pte-mineral-waste-plan-2012,planning-inspectorate-found-sound,2011-10-20,2026-01-29
cam-pte-mineral-waste-plan-2012-reg-19-publication-local-plan-published,cam-pte-mineral-waste-plan-2012,reg-19-publication-local-plan-published,2010-02-15,2026-01-29
cam-pte-mineral-waste-plan-2012-submit-plan-for-examination,cam-pte-mineral-waste-plan-2012,submit-plan-for-examination,2010-07-29,2026-01-29
cma-mineral-waste-plan-2009-plan-adopted,cma-mineral-waste-plan-2009,plan-adopted,2009-04-23,2026-01-29
cma-mineral-waste-plan-2009-planning-inspectorate-found-sound,cma-mineral-waste-plan-2009,planning-inspectorate-found-sound,2009-02-03,2026-01-29
cma-mineral-waste-plan-2009-submit-plan-for-examination,cma-mineral-waste-plan-2009,submit-plan-for-examination,2008-04-21,2026-01-29
cma-mineral-waste-plan-2017-plan-adopted,cma-mineral-waste-plan-2017,plan-adopted,2017-09-06,2026-01-29
cma-mineral-waste-plan-2017-planning-inspectorate-examination-end,cma-mineral-waste-plan-2017,planning-inspectorate-examination-end,2016-12-14,2026-01-29
cma-mineral-waste-plan-2017-planning-inspectorate-examination-start,cma-mineral-waste-plan-2017,planning-inspectorate-examination-start,2016-11-29,2026-01-29
cma-mineral-waste-plan-2017-planning-inspectorate-found-sound,cma-mineral-waste-plan-2017,planning-inspectorate-found-sound,2017-06-29,2026-01-29
cma-mineral-waste-plan-2017-reg-19-publication-local-plan-published,cma-mineral-waste-plan-2017,reg-19-publication-local-plan-published,2016-05-23,2026-01-29
cma-mineral-waste-plan-2017-submit-plan-for-examination,cma-mineral-waste-plan-2017,submit-plan-for-examination,2016-09-08,2026-01-29
cma-mineral-waste-plan-2011-plan-adopted,cma-mineral-waste-plan-2011,plan-adopted,2011-01-20,2026-01-29
cma-mineral-waste-plan-2011-planning-inspectorate-found-sound,cma-mineral-waste-plan-2011,planning-inspectorate-found-sound,2010-12-01,2026-01-29
cma-mineral-waste-plan-2011-reg-19-publication-local-plan-published,cma-mineral-waste-plan-2011,reg-19-publication-local-plan-published,2009-12-11,2026-01-29
cma-mineral-waste-plan-2011-submit-plan-for-examination,cma-mineral-waste-plan-2011,submit-plan-for-examination,2010-04-30,2026-01-29
con-mineral-plan-2018-plan-adopted,con-mineral-plan-2018,plan-adopted,2018-12-04,2026-01-29
con-mineral-plan-2018-planning-inspectorate-examination-end,con-mineral-plan-2018,planning-inspectorate-examination-end,2018-01-10,2026-01-29
con-mineral-plan-2018-planning-inspectorate-examination-start,con-mineral-plan-2018,planning-inspectorate-examination-start,2018-01-10,2026-01-29
con-mineral-plan-2018-planning-inspectorate-found-sound,con-mineral-plan-2018,planning-inspectorate-found-sound,2018-07-17,2026-01-29
con-mineral-plan-2018-reg-19-publication-local-plan-published,con-mineral-plan-2018,reg-19-publication-local-plan-published,2017-06-12,2026-01-29
con-mineral-plan-2018-submit-plan-for-examination,con-mineral-plan-2018,submit-plan-for-examination,2017-10-26,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-plan-adopted,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011,plan-adopted,2011-09-15,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-planning-inspectorate-found-sound,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011,planning-inspectorate-found-sound,2011-05-16,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-reg-19-publication-local-plan-published,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011,reg-19-publication-local-plan-published,2009-08-27,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-submit-plan-for-examination,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011,submit-plan-for-examination,2010-11-12,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2-plan-adopted,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2,plan-adopted,2011-09-15,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2-planning-inspectorate-found-sound,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2,planning-inspectorate-found-sound,2011-05-16,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2-reg-19-publication-local-plan-published,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2,reg-19-publication-local-plan-published,2009-08-27,2026-01-29
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2-submit-plan-for-examination,dal-hpl-mdb-rcc-stt-mineral-waste-plan-2011-2,submit-plan-for-examination,2010-11-15,2026-01-29
dby-der-mineral-plan-2038-planning-inspectorate-examination-start,dby-der-mineral-plan-2038,planning-inspectorate-examination-start,2025-05-20,2026-01-29
dby-der-mineral-plan-2038-reg-19-publication-local-plan-published,dby-der-mineral-plan-2038,reg-19-publication-local-plan-published,2023-03-01,2026-01-29
dby-der-mineral-plan-2038-submit-plan-for-examination,dby-der-mineral-plan-2038,submit-plan-for-examination,2024-11-29,2026-01-29
dev-mineral-plan-2017-plan-adopted,dev-mineral-plan-2017,plan-adopted,2017-02-16,2026-01-29
dev-mineral-plan-2017-planning-inspectorate-examination-end,dev-mineral-plan-2017,planning-inspectorate-examination-end,2016-05-27,2026-01-29
dev-mineral-plan-2017-planning-inspectorate-examination-start,dev-mineral-plan-2017,planning-inspectorate-examination-start,2016-05-24,2026-01-29
dev-mineral-plan-2017-planning-inspectorate-found-sound,dev-mineral-plan-2017,planning-inspectorate-found-sound,2016-10-17,2026-01-29
dev-mineral-plan-2017-reg-19-publication-local-plan-published,dev-mineral-plan-2017,reg-19-publication-local-plan-published,2015-08-24,2026-01-29
dev-mineral-plan-2017-submit-plan-for-examination,dev-mineral-plan-2017,submit-plan-for-examination,2016-02-15,2026-01-29
dor-mineral-plan-2014-plan-adopted,dor-mineral-plan-2014,plan-adopted,2014-05-06,2026-01-29
dor-mineral-plan-2014-planning-inspectorate-found-sound,dor-mineral-plan-2014,planning-inspectorate-found-sound,2013-12-18,2026-01-29
dor-mineral-plan-2014-reg-19-publication-local-plan-published,dor-mineral-plan-2014,reg-19-publication-local-plan-published,2012-07-06,2026-01-29
dor-mineral-plan-2014-submit-plan-for-examination,dor-mineral-plan-2014,submit-plan-for-examination,2013-01-30,2026-01-29
dor-bpc-mineral-plan-2019-plan-adopted,dor-bpc-mineral-plan-2019,plan-adopted,2019-08-01,2026-01-29
dor-bpc-mineral-plan-2019-planning-inspectorate-examination-end,dor-bpc-mineral-plan-2019,planning-inspectorate-examination-end,2018-10-13,2026-01-29
dor-bpc-mineral-plan-2019-planning-inspectorate-examination-start,dor-bpc-mineral-plan-2019,planning-inspectorate-examination-start,2018-09-25,2026-01-29
dor-bpc-mineral-plan-2019-planning-inspectorate-found-sound,dor-bpc-mineral-plan-2019,planning-inspectorate-found-sound,2019-07-01,2026-01-29
dor-bpc-mineral-plan-2019-reg-19-publication-local-plan-published,dor-bpc-mineral-plan-2019,reg-19-publication-local-plan-published,2017-12-01,2026-01-29
dor-bpc-mineral-plan-2019-submit-plan-for-examination,dor-bpc-mineral-plan-2019,submit-plan-for-examination,2018-03-23,2026-01-29
dur-mineral-waste-plan-2024-plan-adopted,dur-mineral-waste-plan-2024,plan-adopted,2024-07-17,2026-01-29
dur-mineral-waste-plan-2024-planning-inspectorate-examination-end,dur-mineral-waste-plan-2024,planning-inspectorate-examination-end,2023-10-05,2026-01-29
dur-mineral-waste-plan-2024-planning-inspectorate-examination-start,dur-mineral-waste-plan-2024,planning-inspectorate-examination-start,2023-09-26,2026-01-29
dur-mineral-waste-plan-2024-planning-inspectorate-found-sound,dur-mineral-waste-plan-2024,planning-inspectorate-found-sound,2024-05-20,2026-01-29
dur-mineral-waste-plan-2024-reg-19-publication-local-plan-published,dur-mineral-waste-plan-2024,reg-19-publication-local-plan-published,2022-11-28,2026-01-29
dur-mineral-waste-plan-2024-submit-plan-for-examination,dur-mineral-waste-plan-2024,submit-plan-for-examination,2023-07-03,2026-01-29
ess-mineral-plan-2014-plan-adopted,ess-mineral-plan-2014,plan-adopted,2014-07-01,2026-01-29
ess-mineral-plan-2014-planning-inspectorate-found-sound,ess-mineral-plan-2014,planning-inspectorate-found-sound,2014-06-23,2026-01-29
ess-mineral-plan-2014-reg-19-publication-local-plan-published,ess-mineral-plan-2014,reg-19-publication-local-plan-published,2013-01-17,2026-01-29
ess-mineral-plan-2014-submit-plan-for-examination,ess-mineral-plan-2014,submit-plan-for-examination,2013-07-12,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2013-plan-adopted,esx-bnh-q20198711-mineral-waste-plan-2013,plan-adopted,2013-02-19,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017-plan-adopted,esx-bnh-q20198711-mineral-waste-plan-2017,plan-adopted,2017-02-07,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024-plan-adopted,esx-bnh-q20198711-mineral-waste-plan-2024,plan-adopted,2024-10-24,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017-planning-inspectorate-examination-end,esx-bnh-q20198711-mineral-waste-plan-2017,planning-inspectorate-examination-end,2016-08-04,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024-planning-inspectorate-examination-end,esx-bnh-q20198711-mineral-waste-plan-2024,planning-inspectorate-examination-end,2022-11-09,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017-planning-inspectorate-examination-start,esx-bnh-q20198711-mineral-waste-plan-2017,planning-inspectorate-examination-start,2016-08-01,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024-planning-inspectorate-examination-start,esx-bnh-q20198711-mineral-waste-plan-2024,planning-inspectorate-examination-start,2022-11-08,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2013-planning-inspectorate-found-sound,esx-bnh-q20198711-mineral-waste-plan-2013,planning-inspectorate-found-sound,2013-01-09,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017-planning-inspectorate-found-sound,esx-bnh-q20198711-mineral-waste-plan-2017,planning-inspectorate-found-sound,2016-11-07,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024-planning-inspectorate-found-sound,esx-bnh-q20198711-mineral-waste-plan-2024,planning-inspectorate-found-sound,2024-04-02,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2013-reg-19-publication-local-plan-published,esx-bnh-q20198711-mineral-waste-plan-2013,reg-19-publication-local-plan-published,2012-02-27,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017-reg-19-publication-local-plan-published,esx-bnh-q20198711-mineral-waste-plan-2017,reg-19-publication-local-plan-published,2015-10-28,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024-reg-19-publication-local-plan-published,esx-bnh-q20198711-mineral-waste-plan-2024,reg-19-publication-local-plan-published,2021-10-29,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2013-submit-plan-for-examination,esx-bnh-q20198711-mineral-waste-plan-2013,submit-plan-for-examination,2012-06-01,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2017-submit-plan-for-examination,esx-bnh-q20198711-mineral-waste-plan-2017,submit-plan-for-examination,2016-04-15,2026-01-29
esx-bnh-q20198711-mineral-waste-plan-2024-submit-plan-for-examination,esx-bnh-q20198711-mineral-waste-plan-2024,submit-plan-for-examination,2022-05-13,2026-01-29
gls-mineral-plan-2020-plan-adopted,gls-mineral-plan-2020,plan-adopted,2020-03-20,2026-01-29
gls-mineral-plan-2020-planning-inspectorate-examination-end,gls-mineral-plan-2020,planning-inspectorate-examination-end,2019-06-12,2026-01-29
gls-mineral-plan-2020-planning-inspectorate-examination-start,gls-mineral-plan-2020,planning-inspectorate-examination-start,2019-06-11,2026-01-29
gls-mineral-plan-2020-planning-inspectorate-found-sound,gls-mineral-plan-2020,planning-inspectorate-found-sound,2019-12-22,2026-01-29
gls-mineral-plan-2020-reg-19-publication-local-plan-published,gls-mineral-plan-2020,reg-19-publication-local-plan-published,2018-05-31,2026-01-29
gls-mineral-plan-2020-submit-plan-for-examination,gls-mineral-plan-2020,submit-plan-for-examination,2018-12-21,2026-01-29
ham-mineral-waste-plan-2007-plan-adopted,ham-mineral-waste-plan-2007,plan-adopted,2007-07-12,2026-01-29
ham-mineral-waste-plan-2007-planning-inspectorate-found-sound,ham-mineral-waste-plan-2007,planning-inspectorate-found-sound,2007-05-29,2026-01-29
ham-mineral-waste-plan-2007-submit-plan-for-examination,ham-mineral-waste-plan-2007,submit-plan-for-examination,2006-05-30,2026-01-29
ham-new-sth-por-q20198711-mineral-waste-plan-2030-planning-inspectorate-examination-start,ham-new-sth-por-q20198711-mineral-waste-plan-2030,planning-inspectorate-examination-start,2025-02-04,2026-01-29
ham-new-sth-por-q20198711-mineral-waste-plan-2030-reg-19-publication-local-plan-published,ham-new-sth-por-q20198711-mineral-waste-plan-2030,reg-19-publication-local-plan-published,2024-01-09,2026-01-29
ham-new-sth-por-q20198711-mineral-waste-plan-2030-submit-plan-for-examination,ham-new-sth-por-q20198711-mineral-waste-plan-2030,submit-plan-for-examination,2024-07-29,2026-01-29
hef-mineral-waste-plan-2024-plan-adopted,hef-mineral-waste-plan-2024,plan-adopted,2024-03-08,2026-01-29
hef-mineral-waste-plan-2024-planning-inspectorate-examination-end,hef-mineral-waste-plan-2024,planning-inspectorate-examination-end,2022-11-15,2026-01-29
hef-mineral-waste-plan-2024-planning-inspectorate-examination-start,hef-mineral-waste-plan-2024,planning-inspectorate-examination-start,2022-11-08,2026-01-29
hef-mineral-waste-plan-2024-planning-inspectorate-found-sound,hef-mineral-waste-plan-2024,planning-inspectorate-found-sound,2023-10-31,2026-01-29
hef-mineral-waste-plan-2024-reg-19-publication-local-plan-published,hef-mineral-waste-plan-2024,reg-19-publication-local-plan-published,2021-04-12,2026-01-29
hef-mineral-waste-plan-2024-submit-plan-for-examination,hef-mineral-waste-plan-2024,submit-plan-for-examination,2022-03-22,2026-01-29
hrt-mineral-plan-reg-19-publication-local-plan-published,hrt-mineral-plan,reg-19-publication-local-plan-published,2019-01-14,2026-01-29
ken-mineral-waste-plan-2020-plan-adopted,ken-mineral-waste-plan-2020,plan-adopted,2020-09-10,2026-01-29
ken-mineral-waste-plan-2020-planning-inspectorate-examination-end,ken-mineral-waste-plan-2020,planning-inspectorate-examination-end,2019-10-15,2026-01-29
ken-mineral-waste-plan-2020-planning-inspectorate-examination-start,ken-mineral-waste-plan-2020,planning-inspectorate-examination-start,2019-10-08,2026-01-29
ken-mineral-waste-plan-2020-planning-inspectorate-found-sound,ken-mineral-waste-plan-2020,planning-inspectorate-found-sound,2020-04-23,2026-01-29
ken-mineral-waste-plan-2020-reg-19-publication-local-plan-published,ken-mineral-waste-plan-2020,reg-19-publication-local-plan-published,2019-01-11,2026-01-29
ken-mineral-waste-plan-2020-submit-plan-for-examination,ken-mineral-waste-plan-2020,submit-plan-for-examination,2019-05-03,2026-01-29
ken-mineral-waste-plan-2025-plan-adopted,ken-mineral-waste-plan-2025,plan-adopted,2025-03-13,2026-01-29
ken-mineral-waste-plan-2025-planning-inspectorate-examination-end,ken-mineral-waste-plan-2025,planning-inspectorate-examination-end,2024-09-17,2026-01-29
ken-mineral-waste-plan-2025-planning-inspectorate-examination-start,ken-mineral-waste-plan-2025,planning-inspectorate-examination-start,2024-09-10,2026-01-29
ken-mineral-waste-plan-2025-planning-inspectorate-found-sound,ken-mineral-waste-plan-2025,planning-inspectorate-found-sound,2025-02-06,2026-01-29
ken-mineral-waste-plan-2025-reg-19-publication-local-plan-published,ken-mineral-waste-plan-2025,reg-19-publication-local-plan-published,2024-01-17,2026-01-29
ken-mineral-waste-plan-2025-submit-plan-for-examination,ken-mineral-waste-plan-2025,submit-plan-for-examination,2024-05-17,2026-01-29
khl-ery-mineral-plan-2019-plan-adopted,khl-ery-mineral-plan-2019,plan-adopted,2019-11-21,2026-01-29
khl-ery-mineral-plan-2019-planning-inspectorate-examination-end,khl-ery-mineral-plan-2019,planning-inspectorate-examination-end,2019-01-09,2026-01-29
khl-ery-mineral-plan-2019-planning-inspectorate-examination-start,khl-ery-mineral-plan-2019,planning-inspectorate-examination-start,2019-01-08,2026-01-29
khl-ery-mineral-plan-2019-planning-inspectorate-found-sound,khl-ery-mineral-plan-2019,planning-inspectorate-found-sound,2019-07-19,2026-01-29
khl-ery-mineral-plan-2019-reg-19-publication-local-plan-published,khl-ery-mineral-plan-2019,reg-19-publication-local-plan-published,2018-04-18,2026-01-29
khl-ery-mineral-plan-2019-submit-plan-for-examination,khl-ery-mineral-plan-2019,submit-plan-for-examination,2018-07-23,2026-01-29
lan-mineral-waste-plan-2009-plan-adopted,lan-mineral-waste-plan-2009,plan-adopted,2009-02-26,2026-01-29
lan-mineral-waste-plan-2009-planning-inspectorate-found-sound,lan-mineral-waste-plan-2009,planning-inspectorate-found-sound,2008-08-22,2026-01-29
lan-mineral-waste-plan-2009-submit-plan-for-examination,lan-mineral-waste-plan-2009,submit-plan-for-examination,2007-11-29,2026-01-29
lds-mineral-waste-plan-2013-plan-adopted,lds-mineral-waste-plan-2013,plan-adopted,2013-01-16,2026-01-29
lds-mineral-waste-plan-2013-planning-inspectorate-examination-end,lds-mineral-waste-plan-2013,planning-inspectorate-examination-end,2015-05-28,2026-01-29
lds-mineral-waste-plan-2013-planning-inspectorate-examination-start,lds-mineral-waste-plan-2013,planning-inspectorate-examination-start,2015-05-27,2026-01-29
lds-mineral-waste-plan-2013-planning-inspectorate-found-sound,lds-mineral-waste-plan-2013,planning-inspectorate-found-sound,2012-12-07,2026-01-29
lds-mineral-waste-plan-2013-reg-19-publication-local-plan-published,lds-mineral-waste-plan-2013,reg-19-publication-local-plan-published,2010-12-15,2026-01-29
lds-mineral-waste-plan-2013-submit-plan-for-examination,lds-mineral-waste-plan-2013,submit-plan-for-examination,2011-07-25,2026-01-29
lec-mineral-waste-plan-2019-plan-adopted,lec-mineral-waste-plan-2019,plan-adopted,2019-09-25,2026-01-29
lec-mineral-waste-plan-2019-planning-inspectorate-examination-end,lec-mineral-waste-plan-2019,planning-inspectorate-examination-end,2018-10-23,2026-01-29
lec-mineral-waste-plan-2019-planning-inspectorate-examination-start,lec-mineral-waste-plan-2019,planning-inspectorate-examination-start,2018-10-22,2026-01-29
lec-mineral-waste-plan-2019-planning-inspectorate-found-sound,lec-mineral-waste-plan-2019,planning-inspectorate-found-sound,2019-05-21,2026-01-29
lec-mineral-waste-plan-2019-reg-19-publication-local-plan-published,lec-mineral-waste-plan-2019,reg-19-publication-local-plan-published,2017-11-10,2026-01-29
lec-mineral-waste-plan-2019-submit-plan-for-examination,lec-mineral-waste-plan-2019,submit-plan-for-examination,2018-03-23,2026-01-29
lec-mineral-plan-2009-plan-adopted,lec-mineral-plan-2009,plan-adopted,2009-10-08,2026-01-29
lec-mineral-plan-2009-planning-inspectorate-found-sound,lec-mineral-plan-2009,planning-inspectorate-found-sound,2009-05-01,2026-01-29
lec-mineral-plan-2009-submit-plan-for-examination,lec-mineral-plan-2009,submit-plan-for-examination,2008-06-23,2026-01-29
lin-mineral-waste-plan-2016-plan-adopted,lin-mineral-waste-plan-2016,plan-adopted,2016-05-10,2026-01-29
lin-mineral-waste-plan-2016-planning-inspectorate-found-sound,lin-mineral-waste-plan-2016,planning-inspectorate-found-sound,2016-02-22,2026-01-29
lin-mineral-waste-plan-2016-reg-19-publication-local-plan-published,lin-mineral-waste-plan-2016,reg-19-publication-local-plan-published,2015-01-05,2026-01-29
lin-mineral-waste-plan-2016-submit-plan-for-examination,lin-mineral-waste-plan-2016,submit-plan-for-examination,2015-06-05,2026-01-29
lin-mineral-waste-plan-2017-plan-adopted,lin-mineral-waste-plan-2017,plan-adopted,2017-12-15,2026-01-29
lin-mineral-waste-plan-2017-planning-inspectorate-examination-end,lin-mineral-waste-plan-2017,planning-inspectorate-examination-end,2017-07-27,2026-01-29
lin-mineral-waste-plan-2017-planning-inspectorate-examination-start,lin-mineral-waste-plan-2017,planning-inspectorate-examination-start,2017-07-25,2026-01-29
lin-mineral-waste-plan-2017-planning-inspectorate-found-sound,lin-mineral-waste-plan-2017,planning-inspectorate-found-sound,2017-09-19,2026-01-29
lin-mineral-waste-plan-2017-reg-19-publication-local-plan-published,lin-mineral-waste-plan-2017,reg-19-publication-local-plan-published,2016-11-07,2026-01-29
lin-mineral-waste-plan-2017-submit-plan-for-examination,lin-mineral-waste-plan-2017,submit-plan-for-examination,2017-04-03,2026-01-29
mik-mineral-plan-2017-plan-adopted,mik-mineral-plan-2017,plan-adopted,2017-07-01,2026-01-29
mik-mineral-plan-2017-planning-inspectorate-examination-end,mik-mineral-plan-2017,planning-inspectorate-examination-end,2016-10-19,2026-01-29
mik-mineral-plan-2017-planning-inspectorate-examination-start,mik-mineral-plan-2017,planning-inspectorate-examination-start,2016-09-13,2026-01-29
mik-mineral-plan-2017-planning-inspectorate-found-sound,mik-mineral-plan-2017,planning-inspectorate-found-sound,2017-04-19,2026-01-29
mik-mineral-plan-2017-reg-19-publication-local-plan-published,mik-mineral-plan-2017,reg-19-publication-local-plan-published,2016-01-28,2026-01-29
mik-mineral-plan-2017-submit-plan-for-examination,mik-mineral-plan-2017,submit-plan-for-examination,2016-03-31,2026-01-29
nfk-mineral-waste-plan-2011-plan-adopted,nfk-mineral-waste-plan-2011,plan-adopted,2011-09-26,2026-01-29
nfk-mineral-waste-plan-2011-planning-inspectorate-found-sound,nfk-mineral-waste-plan-2011,planning-inspectorate-found-sound,2011-08-30,2026-01-29
nfk-mineral-waste-plan-2011-reg-19-publication-local-plan-published,nfk-mineral-waste-plan-2011,reg-19-publication-local-plan-published,2010-05-28,2026-01-29
nfk-mineral-waste-plan-2011-submit-plan-for-examination,nfk-mineral-waste-plan-2011,submit-plan-for-examination,2011-02-07,2026-01-29
