reference,local-plan,plan-event,start-date,entry-date
bdf-lut-cbf-mineral-waste-plan-2014-plan-adopted,bdf-lut-cbf-mineral-waste-plan-2014,plan-adopted,2014-01-30,2026-01-29
bdf-lut-cbf-mineral-waste-plan-2014-planning-inspectorate-found-sound,bdf-lut-cbf-mineral-waste-plan-2014,planning-inspectorate-found-sound,2013-10-04,2026-01-29
bdf-lut-cbf-mineral-waste-plan-2014-reg-19-publication-local-plan-published,bdf-lut-cbf-mineral-waste-plan-2014,reg-19-publication-local-plan-published,2011-12-05,2026-01-29
bdf-lut-cbf-mineral-waste-plan-2014-submit-plan-for-examination,bdf-lut-cbf-mineral-waste-plan-2014,submit-plan-for-examination,2012-08-10,2026-01-29
bkm-mineral-waste-plan-2019-plan-adopted,bkm-mineral-waste-plan-2019,plan-adopted,2019-07-25,2026-01-29
bkm-mineral-waste-plan-2019-planning-inspectorate-examination-end,bkm-mineral-waste-plan-2019,planning-inspectorate-examination-end,2018-09-25,2026-01-29
bkm-mineral-waste-plan-2019-planning-inspectorate-examination-start,bkm-mineral-waste-plan-2019,planning-inspectorate-examination-start,2018-09-24,2026-01-29
bkm-mineral-waste-plan-2019-planning-inspectorate-found-sound,bkm-mineral-waste-plan-2019,planning-inspectorate-found-sound,2019-06-05,2026-01-29
bkm-mineral-waste-plan-2019-reg-19-publication-local-plan-published,bkm-mineral-waste-plan-2019,reg-19-publication-local-plan-published,2018-03-03,2026-01-29
bkm-mineral-waste-plan-2019-submit-plan-for-examination,bkm-mineral-waste-plan-2019,submit-plan-for-examination,2018-06-01,2026-01-29
bkm-mineral-waste-plan-2012-plan-adopted,bkm-mineral-waste-plan-2012,plan-adopted,2012-11-22,2026-01-29
bkm-mineral-waste-plan-2012-planning-inspectorate-found-sound,bkm-mineral-waste-plan-2012,planning-inspectorate-found-sound,2012-09-03,2026-01-29
bkm-mineral-waste-plan-2012-reg-19-publication-local-plan-published,bkm-mineral-waste-plan-2012,reg-19-publication-local-plan-published,2011-09-05,2026-01-29
bkm-mineral-waste-plan-2012-submit-plan-for-examination,bkm-mineral-waste-plan-2012,submit-plan-for-examination,2011-11-11,2026-01-29
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013-plan-adopted,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013,plan-adopted,2013-04-26,2026-01-29
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013-planning-inspectorate-found-sound,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013,planning-inspectorate-found-sound,2013-01-18,2026-01-29
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013-reg-19-publication-local-plan-published,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013,reg-19-publication-local-plan-published,2011-07-19,2026-01-29
bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013-submit-plan-for-examination,bol-bur-man-old-rch-slf-skp-tam-trf-wgn-mineral-plan-2013,submit-plan-for-examination,2011-11-11,2026-01-29
brc-rdg-wok-wbk-mineral-waste-plan-2023-plan-adopted,brc-rdg-wok-wbk-mineral-waste-plan-2023,plan-adopted,2023-01-11,2026-01-29
brc-rdg-wok-wbk-mineral-waste-plan-2023-planning-inspectorate-examination-end,brc-rdg-wok-wbk-mineral-waste-plan-2023,planning-inspectorate-examination-end,2021-10-12,2026-01-29
brc-rdg-wok-wbk-mineral-waste-plan-2023-planning-inspectorate-examination-start,brc-rdg-wok-wbk-mineral-waste-plan-2023,planning-inspectorate-examination-start,2021-09-28,2026-01-29
brc-rdg-wok-wbk-mineral-waste-plan-2023-planning-inspectorate-found-sound,brc-rdg-wok-wbk-mineral-waste-plan-2023,planning-inspectorate-found-sound,2022-10-01,2026-01-29
