planning-authorities,name,organisations,local-plan-event,start-date,type,planning-authorities-listed,curie-organisations,geography-codes
Tees Valley Authorities,Joint M&W Core Strategy,,plan-adopted,2011-09-15,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W Core Strategy,,planning-inspectorate-found-sound,2011-05-16,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W Core Strategy,,reg-19-publication-local-plan-published,2009-08-27,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W Core Strategy,,submit-plan-for-examination,2010-11-12,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W policies & sites,,plan-adopted,2011-09-15,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W policies & sites,,planning-inspectorate-found-sound,2011-05-16,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W policies & sites,,reg-19-publication-local-plan-published,2009-08-27,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Tees Valley Authorities,Joint M&W policies & sites,,submit-plan-for-examination,2010-11-15,M;W,Darlington Borough Council;Hartlepool Borough Council;Middlesbrough Council;Redcar and Cleveland Borough Council;Stockton-on-Tees Borough Council,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007
Wakefield Metropolitan District Council,Waste Development Plan Document,,plan-adopted,2009-12-09,W,Wakefield Metropolitan District Council,local-authority:WKF,E60000072
Wakefield Metropolitan District Council,Waste Development Plan Document,,planning-inspectorate-found-sound,2009-10-12,W,Wakefield Metropolitan District Council,local-authority:WKF,E60000072
Wakefield Metropolitan District Council,Waste Development Plan Document,,reg-19-publication-local-plan-published,2009-03-05,W,Wakefield Metropolitan District Council,local-authority:WKF,E60000072
Wakefield Metropolitan District Council,Waste Development Plan Document,,submit-plan-for-examination,2009-04-30,W,Wakefield Metropolitan District Council,local-authority:WKF,E60000072
Warwickshire County Council,Warwickshire Minerals Local Plan,E10000031,plan-adopted,2022-07-19,M,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Warwickshire Minerals Local Plan,E10000031,planning-inspectorate-examination-end,2020-10-21,M,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Warwickshire Minerals Local Plan,E10000031,planning-inspectorate-examination-start,2020-10-20,M,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Warwickshire Minerals Local Plan,E10000031,planning-inspectorate-found-sound,2022-06-29,M,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Warwickshire Minerals Local Plan,E10000031,reg-19-publication-local-plan-published,2016-12-09,M,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Warwickshire Minerals Local Plan,E10000031,submit-plan-for-examination,2019-11-29,M,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Waste Core Strategy,,plan-adopted,2013-07-09,W,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Waste Core Strategy,,planning-inspectorate-found-sound,2013-06-12,W,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Waste Core Strategy,,reg-19-publication-local-plan-published,2012-03-30,W,Warwickshire County Council,local-authority:WAR,E10000031
Warwickshire County Council,Waste Core Strategy,,submit-plan-for-examination,2012-10-19,W,Warwickshire County Council,local-authority:WAR,E10000031
West Berkshire Council,Minerals and Waste Local Plan,E06000037,plan-adopted,2022-12-01,M;W,West Berkshire Council,local-authority:WBK,E60000230
West Berkshire Council,Minerals and Waste Local Plan,E06000037,planning-inspectorate-examination-end,2022-02-03,M;W,West Berkshire Council,local-authority:WBK,E60000230
West Berkshire Council,Minerals and Waste Local Plan,E06000037,planning-inspectorate-examination-start,2022-02-01,M;W,West Berkshire Council,local-authority:WBK,E60000230
West Berkshire Council,Minerals and Waste Local Plan,E06000037,planning-inspectorate-found-sound,2022-10-01,M;W,West Berkshire Council,local-authority:WBK,E60000230
West Berkshire Council,Minerals and Waste Local Plan,E06000037,reg-19-publication-local-plan-published,2021-01-04,M;W,West Berkshire Council,local-authority:WBK,E60000230
West Berkshire Council,Minerals and Waste Local Plan,E06000037,submit-plan-for-examination,2021-07-29,M;W,West Berkshire Council,local-authority:WBK,E60000230
West London Waste Plan,West London Waste Plan,,plan-adopted,2015-07-30,W,West London Waste Plan,local-authority:BDG,E60000202
West London Waste Plan,West London Waste Plan,,planning-inspectorate-found-sound,2015-03-16,W,West London Waste Plan,local-authority:BDG,E60000202
West London Waste Plan,West London Waste Plan,,reg-19-publication-local-plan-published,2014-02-28,W,West London Waste Plan,local-authority:BDG,E60000202
West London Waste Plan,West London Waste Plan,,submit-plan-for-examination,2014-07-30,W,West London Waste Plan,local-authority:BDG,E60000202
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan,,plan-adopted,2018-07-20,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan,,planning-inspectorate-examination-end,2017-09-28,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan,,planning-inspectorate-examination-start,2017-09-19,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan,,planning-inspectorate-found-sound,2018-05-30,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan,,reg-19-publication-local-plan-published,2017-01-16,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan,,submit-plan-for-examination,2017-05-26,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan Soft Sand Review,,plan-adopted,2021-03-25,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan Soft Sand Review,,planning-inspectorate-examination-end,2020-08-27,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan Soft Sand Review,,planning-inspectorate-examination-start,2020-08-25,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan Soft Sand Review,,planning-inspectorate-found-sound,2021-02-01,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan Soft Sand Review,,reg-19-publication-local-plan-published,2020-01-06,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park,Joint Minerals Local Plan Soft Sand Review,,submit-plan-for-examination,2020-04-17,M,West Sussex County Council;South Downs National Park,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park Authority,Waste Local Plan,,plan-adopted,2014-04-11,W,West Sussex County Council,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park Authority,Waste Local Plan,,planning-inspectorate-found-sound,2014-02-17,W,West Sussex County Council,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park Authority,Waste Local Plan,,reg-19-publication-local-plan-published,2012-11-09,W,West Sussex County Council,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West Sussex County Council and South Downs National Park Authority,Waste Local Plan,,submit-plan-for-examination,2013-03-27,W,West Sussex County Council,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325
West of England Partnership,Joint Waste Core Strategy,,plan-adopted,2011-03-25,W,Bath and North East Somerset Council;Bristol City Council;North Somerset Council;South Gloucestershire Council,local-authority:BAS;local-authority:BST;local-authority:NSM;local-authority:SGC,E60000288-E60000290-E60000294-E60000296
West of England Partnership,Joint Waste Core Strategy,,planning-inspectorate-found-sound,2011-02-03,W,Bath and North East Somerset Council;Bristol City Council;North Somerset Council;South Gloucestershire Council,local-authority:BAS;local-authority:BST;local-authority:NSM;local-authority:SGC,E60000288-E60000290-E60000294-E60000296
West of England Partnership,Joint Waste Core Strategy,,reg-19-publication-local-plan-published,2010-01-04,W,Bath and North East Somerset Council;Bristol City Council;North Somerset Council;South Gloucestershire Council,local-authority:BAS;local-authority:BST;local-authority:NSM;local-authority:SGC,E60000288-E60000290-E60000294-E60000296
West of England Partnership,Joint Waste Core Strategy,,submit-plan-for-examination,2010-07-30,W,Bath and North East Somerset Council;Bristol City Council;North Somerset Council;South Gloucestershire Council,local-authority:BAS;local-authority:BST;local-authority:NSM;local-authority:SGC,E60000288-E60000290-E60000294-E60000296
Wiltshire County Council and Swindon Borough Council,Aggregate Minerals Site Allocations,,plan-adopted,2013-05-14,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Aggregate Minerals Site Allocations,,planning-inspectorate-found-sound,2013-02-05,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Aggregate Minerals Site Allocations,,reg-19-publication-local-plan-published,2012-01-27,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Aggregate Minerals Site Allocations,,submit-plan-for-examination,2012-07-20,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Minerals Core Strategy,,plan-adopted,2009-06-01,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Minerals Core Strategy,,planning-inspectorate-found-sound,2009-03-09,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Minerals Core Strategy,,submit-plan-for-examination,2008-03-28,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Minerals DC Policies,,plan-adopted,2009-09-01,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Minerals DC Policies,,planning-inspectorate-found-sound,2009-05-26,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Minerals DC Policies,,submit-plan-for-examination,2008-07-29,M,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste Core Strategy,,plan-adopted,2009-06-01,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste Core Strategy,,planning-inspectorate-found-sound,2009-04-14,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste Core Strategy,,submit-plan-for-examination,2008-03-28,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste DC Policies,,plan-adopted,2009-09-01,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste DC Policies,,planning-inspectorate-found-sound,2009-05-26,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste DC Policies,,submit-plan-for-examination,2008-07-29,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste site allocations,,plan-adopted,2013-02-26,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste site allocations,,planning-inspectorate-found-sound,2012-11-06,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste site allocations,,reg-19-publication-local-plan-published,2011-06-08,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Wiltshire County Council and Swindon Borough Council,Waste site allocations,,submit-plan-for-examination,2012-02-14,W,Wiltshire County Council;Swindon Borough Council,local-authority:WIL;local-authority:SWD,E60000299-E60000297
Worcestershire County Council,Minerals local Plan,E10000034,plan-adopted,2022-07-14,M,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Minerals local Plan,E10000034,planning-inspectorate-examination-end,2020-12-18,M,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Minerals local Plan,E10000034,planning-inspectorate-examination-start,2020-11-11,M,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Minerals local Plan,E10000034,planning-inspectorate-found-sound,2022-05-06,M,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Minerals local Plan,E10000034,reg-19-publication-local-plan-published,2019-08-19,M,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Minerals local Plan,E10000034,submit-plan-for-examination,2019-12-17,M,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Waste Core Strategy,,plan-adopted,2012-11-15,W,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Waste Core Strategy,,planning-inspectorate-found-sound,2012-07-20,W,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Waste Core Strategy,,reg-19-publication-local-plan-published,2011-03-22,W,Worcestershire County Council,local-authority:WOR,E10000034
Worcestershire County Council,Waste Core Strategy,,submit-plan-for-examination,2011-11-28,W,Worcestershire County Council,local-authority:WOR,E10000034
