reference,curie-organisations,geography-codes,name,start-year,end-year,adoption-date,documentation-url,document-url,entry-date
cma-mineral-waste-plan-2011,local-authority:CMA,E10000006,Minerals & Waste site allocations,,,2011-01-20,,,2026-01-27
con-mineral-plan-2030,local-authority:CON,E60000291,Minerals Safeguarding Plan,,2030,2018-12-04,https://www.cornwall.gov.uk/planning-and-building-control/planning-policy/adopted-plans/minerals-safeguarding-development-plan-document/,https://www.cornwall.gov.uk/media/h21hc0ni/minerals-safeguarding-dpd-adoption-december-2018e.pdf,2026-01-27
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007,Joint M&W Core Strategy,2011,2026,2011-09-15,https://www.middlesbrough.gov.uk/planning-and-development/planning-policy/tees-valley-joint-minerals-and-waste-dpds/,https://www.middlesbrough.gov.uk/media/ec0bfmsm/planning-policy-minerals-waste-stategy-dpd.pdf,2026-01-27
dal-hpl-mdb-rcc-stt-mineral-waste-plan-2026,local-authority:DAL;local-authority:HPL;local-authority:MDB;local-authority:RCC;local-authority:STT,E60000002-E60000003-E60000004-E60000006-E60000007,Joint M&W policies & sites,2011,2026,2011-09-15,https://www.middlesbrough.gov.uk/planning-and-development/planning-policy/tees-valley-joint-minerals-and-waste-dpds/,https://www.middlesbrough.gov.uk/media/amkcclcz/planning-policy-minerals-waste-policies-dpd.pdf,2026-01-27
dby-der-mineral-plan-2038,local-authority:DBY;local-authority:DER,E10000007-E60000073,Derbyshire & Derby Minerals Local Plan,2022,2038,,https://www.derbyshire.gov.uk/environment/planning/planning-policy/minerals-waste-development-framework/minerals-plan/minerals-local-plan.aspx,https://www.derbyshire.gov.uk/site-elements/documents/pdf/council/have-your-say/minerals-local-plan/derbyshire-and-derby-minerals-local-plan-pre-submission-draft-plan-january-2023.pdf,2026-01-27
dev-mineral-plan-2033,local-authority:DEV,E10000008,Minerals Plan,2011,2033,2017-02-16,https://www.devon.gov.uk/planning/planning-policies/minerals-and-waste-policy/devon-minerals-plan/,https://devoncc.sharepoint.com/sites/PublicDocs/Planning/Planning/Minerals%20policy%20documents/Devon%20Minerals%20Plan/Final%20Adopted%20Version/Devon%20Minerals%20Plan%202011-2033.pdf?ga=1,2026-01-27
dor-mineral-plan-2028,local-authority:DOR,E10000009,Minerals Core Strategy,2011,2028,2014-05-06,https://www.dorsetcouncil.gov.uk/w/minerals-strategy,https://www.dorsetcouncil.gov.uk/documents/35024/283152/minerals-strategy-2014-chapters-1-8-compressed.pdf/9022e767-ff8a-d94b-14de-9c3a5279f961,2026-01-27
dor-bpc-mineral-plan-2034,local-authority:DOR;local-authority:BPC,E10000009-E06000028,Minerals Sites Plan,2019,2034,2019-08-01,https://www.dorsetcouncil.gov.uk/w/mineral-sites-plan,https://www.dorsetcouncil.gov.uk/documents/35024/285757/MSP+-+Pt+1+-+Pages+1-64.pdf/30e68f58-dac3-b948-d0d1-a91a1121eee7,2026-01-27
dur-mineral-waste-plan-2035,local-authority:DUR,E60000001,Minerals & Waste Plan,,2035,2024-07-17,https://www.durham.gov.uk/MWDPDadoption,https://www.durham.gov.uk/media/45066/County-Durham-Minerals-and-Waste-Policies-and-Allocations-Document-July-2024/pdf/MWDPDAllocationsDocument.pdf?m=1721149401913,2026-01-27
ess-mineral-plan-2029,local-authority:ESS,E10000012,Minerals Plan,2012,2029,2014-07-01,https://www.essex.gov.uk/planning-land-and-recycling/planning-and-development/minerals-and-waste-planning-policy/existing,https://www.essex.gov.uk/sites/default/files/migration_data/files/assets.ctfassets.net/knkzaf64jx5x/5UZuVtnjZbJ81olvZoZKVX/90acfc65df6fa8ee8ab20df3f0cda1c8/essex-minerals-local-plan-adopted-july-2014.pdf,2026-01-27
