mismatched_reference,correct_reference
thurrock-council-local-plan-2025,thurrock-council-local-plan
west-northamptonshire-council-local-plan-2023,west-northamptonshire-council-local-plan-2043
uttlesford-district-council-local-plan-2021,uttlesford-district-council-local-plan
stratford-on-avon-district-council-local-plan-2025,stratford-on-avon-district-council-local-plan
stoke-on-trent-city-council-local-plan-2020,draft-stoke-on-trent-local-plan
ashford-borough-council-local-plan-2024,ashford-borough-council-local-plan-2025
blaby-district-council-local-plan-2022,blaby-district-council-local-plan-2042
canterbury-city-council-local-plan-2024,canterbury-city-council-local-plan-2040
dorset-council-local-plan-2021,dorset-council-local-plan-2026
eastbourne-borough-council-local-plan-2006,eastbourne-core-strategy
